,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,81.32,76.6,14.1,9.3,185404,76000,58220,10744,7036
2,Liverpool,74.55,68.5,18.0,13.4,169984,76000,52089,13717,10194
3,Chelsea,63.05,55.7,22.0,22.3,143745,76000,42354,16683,16963
4,Man United,58.57,50.8,23.3,25.9,133529,76000,38612,17693,19695
5,Tottenham,56.31,48.6,23.3,28.2,128387,76000,36902,17681,21417
6,Leicester,54.21,46.1,24.5,29.5,123594,76000,35000,18594,22406
7,Arsenal,53.71,45.9,23.6,30.6,122466,76000,34853,17907,23240
8,Wolves,48.19,39.6,25.9,34.5,109878,76000,30067,19677,26256
9,Everton,46.64,38.3,25.1,36.6,106334,76000,29075,19109,27816
10,Southampton,40.11,32.1,24.0,43.9,91448,76000,24390,18278,33332
11,Sheffield United,39.01,30.4,25.8,43.8,88937,76000,23111,19604,33285
12,Brighton,38.17,29.8,25.2,45.0,87033,76000,22619,19176,34205
13,Watford,37.4,29.1,24.9,46.0,85274,76000,22113,18935,34952
14,West Ham,36.25,28.3,23.8,47.9,82642,76000,21530,18052,36418
15,Burnley,35.02,26.8,24.8,48.5,79842,76000,20337,18831,36832
16,Crystal Palace,33.97,25.7,24.9,49.4,77451,76000,19512,18915,37573
17,Bournemouth,33.84,25.9,24.0,50.2,77161,76000,19651,18208,38141
18,Aston Villa,32.43,24.6,23.4,52.0,73937,76000,18725,17762,39513
19,Newcastle,30.59,22.4,24.5,53.1,69749,76000,17050,18599,40351
20,Norwich,28.8,21.4,22.3,56.3,65655,76000,16240,16935,42825
