,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,67.3,59.9,22.1,18.0,115091,57000,34170,12581,10249
2,Arsenal,65.12,57.5,22.9,19.6,111359,57000,32777,13028,11195
3,Chelsea,59.69,51.4,24.9,23.7,102072,57000,29301,14169,13530
4,Man United,58.31,49.8,25.7,24.6,99716,57000,28364,14624,14012
5,Tottenham,57.16,48.8,25.0,26.2,97740,57000,27832,14244,14924
6,Liverpool,56.58,48.0,25.6,26.3,96748,57000,27377,14617,15006
7,Southampton,50.84,41.8,27.1,31.1,86941,57000,23835,15436,17729
8,Everton,47.31,38.7,25.7,35.5,80905,57000,22076,14677,20247
9,Leicester,47.15,38.4,26.1,35.4,80632,57000,21913,14893,20194
10,West Ham,40.88,32.3,25.8,41.9,69906,57000,18399,14709,23892
11,Bournemouth,40.88,32.1,26.3,41.6,69899,57000,18301,14996,23703
12,Crystal Palace,40.21,31.4,26.5,42.1,68765,57000,17882,15119,23999
13,Swansea,39.37,30.6,26.2,43.2,67331,57000,17467,14930,24603
14,Stoke,38.9,29.7,27.5,42.8,66520,57000,16957,15649,24394
15,Watford,36.88,28.1,26.3,45.6,63062,57000,16026,14984,25990
16,Norwich,36.34,27.7,26.0,46.3,62142,57000,15770,14832,26398
17,Newcastle,35.67,27.3,25.2,47.5,60988,57000,15543,14359,27098
18,West Brom,33.7,25.0,26.2,48.8,57628,57000,14225,14953,27822
19,Sunderland,32.5,24.0,25.5,50.5,55573,57000,13683,14524,28793
20,Aston Villa,29.96,21.7,24.9,53.5,51237,57000,12357,14166,30477
