Rank,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,67%,60%,22%,18%,3828271,1900000,1138162,413785,348053
2,Arsenal,65%,58%,23%,19%,3731896,1900000,1100154,431434,368412
3,Chelsea,60%,52%,25%,24%,3406942,1900000,978695,470857,450448
4,Man United,58%,50%,26%,25%,3315566,1900000,942679,487529,469792
5,Tottenham,57%,49%,25%,26%,3272181,1900000,932104,475869,492027
6,Liverpool,57%,48%,25%,26%,3229960,1900000,916024,481888,502088
7,Southampton,51%,42%,27%,31%,2908068,1900000,799716,508920,591364
8,Everton,47%,39%,26%,36%,2690769,1900000,732495,493284,674221
9,Leicester,47%,38%,27%,36%,2668222,1900000,721858,502648,675494
10,Bournemouth,41%,32%,26%,41%,2337832,1900000,612041,501709,786250
11,West Ham,41%,32%,26%,42%,2328943,1900000,612651,490990,796359
12,Crystal Palace,40%,32%,27%,42%,2300349,1900000,598690,504279,797031
13,Swansea,40%,31%,26%,43%,2258150,1900000,585542,501524,812934
14,Stoke,39%,30%,27%,43%,2213124,1900000,566051,514971,818978
15,Watford,37%,28%,27%,46%,2091673,1900000,529576,502945,867479
16,Norwich,36%,28%,26%,46%,2078431,1900000,528057,494260,877683
17,Newcastle,35%,27%,25%,48%,2018466,1900000,513886,476808,909306
18,West Brom,34%,25%,26%,49%,1925594,1900000,474776,501266,923958
19,Sunderland,32%,24%,25%,51%,1835916,1900000,451772,480600,967628
20,Aston Villa,30%,22%,25%,54%,1706157,1900000,411581,471414,1017005
