Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Fiorentina,33,97,229,557,484,288,142,82,37,25,16,2,7,1,0,0,0,0,0,0
Livorno,0,0,1,15,42,93,143,168,218,208,205,188,177,142,102,95,79,61,41,22
Ascoli,0,0,0,0,6,8,13,29,41,73,80,112,131,167,216,203,251,258,231,181
Inter,328,511,754,275,102,22,5,1,1,0,1,0,0,0,0,0,0,0,0,0
Juventus,884,628,378,82,21,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazio,0,4,9,87,173,276,294,279,223,182,129,103,70,73,33,22,20,14,6,3
Parma,0,0,0,2,6,21,24,59,82,105,156,162,184,203,188,194,200,184,149,81
Reggina,0,0,0,0,4,9,18,36,50,80,101,137,155,170,194,211,229,217,242,147
Siena,0,0,2,3,3,30,37,59,80,126,138,162,189,211,181,204,168,172,139,96
Udinese,0,2,8,83,172,266,236,272,207,194,149,130,85,66,41,44,27,10,6,2
Milan,739,691,392,141,24,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Palermo,1,4,17,100,190,258,299,250,233,165,146,98,79,54,56,23,12,6,8,1
Cagliari,0,0,1,7,16,49,70,104,148,162,186,190,191,182,180,143,144,96,74,57
Chievo,0,0,2,15,65,107,178,179,220,214,214,179,144,137,116,89,59,44,23,15
Empoli,0,0,0,0,2,9,17,30,42,64,94,128,140,167,186,221,224,272,236,168
Lecce,0,0,0,0,3,6,9,15,29,45,59,81,105,124,179,204,267,271,327,276
Messina,0,0,1,2,10,26,53,76,108,114,150,186,198,176,212,212,162,150,104,60
Roma,13,62,187,554,488,281,173,85,53,45,28,16,9,6,0,0,0,0,0,0
Sampdoria,2,1,19,77,188,232,285,273,224,192,132,106,87,63,49,40,15,7,5,3
Treviso,0,0,0,0,1,1,3,2,4,6,16,20,49,58,67,95,143,238,409,888
