Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bayern Munich,1510,259,136,49,24,15,3,2,0,1,1,0,0,0,0,0,0,0,0,0
Bielefeld,0,0,1,0,4,3,12,19,43,73,139,173,220,232,259,291,263,268,0,0
Cottbus,0,0,0,0,3,3,4,8,25,41,62,110,160,189,220,279,361,535,0,0
Karlsruhe,0,0,0,0,0,5,11,17,30,73,119,131,159,218,278,312,308,339,0,0
Leverkusen,58,248,251,253,241,225,223,174,131,83,55,32,13,3,8,0,1,1,0,0
Schalke 04,85,319,264,286,229,221,202,157,104,63,37,17,7,6,1,2,0,0,0,0
Wolfsburg,64,227,268,262,305,225,184,183,111,76,43,29,15,6,0,2,0,0,0,0
Ein Frankfurt,0,1,4,7,8,12,27,38,67,129,173,196,225,248,231,226,235,173,0,0
M'gladbach,0,0,1,3,4,11,18,40,72,102,146,206,274,257,253,227,205,181,0,0
Hannover,1,0,3,10,15,22,47,82,115,175,238,266,227,228,166,151,151,103,0,0
Dortmund,19,63,100,130,194,210,225,258,225,212,133,90,57,39,19,11,10,5,0,0
Hamburg,78,261,289,296,251,210,199,126,132,75,45,19,9,6,1,2,1,0,0,0
Hertha,14,43,75,100,141,182,215,245,290,239,174,94,76,53,32,15,9,3,0,0
Hoffenheim,6,28,72,75,103,150,215,256,253,286,195,157,71,53,45,16,13,6,0,0
Stuttgart,42,169,206,217,236,257,227,203,165,116,74,42,26,9,6,3,1,1,0,0
Werder Bremen,123,380,327,306,230,213,150,108,66,37,27,15,15,2,1,0,0,0,0,0
Bochum,0,0,3,2,6,22,21,42,99,109,170,201,206,231,232,226,240,190,0,0
FC Koln,0,2,0,4,6,14,17,42,72,110,169,222,240,220,248,237,202,195,0,0
