Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Reims,0,0,0,1,9,11,22,35,44,56,89,113,118,149,136,184,201,222,262,348
Bastia,0,0,0,5,6,21,32,48,78,87,85,102,155,149,162,187,190,217,244,232
Evian Thonon Gaillard,0,0,1,0,2,12,30,41,51,56,60,96,101,142,153,183,236,264,277,295
Guingamp,0,2,5,12,31,53,73,93,109,130,146,172,147,145,180,180,140,162,127,93
Lille,3,65,126,203,251,319,239,194,160,103,87,58,60,46,32,18,16,10,5,5
Montpellier,0,8,20,44,81,106,170,176,161,185,160,158,161,125,103,98,85,68,53,38
Nantes,0,1,11,24,39,82,114,156,186,175,180,158,147,152,161,122,101,94,65,32
Nice,0,3,5,9,19,45,80,84,132,145,161,149,164,173,188,148,153,131,116,95
Lyon,25,334,396,348,324,198,136,81,64,40,21,18,3,3,5,3,0,1,0,0
Monaco,40,429,477,385,265,151,98,58,39,27,16,7,4,2,1,0,1,0,0,0
Caen,0,0,5,15,30,65,63,111,136,146,169,174,167,183,156,136,133,116,107,88
Lens,0,0,0,4,3,7,10,16,31,44,53,61,95,125,157,192,229,230,309,434
Lorient,0,1,6,23,41,76,110,137,138,154,172,160,147,158,160,130,133,102,94,58
Metz,0,0,0,1,7,14,32,47,58,66,114,128,124,126,181,194,211,239,237,221
Paris SG,1815,147,30,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rennes,0,4,10,46,56,109,139,164,167,170,186,173,154,151,97,110,90,79,61,34
Toulouse,1,13,23,67,100,112,206,213,189,204,145,148,157,103,88,74,58,40,38,21
Bordeaux,4,27,80,162,206,270,234,210,171,158,117,103,74,56,37,37,21,22,5,6
Marseille,96,740,485,287,189,101,47,29,9,6,6,3,0,1,1,0,0,0,0,0
St Etienne,16,226,320,361,337,248,164,107,77,48,33,19,22,11,2,4,2,3,0,0
