Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Liverpool,9,33,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Ham,0,0,0,0,0,0,2,1,3,3,3,3,1,6,3,6,2,7,6,4
Bournemouth,0,0,0,0,0,0,0,0,1,1,2,3,8,2,6,3,7,3,5,9
Burnley,0,0,0,0,0,0,1,0,3,0,2,6,2,4,7,7,2,4,6,6
Crystal Palace,0,0,0,0,0,0,0,3,1,5,1,3,1,7,6,4,3,7,4,5
Watford,0,0,0,0,0,0,1,1,2,4,3,8,7,5,2,5,3,6,2,1
Tottenham,0,1,6,12,9,10,4,2,3,1,1,0,0,1,0,0,0,0,0,0
Leicester,0,0,1,14,8,6,9,5,2,3,1,1,0,0,0,0,0,0,0,0
Newcastle,0,0,0,0,0,0,0,0,1,1,2,1,4,2,8,2,6,6,6,11
Man United,0,3,4,15,11,7,6,3,1,0,0,0,0,0,0,0,0,0,0,0
Arsenal,0,0,3,5,6,9,3,10,9,4,0,1,0,0,0,0,0,0,0,0
Aston Villa,0,0,0,0,0,0,0,1,1,3,5,4,4,6,3,6,2,2,10,3
Brighton,0,0,0,0,0,1,2,3,2,5,4,8,5,2,4,3,7,3,1,0
Everton,0,0,0,1,1,8,6,7,5,5,7,2,3,1,0,2,1,1,0,0
Norwich,0,0,0,0,0,0,0,0,0,2,2,0,2,4,3,5,5,8,8,11
Southampton,0,0,0,0,0,0,1,1,5,4,8,4,6,5,6,4,4,2,0,0
Man City,41,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheffield United,0,0,0,0,1,0,2,4,3,8,3,5,6,4,1,2,8,1,2,0
Chelsea,0,5,27,3,9,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Wolves,0,0,1,0,4,6,13,7,8,1,5,1,1,1,1,1,0,0,0,0
