Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Lamia,0,0,0,1,0,4,4,9,8,8,15,8,23,20,0,0,0,0,0,0
Aris,0,0,4,32,21,17,9,6,5,0,4,1,0,1,0,0,0,0,0,0
Olympiakos,86,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atromitos,0,0,2,11,16,15,15,12,7,9,4,7,0,2,0,0,0,0,0,0
Panionios,0,0,0,1,2,7,6,13,8,12,12,11,11,17,0,0,0,0,0,0
PAOK,14,66,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEK,0,22,67,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Panetolikos,0,0,0,1,0,2,7,8,13,13,12,17,11,16,0,0,0,0,0,0
Panathinaikos,0,0,5,35,27,11,10,5,4,1,2,0,0,0,0,0,0,0,0,0
Volos NFC,0,0,0,0,1,2,2,6,6,8,10,18,19,28,0,0,0,0,0,0
Larisa,0,0,0,2,2,3,8,12,16,13,13,14,11,6,0,0,0,0,0,0
Asteras Tripolis,0,0,0,3,15,18,17,8,7,9,6,12,4,1,0,0,0,0,0,0
OFI Crete,0,0,0,4,10,15,14,10,12,12,7,6,6,4,0,0,0,0,0,0
Xanthi,0,0,0,3,4,5,7,11,14,15,15,6,15,5,0,0,0,0,0,0
