Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Queretaro,0,1,1,1,2,2,4,2,4,3,5,13,4,13,13,12,9,11,0,0
Necaxa,1,2,1,3,3,4,10,6,3,7,12,8,6,9,9,3,7,6,0,0
Juarez,0,1,1,1,3,1,2,1,4,7,4,4,6,6,11,11,22,15,0,0
Pachuca,8,8,9,9,14,3,5,10,6,3,7,6,4,5,0,2,1,0,0,0
Guadalajara Chivas,0,4,5,3,4,8,6,4,11,11,6,6,6,7,8,5,5,1,0,0
U.N.A.M.- Pumas,0,0,1,1,2,2,6,4,1,7,7,10,6,8,8,14,10,13,0,0
Monterrey,20,11,9,9,7,8,6,7,2,5,3,3,5,1,3,1,0,0,0,0
Club Tijuana,0,1,1,1,5,7,8,7,6,5,13,3,10,5,8,10,3,7,0,0
Cruz Azul,12,10,9,9,11,12,8,6,5,2,6,2,6,1,0,1,0,0,0,0
Mazatlan FC,0,1,0,0,3,3,4,0,1,2,2,6,8,15,3,15,10,27,0,0
Puebla,2,2,5,6,5,4,6,6,9,9,4,10,3,5,9,5,5,5,0,0
Club Leon,9,15,4,9,7,8,8,7,5,7,6,4,3,2,4,0,2,0,0,0
Club America,21,9,11,11,7,2,6,9,7,7,4,2,3,0,1,0,0,0,0,0
Atlas,17,12,19,12,6,9,5,4,5,1,3,0,2,1,2,2,0,0,0,0
Toluca,0,0,3,4,1,2,3,6,10,9,4,11,7,8,12,9,9,2,0,0
Santos Laguna,5,8,6,10,7,13,8,9,11,3,4,1,6,3,0,4,2,0,0,0
Atl. San Luis,1,1,2,3,4,6,1,4,7,6,6,8,5,8,8,4,13,13,0,0
U.A.N.L.- Tigres,4,14,13,8,9,6,4,8,3,6,4,3,10,3,1,2,2,0,0,0
