Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bayern Munich,915,82,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augsburg,0,0,25,54,74,96,99,111,77,96,92,79,57,41,46,32,17,4,0,0
Braunschweig,0,0,0,1,1,1,0,3,12,8,13,17,29,51,71,101,211,481,0,0
Hannover,0,0,8,8,24,37,41,41,62,67,88,68,88,113,135,87,77,56,0,0
Hertha,0,0,25,55,67,85,86,94,90,90,81,88,73,62,40,34,25,5,0,0
Hoffenheim,0,2,17,36,54,73,87,85,99,86,87,85,77,68,55,40,35,14,0,0
Leverkusen,0,66,486,196,109,58,30,20,15,8,5,1,3,1,1,0,1,0,0,0
Mainz,0,3,12,39,67,52,77,76,93,102,81,103,88,61,48,46,38,14,0,0
Schalke 04,0,14,141,209,181,132,98,66,44,30,41,18,9,7,5,4,1,0,0,0
Ein Frankfurt,0,0,8,25,45,59,71,95,100,95,105,77,72,64,65,63,40,16,0,0
Freiburg,0,0,1,1,2,2,15,20,16,36,37,63,92,111,102,159,181,162,0,0
Hamburg,0,0,6,22,30,44,68,67,67,72,87,91,91,97,91,76,64,27,0,0
M'gladbach,0,3,81,115,130,129,112,88,76,86,54,48,33,21,9,13,1,1,0,0
Stuttgart,0,1,18,48,51,62,71,91,97,77,75,79,88,72,69,43,38,20,0,0
Werder Bremen,0,0,0,3,7,13,18,25,41,46,54,76,97,102,124,144,138,112,0,0
Wolfsburg,0,1,102,166,146,136,100,83,71,52,39,35,21,18,18,6,6,0,0,0
Dortmund,85,828,67,14,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nurnberg,0,0,1,8,7,19,27,35,40,49,61,72,82,111,121,152,127,88,0,0
