Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Fulham,0,0,1,1,2,8,9,13,15,17,36,31,39,54,78,95,121,125,162,193
Crystal Palace,0,3,3,8,11,21,35,46,59,60,61,75,72,93,80,87,79,85,68,54
Liverpool,401,237,154,83,59,26,16,11,3,1,5,2,1,1,0,0,0,0,0,0
West Ham,0,1,7,8,16,28,30,52,54,62,72,94,109,78,87,68,70,64,54,46
West Brom,0,0,0,2,2,9,5,10,7,25,36,36,60,58,76,100,112,141,149,172
Tottenham,20,43,59,110,99,131,109,91,79,56,64,55,21,20,17,14,7,4,1,0
Brighton,1,8,13,22,41,48,50,73,81,110,73,87,62,77,69,54,37,48,26,20
Sheffield United,0,0,2,2,11,5,15,20,32,27,42,59,74,83,93,81,131,109,118,96
Everton,9,22,42,58,79,87,89,105,93,90,74,64,46,43,36,27,16,10,6,4
Leeds,5,8,15,35,40,55,70,84,83,81,106,93,72,70,59,39,34,24,19,8
Man United,50,99,139,116,128,99,85,75,59,51,25,25,21,8,7,8,3,0,1,1
Arsenal,12,43,60,103,105,114,86,87,97,66,47,40,51,31,21,19,8,4,6,0
Southampton,4,8,20,49,61,61,95,79,75,79,85,79,58,58,55,49,35,23,18,9
Newcastle,0,0,3,4,3,3,12,9,15,18,30,34,55,76,79,80,123,131,162,163
Chelsea,218,206,215,122,79,50,34,29,17,8,9,6,4,2,0,1,0,0,0,0
Leicester,13,30,49,111,127,105,99,78,72,75,55,36,50,36,16,17,15,13,2,1
Aston Villa,1,4,3,9,24,29,40,34,53,73,76,75,90,73,83,109,64,68,54,38
Wolves,6,6,20,39,43,80,81,77,85,75,75,68,68,72,57,45,40,24,31,8
Burnley,0,0,1,3,3,7,13,16,15,25,28,40,46,67,87,107,105,127,123,187
Man City,260,282,194,115,67,34,27,11,6,1,1,1,1,0,0,0,0,0,0,0
