Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bournemouth,0,3,4,20,34,95,169,244,339,405,382,356,366,381,332,287,217,176,109,81
Chelsea,333,556,728,741,585,461,267,168,80,41,19,12,4,1,1,1,1,1,0,0
Everton,8,30,65,132,230,332,536,547,491,399,319,258,194,155,110,82,52,39,17,4
Leicester,4,25,65,111,223,353,445,544,487,406,347,285,211,152,111,93,67,28,30,13
Man United,258,422,601,699,619,525,385,237,119,59,36,20,10,4,1,3,2,0,0,0
Norwich,0,0,1,5,4,24,45,87,129,187,251,297,325,369,386,384,420,405,390,291
Arsenal,1271,1085,699,413,280,144,69,24,8,6,1,0,0,0,0,0,0,0,0,0
Newcastle,0,0,1,4,6,11,27,72,106,160,221,237,287,341,381,417,427,483,461,358
Stoke,0,1,1,8,20,55,89,134,232,325,377,405,400,394,346,340,298,263,194,118
West Brom,0,0,0,1,3,12,15,40,79,95,136,215,258,321,353,438,469,533,565,467
Aston Villa,0,0,0,0,0,1,7,10,21,30,42,69,105,143,189,283,367,517,782,1434
Southampton,25,73,174,282,414,501,669,536,453,309,206,129,95,52,31,30,12,6,1,2
Sunderland,0,0,0,0,2,4,7,21,49,77,95,155,192,245,311,367,482,562,656,775
Swansea,0,0,5,8,23,67,104,193,270,349,399,391,390,372,395,316,262,205,171,80
Tottenham,225,397,538,594,627,587,375,299,144,108,42,25,25,7,5,0,1,1,0,0
Watford,0,0,0,1,8,21,33,109,141,199,276,302,365,367,375,408,435,402,330,228
West Ham,1,4,6,12,40,62,162,263,350,382,388,411,389,355,333,252,227,169,127,67
Crystal Palace,0,0,6,18,37,59,140,196,324,372,408,402,362,332,334,294,260,209,166,81
Man City,1700,1043,553,345,193,85,49,15,9,3,4,0,1,0,0,0,0,0,0,0
Liverpool,175,361,553,606,652,601,407,261,169,88,51,31,21,9,6,5,1,1,1,1
