,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Bayern Munich,80.56,76.0,13.6,10.4,410879,170000,129237,23168,17595
2,RB Leipzig,67.06,60.2,20.6,19.2,342006,170000,102336,34998,32666
3,Dortmund,64.73,58.1,20.0,22.0,330100,170000,98720,33940,37340
4,Leverkusen,57.23,49.8,22.4,27.8,291882,170000,84605,38067,47328
5,M'gladbach,50.01,42.2,23.4,34.4,255034,170000,71759,39757,58484
6,Hoffenheim,49.26,41.6,23.0,35.4,251246,170000,70705,39131,60164
7,Wolfsburg,46.69,38.3,25.1,36.6,238104,170000,65123,42735,62142
8,Freiburg,46.56,38.4,24.5,37.1,237453,170000,65261,41670,63069
9,Mainz,45.2,36.9,25.0,38.1,230521,170000,62649,42574,64777
10,Union Berlin,43.85,35.5,25.2,39.3,223659,170000,60270,42849,66881
11,FC Koln,43.63,35.6,24.0,40.3,222517,170000,60554,40855,68591
12,Ein Frankfurt,43.63,35.7,23.9,40.4,222520,170000,60636,40612,68752
13,Stuttgart,39.42,31.4,24.2,44.5,201022,170000,53316,41074,75610
14,Hertha,35.33,27.2,24.5,48.3,180174,170000,46169,41667,82164
15,Augsburg,32.67,24.8,23.8,51.5,166613,170000,42079,40376,87545
16,Bochum,32.19,24.5,23.2,52.4,164177,170000,41593,39398,89009
17,Bielefeld,29.98,22.1,23.5,54.3,152900,170000,37643,39971,92386
18,Greuther Furth,23.66,16.9,20.2,62.9,120643,170000,28795,34258,106947
