,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,80.3,75.2,15.3,9.5,89137,37000,27824,5665,3511
2,Liverpool,74.31,68.4,17.7,13.9,82481,37000,25307,6560,5133
3,Chelsea,68.91,61.7,21.6,16.7,76489,37000,22833,7990,6177
4,Man United,59.49,52.0,22.5,25.5,66035,37000,19233,8336,9431
5,Arsenal,55.63,47.8,23.6,28.6,61746,37000,17670,8736,10594
6,Tottenham,53.64,45.6,24.2,30.3,59541,37000,16868,8937,11195
7,West Ham,47.65,39.5,24.5,36.0,52896,37000,14606,9078,13316
8,Aston Villa,43.43,34.6,26.4,39.0,48206,37000,12815,9761,14424
9,Brighton,42.83,34.1,26.2,39.7,47544,37000,12615,9699,14686
10,Leicester,42.59,34.4,24.5,41.0,47276,37000,12732,9080,15188
11,Wolves,40.64,31.7,26.9,41.4,45113,37000,11723,9944,15333
12,Everton,40.21,31.7,25.5,42.8,44635,37000,11728,9451,15821
13,Southampton,39.44,31.2,24.6,44.1,43774,37000,11552,9118,16330
14,Leeds,38.54,30.6,23.8,45.6,42776,37000,11327,8795,16878
15,Crystal Palace,38.48,29.7,26.3,44.0,42718,37000,10991,9745,16264
16,Brentford,36.03,27.4,25.9,46.7,39990,37000,10140,9570,17290
17,Newcastle,33.53,25.5,24.1,50.4,37220,37000,9430,8930,18640
18,Burnley,31.31,23.0,25.0,52.0,34756,37000,8507,9235,19258
19,Watford,28.6,20.6,24.0,55.4,31744,37000,7621,8881,20498
20,Norwich,25.23,17.7,22.5,59.8,28010,37000,6565,8315,22120
