,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Paris SG,77.27,71.8,16.5,11.7,428870,185000,132753,30611,21636
2,Lyon,60.59,53.2,22.3,24.6,336254,185000,98347,41213,45440
3,Monaco,60.08,52.1,23.8,24.0,333418,185000,96448,44074,44478
4,Rennes,57.55,49.4,24.3,26.2,319420,185000,91470,45010,48520
5,Marseille,55.71,47.4,24.9,27.7,309205,185000,87735,46000,51265
6,Lille,52.73,44.0,26.3,29.7,292679,185000,81339,48662,54999
7,Nice,52.68,44.2,25.4,30.4,292351,185000,81814,46909,56277
8,Lens,50.06,41.5,25.8,32.8,277816,185000,76715,47671,60614
9,Strasbourg,49.0,40.2,26.4,33.4,271971,185000,74363,48882,61755
10,Nantes,40.31,31.4,26.7,41.9,223748,185000,58115,49403,77482
11,Clermont,38.85,30.3,25.6,44.1,215605,185000,56082,47359,81559
12,Montpellier,38.6,30.3,25.0,44.8,214237,185000,56021,46174,82805
13,Angers,38.48,29.5,27.0,43.5,213545,185000,54548,49901,80551
14,St Etienne,37.24,28.6,26.0,45.4,206676,185000,52856,48108,84036
15,Brest,36.69,28.3,25.2,46.5,203651,185000,52326,46673,86001
16,Reims,36.53,27.4,27.3,45.3,202765,185000,50781,50422,83797
17,Lorient,35.83,27.2,25.9,46.9,198833,185000,50320,47873,86807
18,Bordeaux,33.55,25.4,24.5,50.1,186189,185000,46973,45270,92757
19,Troyes,33.43,25.0,25.2,49.7,185562,185000,46298,46668,92034
20,Metz,31.64,23.3,25.1,51.7,175577,185000,43068,46373,95559
