,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Real Madrid,67.3,60.1,21.5,18.4,373502,185000,111252,39746,34002
2,Barcelona,64.95,57.5,22.2,20.3,360450,185000,106458,41076,37466
3,Ath Madrid,64.84,56.5,24.9,18.6,359872,185000,104601,46069,34330
4,Sevilla,56.91,47.9,26.9,25.2,315851,185000,88705,49736,46559
5,Villarreal,56.01,47.5,25.4,27.1,310854,185000,87961,46971,50068
6,Sociedad,53.75,44.9,26.6,28.5,298327,185000,83029,49240,52731
7,Ath Bilbao,52.42,43.4,27.1,29.5,290951,185000,80266,50153,54581
8,Betis,50.66,41.9,26.4,31.8,281141,185000,77460,48761,58779
9,Celta,45.05,36.0,27.0,36.9,250028,185000,66671,50015,68314
10,Valencia,41.63,32.7,26.8,40.5,231074,185000,60497,49583,74920
11,Osasuna,40.14,31.0,27.5,41.5,222797,185000,57298,50903,76799
12,Espanol,39.32,30.2,27.4,42.4,218212,185000,55841,50689,78470
13,Getafe,39.17,29.4,29.4,41.2,217382,185000,54335,54377,76288
14,Vallecano,38.73,29.8,26.8,43.4,214967,185000,55152,49511,80337
15,Mallorca,37.13,28.1,27.1,44.8,206097,185000,51994,50115,82891
16,Levante,36.44,27.9,25.6,46.5,202242,185000,51602,47436,85962
17,Granada,33.33,24.7,26.0,49.4,184973,185000,45654,48011,91335
18,Alaves,33.17,24.3,26.7,49.1,184110,185000,44928,49326,90746
19,Elche,30.92,22.3,26.0,51.7,171628,185000,41164,48136,95700
20,Cadiz,30.85,22.1,26.4,51.6,171204,185000,40794,48822,95384
