timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1501266600,Jul 28 2017 - 6:30pm,complete,27350,Bochum,St. Pauli,Bastian Dankert,1,0,0,1.71,1.18,0,1,1,0,0,0,,65,8,2,1,0,1,0,1,0,1,0,9,13,6,8,3,5,12,10,61,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,3.39,3.06,1.32,2.02,3.55,7,1.8,1.91,Vonovia Ruhrstadion
1501326000,Jul 29 2017 - 11:00am,complete,10870,Ingolstadt,Union Berlin,Sascha Stegemann,1,0,0,1.12,1.12,0,1,1,0,0,0,,59,3,3,0,0,3,0,0,0,0,3,10,12,4,4,6,8,14,21,44,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,3.45,3.79,1.32,2.05,3.55,8,1.8,1.91,Audi-Sportpark
1501335000,Jul 29 2017 - 1:30pm,complete,16100,Darmstadt 98,Greuther Fürth,Sören Storks,1,0,0,1.35,0.53,1,0,1,0,0,0,56,,2,5,1,0,4,0,0,1,1,3,10,6,6,2,4,4,14,24,51,49,1.48,0.92,0,0,0,0,0,0,0,0,0,0,0,0,2.15,3.48,3.68,1.38,2.2,3.8,8,1.91,1.8,Merck-Stadion am Böllenfalltor
1501335000,Jul 29 2017 - 1:30pm,complete,17333,Arminia Bielefeld,Jahn Regensburg,Sven Jablonski,1,0,0,1.59,1.06,2,1,3,2,1,1,"39,90",23,7,4,3,1,3,0,1,3,2,1,14,9,6,4,8,5,14,11,53,47,1.9,1.26,0,0,0,0,0,0,0,0,0,0,0,0,2.14,3.48,3.7,1.32,2.1,3.55,8,1.91,1.8,SchücoArena
1501414200,Jul 30 2017 - 11:30am,complete,30569,Nürnberg,Kaiserslautern,Markus Schmidt,1,0,0,1.65,0.94,3,0,3,2,2,0,"13,25,54",,5,3,0,0,3,0,0,0,0,3,7,12,4,4,3,8,11,14,50,50,1.16,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2.32,3.35,3.38,1.38,2.3,3.9,9,2,1.73,Max-Morlock-Stadion
1501421400,Jul 30 2017 - 1:30pm,complete,28520,Dynamo Dresden,MSV Duisburg,Felix Zwayer,1,0,0,1.12,1.47,1,0,1,0,0,0,88,,7,3,1,0,3,1,1,0,0,4,16,11,9,4,7,7,12,17,55,45,2.12,1.38,0,0,0,0,0,0,0,0,0,0,0,0,2.15,3.47,3.68,1.32,2.02,3.45,7,1.8,1.91,DDV-Stadiom (Dresden)
1501421400,Jul 30 2017 - 1:30pm,complete,9513,Holstein Kiel,Sandhausen,Benjamin Cortus,1,0,0,1.82,1,2,2,4,2,0,2,"75,90'5","14,35",12,2,2,0,3,0,1,1,2,1,17,8,4,3,13,5,20,22,61,39,1.8,1.01,0,0,0,0,0,0,0,0,0,0,0,0,2.11,3.34,3.98,1.43,2.3,4.4,10,2,1.73,Holstein-Stadion
1501525800,Jul 31 2017 - 6:30pm,complete,25492,Fortuna Düsseldorf,Eintracht Braunschweig,Christian Dingert,1,0,0,2,0.88,2,2,4,2,1,1,"9,79","35,60",5,5,2,0,3,1,0,2,1,3,12,12,5,10,7,2,17,16,55,45,1.51,1.76,0,0,0,0,0,0,0,0,0,0,0,0,2.61,3.3,2.95,1.4,2.15,4,9,1.91,1.8,ESPRIT arena (Düsseldorf)
1501864200,Aug 04 2017 - 4:30pm,complete,21242,Union Berlin,Holstein Kiel,Frank Willenborg,2,0,0,1.65,1.47,4,3,7,6,3,3,"14,24,27,52","12,16,32",3,0,2,0,2,0,0,2,0,2,15,9,9,6,6,3,15,16,49,51,2.07,1.38,0,0,0,0,0,0,0,0,0,0,0,0,1.86,3.63,4.72,1.31,2.05,3.7,7,1.91,1.83,Stadion An der Alten Försterei
1501864200,Aug 04 2017 - 4:30pm,complete,5321,Sandhausen,Ingolstadt,Christof Günsch,2,0,0,1.53,1.53,1,0,1,0,0,0,70,,3,4,2,0,2,0,1,1,2,0,7,6,4,5,3,1,19,17,51,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19,3.25,2.47,1.4,2.34,4.5,9.5,2,1.8,BWT-Stadion am Hardtwald
