timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1563555600,Jul 19 2019 - 5:00pm,complete,15000,1860 München,Preußen Münster,Harm Osmers,1,0.00,0.00,1.74,0.68,1,1,2,1,0,1,"51","32",5,1,4,0,2,0,2,2,2,0,9,3,3,2,6,1,16,13,53,47,1.19,0.59,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.40,3.50,1.29,2.00,3.60,6.95,1.83,1.83,Städtisches Stadion an der Grünwalder Straße (München)
1563624000,Jul 20 2019 - 12:00pm,complete,7748,Würzburger Kickers,Bayern München II,Daniel Schlager,1,0.00,0.00,1.84,1.47,3,1,4,1,1,0,"9,80,82","78",5,4,3,0,2,0,2,1,1,1,18,15,11,4,7,11,12,10,39,61,2.27,1.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.85,3.60,4.00,1.28,1.95,3.40,6.50,1.80,1.90,flyeralarm-Arena (Würzburg)
1563624000,Jul 20 2019 - 12:00pm,complete,20147,Kaiserslautern,Unterhaching,Sven Jablonski,1,0.00,0.00,1.58,1.42,1,1,2,1,1,0,"19","50",4,1,3,0,3,0,1,2,1,2,11,12,6,5,5,7,9,15,43,57,1.55,1.63,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.40,3.60,1.35,2.11,3.48,6.70,1.83,1.83,Fritz-Walter-Stadion (Kaiserslautern)
1563624000,Jul 20 2019 - 12:00pm,complete,12831,MSV Duisburg,Sonnenhof Großaspach,Sascha Stegemann,1,0.00,0.00,2.05,1.00,4,1,5,2,1,1,"25,54,56,60","42",3,5,0,0,0,0,0,0,0,0,10,12,4,4,6,8,9,7,52,48,1.29,1.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.50,4.75,1.33,2.05,3.50,8.00,1.83,1.83,Schauinsland-Reisen-Arena (Duisburg)
1563624000,Jul 20 2019 - 12:00pm,complete,6460,Meppen,Zwickau,Tobias Reichel,1,0.00,0.00,1.37,0.79,0,2,2,0,0,0,"","55,87",10,6,2,0,4,0,1,1,2,2,-1,-1,-1,-1,-1,-1,15,19,57,43,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.25,3.50,1.28,1.95,3.25,6.50,1.72,2.00,Hänsch-Arena (Meppen)
1563624000,Jul 20 2019 - 12:00pm,complete,15587,Hansa Rostock,Viktoria Köln,Tobias Stieler,1,0.00,0.00,1.95,1.21,3,3,6,4,3,1,"9,13,19","27,49,62",2,5,1,0,0,0,0,1,0,0,14,14,6,9,8,5,14,12,52,48,1.68,1.82,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.40,3.75,1.33,2.05,3.50,7.00,1.83,1.83,Ostseestadion (Rostock)
1563637500,Jul 20 2019 - 3:45pm,complete,16102,Magdeburg,Eintracht Braunschweig,Felix Zwayer,1,0.00,0.00,1.26,1.53,2,4,6,4,1,3,"11,50","7,18,32,90'6",5,5,2,1,3,0,1,2,2,1,11,8,6,5,5,3,14,17,63,37,1.71,1.29,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.20,3.25,1.31,2.00,3.65,7.00,1.80,1.91,MDCC-Arena (Magdeburg)
1563706800,Jul 21 2019 - 11:00am,complete,7381,Chemnitzer FC,Waldhof Mannheim,Robert Hartmann,1,0.00,0.00,1.58,1.68,1,1,2,1,0,1,"55","22",9,3,0,0,2,0,0,0,0,2,12,7,4,4,8,3,15,4,53,47,1.51,1.06,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.10,2.87,1.31,1.98,3.20,6.00,1.70,2.05,Stadion Chemnitz (Chemnitz)
1563710400,Jul 21 2019 - 12:00pm,complete,3300,Uerdingen,Hallescher FC,Martin Petersen,1,0.00,0.00,1.11,1.11,1,0,1,0,0,0,"65","",1,15,4,0,4,0,2,2,0,4,9,24,3,11,6,13,14,16,43,57,1.10,2.97,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.10,2.55,1.32,2.01,3.20,6.50,1.70,2.05,Merkur Spiel-Arena (Düsseldorf)
1563814800,Jul 22 2019 - 5:00pm,complete,8399,Carl Zeiss Jena,Ingolstadt,Daniel Siebert,1,0.00,0.00,0.63,1.84,1,2,3,0,0,0,"56","60,72",3,5,2,0,2,0,1,1,1,1,2,3,2,2,0,1,9,12,55,45,0.30,0.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,3.30,2.00,1.20,1.70,2.62,5.00,1.57,2.25,Ernst-Abbe-Sportfeld (Jena)
