timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1549674000,Feb 09 2019 - 1:00am,complete,N/A,Guayaquil City FC,Macará,Luis Eduardo Quiroz Prado,1,0.00,0.00,1.47,2.06,1,1,2,0,0,0,"84","78",5,2,2,0,3,0,1,1,0,3,13,8,7,2,6,6,15,27,51,49,1.71,1.03,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Christian Benítez Betancourt
1549742400,Feb 09 2019 - 8:00pm,complete,N/A,Fuerza Amarilla SC,Delfin SC,Luis Eduardo Quiroz Prado,1,0.00,0.00,0.47,1.44,0,2,2,1,0,1,"","43,66",3,7,2,0,1,0,0,2,0,1,13,8,7,2,6,6,15,27,51,49,1.65,1.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.30,2.30,1.24,1.95,3.20,5.90,1.66,2.12,Estadio 9 de Mayo
1549750500,Feb 09 2019 - 10:15pm,complete,N/A,LDU Quito,CD Olmedo,Roberto Paul Sánchez Rodríguez,1,0.00,0.00,1.72,0.80,3,2,5,3,2,1,"15,41,90'4","33,83",4,3,3,0,2,0,2,1,1,1,8,6,3,2,5,4,15,20,50,50,1.15,0.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,4.20,7.50,1.23,1.89,3.10,5.60,2.20,1.61,Estadio de Liga Deportiva Universitaria
1549758600,Feb 10 2019 - 12:30am,complete,N/A,Barcelona,CD El Nacional,Juan Carlos Albarracín Cartagena,1,0.00,0.00,2.00,1.60,5,2,7,2,2,0,"3,22,48,90'2,90'4","52,57",4,1,3,0,0,0,0,3,0,0,18,5,9,4,9,1,24,15,55,45,2.30,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.34,4.55,7.50,1.20,1.67,2.70,4.60,1.95,1.77,Estadio Monumental Isidro Romero Carbo
1549825200,Feb 10 2019 - 7:00pm,complete,N/A,Deportivo Cuenca,CSD Independiente del Valle,Guillermo Enrique Guerrero Alcivar,1,0.00,0.00,1.93,1.44,3,2,5,3,1,2,"38,58,64","17,40",2,3,4,0,2,0,1,3,1,1,9,11,5,4,4,7,10,20,53,47,1.40,1.44,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.40,3.20,2.80,1.39,2.20,4.15,9.00,1.95,1.77,Estadio Alejandro Serrano Aguilar Banco del Austro
1549832700,Feb 10 2019 - 9:05pm,complete,N/A,SD Aucas,CS Emelec,Roddy Alberto Zambrano Olmedo,1,0.00,0.00,2.12,1.31,0,2,2,1,0,1,"","25,86",10,2,3,0,4,0,1,2,2,2,10,5,4,4,6,1,20,13,51,49,1.57,0.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.00,3.00,1.47,2.45,4.75,11.00,2.05,1.69,Estadio Gonzalo Pozo Ripalda
1549839900,Feb 10 2019 - 11:05pm,complete,N/A,Técnico Universitario,CD Universidad Católica,José Luis Espinel Mena,1,0.00,0.00,1.00,1.44,1,2,3,1,1,0,"20","51,90'1",1,1,2,1,3,0,1,2,0,3,3,3,3,0,0,3,21,16,39,61,0.42,0.22,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.50,3.50,1.95,1.25,1.83,3.10,6.00,1.74,2.00,Estadio Bellavista de Ambato
1549930500,Feb 12 2019 - 12:15am,complete,N/A,América de Quito,Mushuc Runa SC,Augusto Bergelio Aragón Bautista,1,0.00,0.00,1.33,0.80,0,1,1,0,0,0,"","53",3,3,3,1,2,1,2,2,1,2,18,14,8,9,10,5,25,20,58,42,2.09,1.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.25,3.05,1.32,2.00,3.60,8.00,1.83,1.91,Estadio Olímpico Atahualpa
1550276100,Feb 16 2019 - 12:15am,complete,N/A,CD El Nacional,SD Aucas,Luis Eduardo Quiroz Prado,2,0.00,0.00,1.40,1.06,1,3,4,4,1,3,"45","2,14,18",10,3,3,0,2,0,0,3,0,2,10,9,5,5,5,4,16,24,50,50,1.96,1.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.80,3.60,1.78,1.25,1.85,3.25,5.50,1.73,2.00,Estadio Olímpico Atahualpa
1550347200,Feb 16 2019 - 8:00pm,complete,N/A,CD Olmedo,América de Quito,Diego Jefferson Lara León,2,0.00,0.00,1.47,0.40,1,0,1,0,0,0,"52","",8,4,2,0,2,0,0,2,2,0,10,7,5,4,5,3,14,13,45,55,1.54,1.26,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.15,3.00,1.38,2.20,4.10,9.00,1.91,1.80,Estadio Olímpico de Riobamba
1550355300,Feb 16 2019 - 10:15pm,complete,N/A,CD Universidad Católica,LDU Quito,Franklin Andrés Congo Viteri,2,0.00,0.00,2.06,1.50,0,0,0,0,0,0,"","",3,2,4,1,3,0,2,3,2,1,2,0,0,0,2,0,19,18,50,50,0.55,0.68,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.70,3.15,2.50,1.33,2.05,3.65,7.00,1.80,1.91,Estadio Olímpico Atahualpa
1550363400,Feb 17 2019 - 12:30am,complete,N/A,Macará,Barcelona,Vinício Eduardo Espinel Espín,2,0.00,0.00,1.82,1.50,0,0,0,0,0,0,"","",5,1,2,1,2,0,0,3,0,2,3,7,2,4,1,3,20,17,48,52,0.75,1.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.05,3.30,1.43,2.35,4.40,10.00,2.05,1.71,Estadio Bellavista de Ambato
1550430000,Feb 17 2019 - 7:00pm,complete,N/A,Mushuc Runa SC,Deportivo Cuenca,Marlon Gregorio Vera Solís,2,0.00,0.00,1.20,0.93,1,1,2,2,1,1,"29","41",5,5,5,0,2,0,1,4,1,1,9,5,3,4,6,1,26,19,45,55,1.20,0.98,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.15,3.10,1.33,2.05,3.65,8.00,1.83,1.91,Estadio del Mushuc Runa Sporting Club
1550438100,Feb 17 2019 - 9:15pm,complete,N/A,CS Emelec,Fuerza Amarilla SC,Roberto Israel Alarcón Sánchez,2,0.00,0.00,1.63,0.27,1,2,3,0,0,0,"88","77,90'4",6,3,2,0,4,0,0,2,1,3,6,8,2,6,4,2,18,22,46,54,1.12,1.41,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.22,5.85,11.00,1.19,1.65,2.60,5.50,2.30,1.56,Estadio Banco del Pacífico
1550446200,Feb 17 2019 - 11:30pm,complete,N/A,Delfin SC,Guayaquil City FC,Mario Geovanny Romero Córdova,2,0.00,0.00,1.94,0.60,0,1,1,0,0,0,"","51",4,2,4,0,3,0,2,2,2,1,5,3,3,3,2,0,31,25,48,52,0.99,0.61,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.22,5.50,11.75,1.23,1.77,2.90,5.50,2.40,1.53,Estadio Jocay
1550535300,Feb 19 2019 - 12:15am,complete,N/A,CSD Independiente del Valle,Técnico Universitario,N/A,2,0.00,0.00,1.94,0.93,1,0,1,0,0,0,"81","",3,1,2,1,5,0,3,0,3,2,18,5,7,2,11,3,22,29,61,39,2.09,0.70,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.56,4.05,5.15,1.16,1.56,2.40,0.00,1.62,2.15,Estadio General Rumiñahui del Valle de Los Chillos
1550880900,Feb 23 2019 - 12:15am,complete,N/A,Deportivo Cuenca,CS Emelec,Mario Geovanny Romero Córdova,3,3.00,3.00,1.93,1.31,1,0,1,0,0,0,"86","",6,5,2,0,3,2,0,2,1,4,18,6,9,3,9,3,23,21,53,47,2.28,0.89,3.50,50,100,50,50,50,50,100,50,100,4.00,8.00,2.65,3.00,2.70,1.44,2.40,4.60,0.00,2.00,1.71,Estadio Alejandro Serrano Aguilar Banco del Austro
1550952000,Feb 23 2019 - 8:00pm,complete,N/A,Fuerza Amarilla SC,CD Olmedo,José Luis Espinel Mena,3,0.00,0.00,0.47,0.80,1,4,5,1,0,1,"48","9,65,87,90'3",1,5,2,0,2,0,0,2,2,0,13,15,9,7,4,8,18,29,50,50,1.86,1.80,3.50,50,100,50,50,50,50,100,50,100,6.00,4.00,1.91,3.35,3.70,1.43,2.30,4.35,0.00,2.05,1.69,Estadio 9 de Mayo
1550960100,Feb 23 2019 - 10:15pm,complete,N/A,América de Quito,LDU Quito,Guillermo Enrique Guerrero Alcivar,3,0.00,1.00,1.33,1.50,0,1,1,1,0,1,"","34",4,7,1,0,2,0,0,1,1,1,9,8,5,5,4,3,17,32,47,53,1.36,1.38,0.50,0,0,0,0,0,0,0,0,50,5.00,7.00,5.50,3.80,1.50,1.39,2.20,4.15,0.00,2.25,1.59,Estadio Olímpico Atahualpa
1550968200,Feb 24 2019 - 12:30am,complete,N/A,Técnico Universitario,Macará,Roddy Alberto Zambrano Olmedo,3,0.00,1.00,1.00,2.06,0,2,2,1,0,1,"","16,54",4,4,3,0,4,0,1,2,2,2,14,15,4,8,10,7,27,22,46,54,1.63,1.96,2.50,100,100,50,0,0,0,50,100,100,3.00,7.00,4.25,3.40,1.80,1.49,2.50,4.95,0.00,2.30,1.56,Estadio Bellavista de Ambato
1551034800,Feb 24 2019 - 7:00pm,complete,N/A,SD Aucas,CD Universidad Católica,Vinício Eduardo Espinel Espín,3,0.00,3.00,2.12,1.44,3,1,4,2,1,1,"45'2,46,79","36",5,2,4,0,3,0,2,2,3,0,10,7,6,3,4,4,24,10,47,53,1.48,1.08,2.50,50,100,50,0,0,0,100,50,100,11.00,6.00,2.20,3.25,3.10,1.34,2.05,3.75,0.00,1.87,1.87,Estadio Gonzalo Pozo Ripalda
1551042900,Feb 24 2019 - 9:15pm,complete,N/A,Barcelona,Mushuc Runa SC,Diego Jefferson Lara León,3,3.00,3.00,2.00,0.80,2,0,2,0,0,0,"55,82","",4,3,1,0,2,0,1,0,2,0,14,3,6,0,8,3,28,17,54,46,1.79,0.59,4.00,50,50,50,50,50,50,50,50,100,7.00,6.00,1.36,4.60,7.25,1.20,1.67,2.65,0.00,1.87,1.87,Estadio Monumental Isidro Romero Carbo
1551051000,Feb 24 2019 - 11:30pm,complete,N/A,CD El Nacional,Delfin SC,Franklin Andrés Congo Viteri,3,0.00,3.00,1.40,1.44,0,1,1,1,0,1,"","6",4,1,3,0,2,0,1,2,1,1,15,9,5,3,10,6,14,22,50,50,1.83,1.18,3.00,50,100,50,50,0,50,100,0,50,17.00,4.00,3.00,3.40,2.20,1.23,1.77,2.90,0.00,1.62,2.15,Estadio Olímpico Atahualpa
1551140100,Feb 26 2019 - 12:15am,complete,N/A,Guayaquil City FC,CSD Independiente del Valle,Juan Carlos Albarracín Cartagena,3,1.00,0.00,1.47,1.44,0,1,1,0,0,0,"","88",2,4,0,0,0,0,0,0,0,0,7,11,0,8,7,3,20,18,42,58,0.73,1.75,3.50,100,100,50,50,50,50,50,100,100,8.00,4.00,3.35,3.15,2.15,1.42,2.30,4.35,0.00,1.95,1.77,Estadio Christian Benítez Betancourt
