timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1645228800,Feb 19 2022 - 12:00am,complete,N/A,CS Emelec,Macará,Franklin Andrés Congo Viteri,1,0.00,0.00,2.00,0.43,4,0,4,4,4,0,"8,12,27,45","",4,3,2,0,1,0,0,2,0,1,12,4,8,0,4,4,20,18,66,34,1.70,0.53,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.38,4.30,6.75,1.25,1.87,3.10,5.75,2.19,1.64,Estadio George Capwell (Guayaquil)
1645300800,Feb 19 2022 - 8:00pm,complete,N/A,Mushuc Runa SC,CD Universidad Católica,René Fabián Marín Inca,1,0.00,0.00,1.29,1.71,1,2,3,2,1,1,"35","26,53",6,4,2,0,3,0,0,2,0,3,10,15,6,5,4,10,13,16,57,43,1.52,1.65,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.76,3.40,2.18,1.22,1.75,2.76,5.00,1.66,2.16,Estadio Cooperativa de Ahorro y Crédito Mushuc Runa (Ambato)
1645309800,Feb 19 2022 - 10:30pm,complete,N/A,LDU Quito,Gualaceo SC,Mario Geovanny Romero Córdova,1,0.00,0.00,2.71,0.71,1,0,1,0,0,0,"64","",4,4,1,0,1,0,0,1,0,1,20,10,10,3,10,7,15,16,67,33,2.52,1.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.15,6.40,13.00,3.15,1.58,2.15,5.50,2.20,1.62,Estadio Rodrigo Paz Delgado (Quito)
1645318800,Feb 20 2022 - 1:00am,complete,N/A,Delfin SC,Barcelona,Carlos Aníbal Orbe Ruiz,1,0.00,0.00,1.57,2.00,0,1,1,0,0,0,"","90",3,3,3,1,4,0,2,2,2,2,8,11,4,7,4,4,13,14,44,56,1.07,1.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.20,3.50,2.00,1.27,1.83,3.14,5.90,1.71,2.08,Estadio Jocay (Manta)
1645383600,Feb 20 2022 - 7:00pm,complete,N/A,Orense SC,SD Aucas,Luis Eduardo Quiroz Prado,1,0.00,0.00,2.14,0.86,1,1,2,0,0,0,"85","61",6,5,3,1,8,1,1,3,4,5,7,6,2,4,5,2,15,20,52,48,1.30,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.40,3.10,2.75,3.10,1.95,3.35,6.50,1.81,1.96,Estadio 9 de Mayo (Machala)
1645392600,Feb 20 2022 - 9:30pm,complete,N/A,Guayaquil City FC,Deportivo Cuenca,Juan Carlos Andrade Arreaga,1,0.00,0.00,1.57,1.29,2,0,2,2,2,0,"12,25","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.17,5.75,15.00,1.11,2.00,1.79,3.40,2.10,1.68,Estadio Christian Benítez Betancourt (Guayaquil)
1645401600,Feb 21 2022 - 12:00am,complete,N/A,Cumbayá,CSD Independiente del Valle,N/A,1,0.00,0.00,1.14,2.14,0,1,1,0,0,0,"","90'9",2,5,3,2,3,0,0,5,1,2,5,10,4,4,1,6,14,15,42,58,0.75,1.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.25,4.30,1.43,1.23,1.70,2.80,5.50,2.10,1.68,Estadio Universitario Dr. Javier Fernández Orrantia (Quito)
1645488000,Feb 22 2022 - 12:00am,complete,N/A,Técnico Universitario,9 de Octubre,Roberto Paul Sánchez Rodríguez,1,0.00,0.00,0.71,0.29,2,1,3,2,2,0,"33,44","83",0,4,4,1,4,0,1,4,1,3,12,7,7,4,5,3,23,14,45,55,1.48,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.55,2.90,3.00,1.44,2.38,4.05,8.25,1.90,1.83,Estadio Bellavista de Ambato (Ambato)
1645833600,Feb 26 2022 - 12:00am,complete,N/A,Deportivo Cuenca,LDU Quito,Álex Cajas,2,0.00,0.00,1.71,1.00,2,0,2,0,0,0,"57,63","",9,10,1,1,3,0,1,1,0,3,8,8,6,7,2,1,12,15,54,46,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.05,2.35,2.35,0.00,3.40,0.00,0.00,0.00,0.00,Estadio Alejandro Serrano Aguilar Banco del Austro (Cuenca)
1645905600,Feb 26 2022 - 8:00pm,complete,N/A,SD Aucas,Delfin SC,Jaime Enrique Sánchez Méndez,2,0.00,0.00,2.43,1.57,3,0,3,1,1,0,"39,90,90'3","",5,8,4,0,2,1,0,4,1,2,12,7,8,4,4,3,18,16,53,47,1.77,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.62,3.75,4.50,1.25,1.88,3.04,5.60,1.83,1.83,Estadio Gonzalo Pozo Ripalda (Quito)
1645914600,Feb 26 2022 - 10:30pm,complete,N/A,CD Universidad Católica,Guayaquil City FC,Byran Loayza,2,0.00,0.00,2.00,0.57,1,1,2,2,1,1,"10","32",8,0,2,1,3,0,1,2,2,1,8,4,4,3,4,1,19,10,58,42,1.51,0.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.40,4.20,6.00,1.26,1.91,3.04,5.65,2.00,1.73,Estadio Olímpico Atahualpa (Quito)
