timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1631998800,Sep 18 2021 - 9:00pm,complete,N/A,Lobos Huerta,Calor de San Pedro,N/A,1,0.00,0.00,1.04,1.66,2,1,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1631998800,Sep 18 2021 - 9:00pm,complete,N/A,Ciervos,Huracanes Izcalli,N/A,1,0.00,0.00,0.81,1.36,1,0,1,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1631998800,Sep 18 2021 - 9:00pm,complete,N/A,Guerreros de Xico,Aguacateros CDU,N/A,1,0.00,0.00,0.04,2.19,0,6,6,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1632085200,Sep 19 2021 - 9:00pm,complete,N/A,Cuautla,Alebrijes de Oaxaca II,N/A,1,0.00,0.00,2.07,2.03,4,2,6,0,0,0,"","",5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1632517200,Sep 24 2021 - 9:00pm,complete,N/A,Alebrijes de Oaxaca II,Ciervos,N/A,2,0.00,3.00,2.03,0.81,3,0,3,0,0,0,"49,62,81","",9,4,1,0,2,0,1,0,1,1,12,8,5,5,7,3,-1,-1,50,50,1.61,1.09,3.50,50,50,50,50,50,0,0,0,0,2.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Tecnológico de Oaxaca
1632533400,Sep 25 2021 - 1:30am,complete,N/A,Calor de San Pedro,Cuautla,N/A,2,0.00,3.00,1.66,2.07,1,1,2,0,0,0,"56","51",2,8,1,0,0,0,0,1,0,0,8,15,4,3,4,12,-1,-1,50,50,1.12,1.65,4.50,100,100,100,50,50,0,0,0,0,5.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1632603600,Sep 25 2021 - 9:00pm,complete,N/A,Aguacateros CDU,Lobos Huerta,N/A,2,3.00,3.00,2.19,1.04,6,1,7,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,4.50,50,100,100,50,50,0,0,0,0,0.00,-2.00,1.76,3.60,3.65,0.00,1.68,0.00,0.00,0.00,0.00,N/A
1632690000,Sep 26 2021 - 9:00pm,complete,N/A,Huracanes Izcalli,Guerreros de Xico,N/A,2,0.00,0.00,1.36,0.04,2,0,2,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,3.50,0,50,50,50,50,0,0,0,0,0.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1633122000,Oct 01 2021 - 9:00pm,complete,N/A,Alebrijes de Oaxaca II,Huracanes Izcalli,N/A,3,1.50,1.50,2.03,1.36,2,0,2,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,3.00,25,75,50,25,25,0,0,25,25,5.50,-1.00,2.14,3.38,3.08,0.00,1.90,0.00,0.00,0.00,0.00,Estadio Tecnológico de Oaxaca
1633207500,Oct 02 2021 - 8:45pm,complete,N/A,Ciervos,Calor de San Pedro,N/A,3,1.50,0.50,0.81,1.66,0,3,3,0,0,0,"","60,66,89",3,5,2,1,1,0,0,3,0,1,8,13,3,4,5,9,-1,-1,50,50,1.07,1.64,2.25,50,75,50,0,0,0,0,50,50,6.00,0.50,2.46,3.20,2.72,1.33,2.12,4.00,8.50,1.88,1.84,N/A
