timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1644064200,Feb 05 2022 - 12:30pm,complete,N/A,Torque,Cerro Largo,N/A,1,0.00,0.00,0.86,0.25,1,1,2,1,0,1,"90'8","43",5,2,0,0,0,0,0,0,0,0,19,10,8,3,11,7,14,13,57,43,2.46,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.02,3.05,3.05,1.25,1.80,2.90,5.50,1.80,1.91,Estadio Centenario (Montevideo)
1644091200,Feb 05 2022 - 8:00pm,complete,N/A,Fénix,Peñarol,Leodán González,1,0.00,0.00,1.86,1.71,1,0,1,0,0,0,"83","",6,4,1,0,2,0,0,1,0,2,10,9,4,4,6,5,16,15,42,58,1.44,1.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.90,3.78,1.67,1.30,1.89,3.25,6.25,1.83,1.83,Parque Capurro (Montevideo)
1644100200,Feb 05 2022 - 10:30pm,complete,N/A,Defensor Sporting,Liverpool,Andrés Cunha,1,0.00,0.00,1.14,1.57,0,3,3,2,0,2,"","20,37,57",6,10,5,0,6,0,1,4,0,6,19,17,7,7,12,10,18,16,51,49,2.28,1.93,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.25,3.35,1.99,1.30,1.88,3.10,6.00,1.67,2.10,Estadio Luis Franzini (Montevideo)
1644150600,Feb 06 2022 - 12:30pm,complete,N/A,Albion,Rentistas,N/A,1,0.00,0.00,0.86,1.29,3,5,8,3,1,2,"34,55,82","38,41,50,90'2,90'5",11,4,0,0,0,0,0,0,0,0,11,13,7,8,4,5,16,10,55,45,1.80,1.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.25,2.70,0.00,2.23,0.00,0.00,1.91,1.80,Estadio Centenario (Montevideo)
1644177600,Feb 06 2022 - 8:00pm,complete,N/A,Boston River,Plaza Colonia,José Burgos,1,0.00,0.00,1.14,0.86,0,0,0,0,0,0,"","",4,2,1,0,3,0,1,0,1,2,3,6,0,3,3,3,21,13,51,49,0.79,1.13,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.75,3.15,2.28,1.40,2.23,3.75,7.25,1.91,1.80,Estadio Juan Antonio Lavalleja (Minas)
1644188400,Feb 06 2022 - 11:00pm,complete,N/A,Nacional,Deportivo Maldonado,Christian Ferreyra,1,0.00,0.00,1.71,1.86,2,3,5,0,0,0,"84,90'2","67,70,90'6",3,3,6,1,1,0,1,6,1,0,10,7,4,4,6,3,15,8,50,50,1.51,1.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,4.30,6.50,1.26,1.83,3.00,5.75,2.00,1.73,Estadio Gran Parque Central (Montevideo)
1644264000,Feb 07 2022 - 8:00pm,complete,N/A,River Plate,Wanderers,Esteban Ostojich,1,0.00,0.00,1.88,1.71,1,1,2,1,1,0,"20","73",5,7,4,0,4,1,0,4,0,5,11,10,5,4,6,6,12,15,50,50,1.49,1.47,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.41,3.40,2.77,1.28,1.84,3.20,6.30,1.73,2.00,Parque Federico Omar Saroldi (Montevideo)
1644361200,Feb 08 2022 - 11:00pm,complete,N/A,Cerrito,Danubio,Antonio García,1,0.00,0.00,0.71,1.86,0,1,1,0,0,0,"","70",3,9,3,0,3,1,1,2,1,3,9,8,3,2,6,6,5,18,51,49,1.39,1.18,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.48,3.15,2.51,1.42,2.20,4.18,7.80,1.91,1.80,Parque Alfredo Víctor Viera (Montevideo)
1644621300,Feb 11 2022 - 11:15pm,complete,N/A,Torque,Fénix,Daniel Fedorczuk,2,1.00,0.00,0.86,1.17,1,2,3,2,1,1,"43","39,60",6,5,2,0,1,0,0,2,1,0,7,10,2,5,5,5,7,12,55,45,1.03,1.39,1.00,50,50,0,0,0,0,50,0,50,5.00,0.00,2.00,3.10,3.35,1.36,2.15,3.75,7.00,1.91,1.80,Estadio Centenario (Montevideo)
1644696000,Feb 12 2022 - 8:00pm,complete,N/A,Plaza Colonia,River Plate,Christian Ferreyra,2,0.00,0.00,0.50,0.80,0,1,1,0,0,0,"","67",4,4,3,1,4,0,2,2,1,3,8,9,2,5,6,4,16,9,55,45,1.00,1.13,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,2.88,2.79,3.46,2.07,3.75,7.00,1.85,1.85,Parque Cincuentenario Juan Gaspar Prandi (Colonia del Sacramento)
