timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1597359600,Aug 13 2020 - 11:00pm,complete,N/A,Juárez W,Guadalajara Women,N/A,1,0,0,0.82,1.81,0,4,4,3,0,3,,"16,20,35,48",1,9,0,0,0,0,0,0,0,0,7,16,4,8,3,8,8,11,49,51,1.12,2.15,0,0,0,0,0,0,0,0,0,0,0,0,5.1,3.8,1.6,0,0,0,0,0,0,Estadio Olímpico Benito Juárez (Ciudad Juárez)
1597438800,Aug 14 2020 - 9:00pm,complete,N/A,Cruz Azul Women,América Women,N/A,1,0,0,1.12,1.65,0,2,2,1,0,1,,"9,86",2,7,3,0,1,0,0,3,1,0,12,14,6,7,6,7,10,19,50,50,1.66,1.85,0,0,0,0,0,0,0,0,0,0,0,0,3.65,3.35,1.74,1.22,1.77,2.95,5.25,1.67,1.95,Estadio 10 de Diciembre (Jasso)
1597503600,Aug 15 2020 - 3:00pm,complete,N/A,Atlas Women,Mazatlán W,N/A,1,0,0,2.05,1.06,4,1,5,2,1,1,"4503,50,79,87",40,4,3,2,0,1,0,1,1,1,0,19,5,12,4,7,1,13,11,68,32,2.9,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Estadio Alfredo Pistache Torres (Atlas Colomos) (Zapopan)
1597591800,Aug 16 2020 - 3:30pm,complete,N/A,Monterrey Women,Puebla Women,N/A,1,0,0,2.14,0.65,3,2,5,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,5.5,15,0,1.65,0,0,0,0,Cancha El Barrial (El Barrial)
1597615200,Aug 16 2020 - 10:00pm,complete,N/A,Atlético San Luis W,Querétaro Women,N/A,1,0,0,1.41,1.37,1,0,1,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Estadio Alfonso Lastras Ramírez (San Luis Potosí)
1597698000,Aug 17 2020 - 9:00pm,complete,N/A,Toluca Women,Tigres UANL Women,N/A,1,0,0,1.33,2.43,1,2,3,2,1,1,43,"329,001",0,6,1,0,0,0,1,0,0,0,5,12,3,6,2,6,9,11,48,52,0.92,1.74,0,0,0,0,0,0,0,0,0,0,0,0,6.65,4.6,1.29,1.11,1.44,2.15,3.6,1.67,1.95,Instalaciones Metepec - Cancha 2 (Metepec)
1597701600,Aug 17 2020 - 10:00pm,complete,N/A,Pachuca Women,Necaxa Women,N/A,1,0,0,1.58,0.35,2,0,2,1,1,0,"11,90",,5,5,2,0,2,0,0,2,0,2,14,4,6,0,8,4,-1,-1,50,50,1.84,0.66,0,0,0,0,0,0,0,0,0,0,0,0,1.09,7,10.75,1.11,1.43,2.1,3.5,2.4,1.44,Estadio Hidalgo (Pachuca de Soto)
1597708800,Aug 18 2020 - 12:00am,complete,N/A,Tijuana Women,León Women,N/A,1,0,0,0.94,0.65,0,3,3,1,0,1,,"37,53,85",6,1,0,0,0,0,0,0,0,0,6,6,3,6,3,0,13,21,43,57,1.1,1.09,0,0,0,0,0,0,0,0,0,0,0,0,2.75,3.55,2,1.14,1.53,2.35,4.05,1.47,2.35,Estadio Caliente (Tijuana)
1597957200,Aug 20 2020 - 9:00pm,complete,N/A,Cruz Azul Women,Atlas Women,N/A,2,0,0,1.12,2.2,4,1,5,5,4,1,"13,26,32,42",27,3,9,1,0,1,0,0,1,0,1,10,12,8,5,2,7,27,11,53,47,1.53,1.66,1,0,50,0,0,0,0,50,0,50,2,3,3.7,3.4,1.71,1.2,1.69,2.75,4.9,1.67,1.95,Estadio 10 de Diciembre (Jasso)
1598047200,Aug 21 2020 - 10:00pm,complete,N/A,Querétaro Women,Juárez W,N/A,2,0,0,1.16,0.53,1,1,2,2,1,1,8,5,4,1,1,0,0,0,0,1,0,0,16,9,8,6,8,3,9,11,53,47,2.39,1.29,0,0,0,0,0,0,0,0,0,0,0,0,2.1,3.2,2.75,1.25,1.83,3.15,5.65,1.71,1.87,Estadio La Corregidora (Santiago de Querétaro)
