timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1531515600,Jul 13 2018 - 9:00pm,complete,N/A,Cruz Azul Women,Pachuca Women,N/A,1,0.00,0.00,0.81,2.00,1,2,3,2,1,1,"4","15,88",0,8,1,0,2,0,1,0,1,1,5,24,3,8,2,16,11,13,39,61,0.79,2.61,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio 10 de Diciembre
1531515600,Jul 13 2018 - 9:00pm,complete,N/A,Necaxa Women,Santos Laguna Women,N/A,1,0.00,0.00,0.25,0.69,0,1,1,0,0,0,"","90",2,8,0,0,0,0,0,0,0,0,0,2,0,2,0,0,8,13,36,64,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Victoria de Aguascalientes
1531674000,Jul 15 2018 - 5:00pm,complete,N/A,Puebla Women,Veracruz Women,N/A,1,0.00,0.00,1.59,0.69,4,0,4,1,1,0,"2,47,49,56","",5,7,1,0,1,0,1,0,1,0,20,18,7,5,13,13,13,10,50,50,2.17,2.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Complejo Deportivo Los Olivos (Puebla)
1531774800,Jul 16 2018 - 9:00pm,complete,N/A,Morelia Women,Atlas Women,N/A,1,0.00,0.00,0.88,1.78,1,0,1,1,1,0,"16","",3,3,0,0,1,0,0,0,0,1,10,11,5,4,5,7,10,12,47,53,1.44,1.53,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Generalísimo José María Morelos y Pavón
1531782000,Jul 16 2018 - 11:00pm,complete,N/A,Toluca Women,Lobos BUAP Women,N/A,1,0.00,0.00,1.35,0.94,4,0,4,2,2,0,"6,32,58,82","",3,7,0,0,1,0,0,0,0,1,16,16,11,5,5,11,11,7,49,51,2.13,1.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Nemesio Díez
1531785600,Jul 17 2018 - 12:00am,complete,N/A,Guadalajara Women,León Women,N/A,1,0.00,0.00,1.50,1.47,1,0,1,0,0,0,"79","",6,3,1,0,1,0,0,1,1,0,17,6,6,2,11,4,-1,-1,47,53,2.18,1.02,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio AKRON
1531789200,Jul 17 2018 - 1:00am,complete,N/A,Tigres UANL Women,Querétaro Women,N/A,1,0.00,0.00,2.27,0.63,4,2,6,1,1,0,"9,51,56,88","72,86",7,2,0,0,1,0,0,0,0,1,18,8,14,4,4,4,8,13,61,39,2.39,0.97,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Universitario de Nuevo León
1531792800,Jul 17 2018 - 2:00am,complete,N/A,Tijuana Women,Pumas UNAM Women,N/A,1,0.00,0.00,0.94,1.44,1,0,1,1,1,0,"10","",3,3,1,0,2,0,1,0,1,1,7,15,3,6,4,9,14,16,37,63,0.89,1.71,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Caliente
1532131200,Jul 21 2018 - 12:00am,complete,N/A,León Women,Tigres UANL Women,N/A,2,0.00,0.00,1.29,2.36,1,3,4,2,0,2,"90","15,36,72",0,6,0,0,1,0,0,0,0,1,13,15,7,8,6,7,13,14,48,52,1.65,1.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio León (Nou Camp) (León de los Aldamas)
1532188800,Jul 21 2018 - 4:00pm,complete,N/A,Atlas Women,Guadalajara Women,N/A,2,0.00,0.00,1.83,1.67,0,2,2,1,0,1,"","19,63",5,3,1,0,2,0,1,0,0,2,0,3,0,3,0,0,-1,-1,51,49,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Alfredo Pistache Torres (Atlas Colomos) (Zapopan)
1532273400,Jul 22 2018 - 3:30pm,complete,N/A,Monterrey Women,Necaxa Women,N/A,2,0.00,0.00,2.10,0.63,4,0,4,4,4,0,"8,29,42,45","",3,0,-1,-1,-1,-1,-1,-1,-1,-1,14,7,7,4,7,3,-1,-1,58,42,1.72,0.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Cancha El Barrial
1532302200,Jul 22 2018 - 11:30pm,complete,N/A,Lobos BUAP Women,Cruz Azul Women,N/A,2,0.00,0.00,1.13,0.75,4,3,7,3,2,1,"4,23,52,86","40,89,90",8,3,2,0,2,0,0,2,0,2,23,14,11,7,12,7,16,11,50,50,2.71,1.83,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Universitario BUAP
1532383200,Jul 23 2018 - 10:00pm,complete,N/A,Veracruz Women,Tijuana Women,N/A,2,0.00,0.00,1.19,0.44,1,1,2,1,0,1,"87","7",4,1,1,0,2,0,0,1,0,2,16,12,8,4,8,8,7,16,51,49,2.23,1.44,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Luis de la Fuente
1532390400,Jul 24 2018 - 12:00am,complete,N/A,Pachuca Women,Puebla Women,N/A,2,0.00,0.00,2.40,1.53,2,1,3,2,2,0,"5,21","85",1,8,1,0,2,0,0,1,0,2,11,21,5,17,6,4,10,10,45,55,1.48,3.22,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Hidalgo
1532394000,Jul 24 2018 - 1:00am,complete,N/A,América Women,Toluca Women,N/A,2,0.00,0.00,2.14,1.35,2,1,3,1,1,0,"4,79","90",10,3,1,0,0,0,1,0,0,0,6,4,3,2,3,2,11,7,44,56,1.36,0.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Azteca
1532397600,Jul 24 2018 - 2:00am,complete,N/A,Santos Laguna Women,Morelia Women,N/A,2,0.00,0.00,0.88,0.81,1,1,2,1,1,0,"4","90",1,4,2,1,1,0,1,2,1,0,11,7,2,4,9,3,-1,-1,50,50,1.29,1.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Nuevo Corona
1532725200,Jul 27 2018 - 9:00pm,complete,N/A,Cruz Azul Women,América Women,N/A,3,0.00,0.00,0.81,2.00,0,3,3,1,0,1,"","21,50,90",6,9,1,0,2,0,0,1,0,2,15,16,6,6,9,10,7,9,44,56,1.81,2.08,1.50,50,50,50,0,0,50,50,0,50,0.00,1.00,10.50,7.00,1.13,1.05,1.25,1.67,0.00,1.83,1.91,Estadio 10 de Diciembre
