timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1500685200,Jul 22 2017 - 1:00am,complete,N/A,Atlante,Cafetaleros de Tapachula,N/A,1,0.00,0.00,1.63,1.16,4,1,5,2,2,0,"1,12,53,57","51",5,10,1,0,3,1,1,0,1,3,17,17,9,6,8,11,13,12,45,55,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Olímpico Andrés Quintana Roo
1500687000,Jul 22 2017 - 1:30am,complete,N/A,Leones Negros de la Universidad de Guadalajara,Correcaminos UAT,N/A,1,0.00,0.00,1.72,1.25,0,1,1,1,0,1,"","44",2,3,0,0,0,0,0,0,0,0,6,10,4,2,2,8,12,11,40,60,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Jalisco
1500687000,Jul 22 2017 - 1:30am,complete,N/A,Venados,Mineros de Zacatecas,N/A,1,0.00,0.00,1.50,1.24,1,2,3,1,0,1,"52","14,84",7,2,3,0,3,0,3,0,0,3,10,8,6,3,4,5,21,22,59,41,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Olímpico Carlos Iturralde Rivero
1500692400,Jul 22 2017 - 3:00am,complete,N/A,Cimarrones de Sonora,Murciélagos,N/A,1,0.00,0.00,1.27,0.60,0,1,1,0,0,0,"","70",7,2,0,0,2,0,0,0,0,2,13,8,7,5,6,3,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Héroe de Nacozari
1500768000,Jul 23 2017 - 12:00am,complete,N/A,Alebrijes de Oaxaca,Atlético San Luis,N/A,1,0.00,0.00,2.00,1.07,2,1,3,2,1,1,"30,90'2","36",8,9,1,0,2,0,1,0,1,1,17,11,5,8,12,3,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Tecnológico de Oaxaca
1500771600,Jul 23 2017 - 1:00am,complete,N/A,Tampico Madero,Atlético Zacatepec,N/A,1,0.00,0.00,2.00,1.12,0,0,0,0,0,0,"","",2,1,3,0,3,0,2,1,1,2,7,7,2,2,5,5,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Tamaulipas
1500771600,Jul 23 2017 - 1:00am,complete,N/A,Juárez,Celaya,N/A,1,0.00,0.00,1.56,1.00,1,1,2,0,0,0,"81","90'1",5,5,1,0,1,0,0,1,0,1,10,12,3,6,7,6,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Olímpico Benito Juárez
1500775200,Jul 23 2017 - 2:00am,complete,N/A,Dorados,Potros UAEM,N/A,1,0.00,0.00,1.71,0.20,3,2,5,1,0,1,"55,61,81","3,73",5,5,3,0,4,0,1,2,3,1,10,11,7,7,3,4,20,11,56,44,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Banorte
1501286400,Jul 29 2017 - 12:00am,complete,N/A,Mineros de Zacatecas,Dorados,N/A,2,0.00,0.00,2.12,1.35,1,3,4,3,1,2,"28","15,30,84",7,4,0,0,1,0,0,0,0,1,35,14,14,5,21,9,15,19,61,39,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Carlos Vega Villalba
1501290000,Jul 29 2017 - 1:00am,complete,N/A,Atlético San Luis,Juárez,N/A,2,0.00,0.00,1.67,1.44,2,0,2,2,2,0,"6,32","",2,9,0,0,3,0,0,0,1,2,12,19,6,8,6,11,15,9,43,57,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Alfonso Lastras Ramírez
