timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1342830600,Jul 21 2012 - 12:30am,complete,N/A,Chiapas,Tigres UANL,N/A,1,0.00,0.00,1.76,1.61,0,4,4,4,0,4,"","7,19,35,40",-1,-1,1,0,1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.74,3.37,2.75,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Víctor Manuel Reyna
1342838100,Jul 21 2012 - 2:35am,complete,N/A,Tijuana,Puebla,N/A,1,0.00,0.00,1.95,1.00,2,0,2,1,1,0,"12,70","",-1,-1,2,0,4,0,0,2,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.09,3.40,4.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Caliente
1342908000,Jul 21 2012 - 10:00pm,complete,N/A,Cruz Azul,Morelia,N/A,1,0.00,0.00,1.95,1.37,0,0,0,0,0,0,"","",-1,-1,3,0,1,0,1,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.17,3.45,3.65,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Azul (Ciudad de México (D.F.))
1342908000,Jul 21 2012 - 10:00pm,complete,N/A,Querétaro,León,N/A,1,0.00,0.00,0.88,0.95,0,2,2,1,0,1,"","3,90'1",-1,-1,4,1,3,1,1,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.42,3.37,3.18,0.00,0.00,0.00,0.00,0.00,0.00,Estadio La Corregidora
1342915200,Jul 22 2012 - 12:00am,complete,N/A,Monterrey,América,N/A,1,0.00,0.00,1.80,1.86,0,0,0,0,0,0,"","",-1,-1,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.16,3.48,3.65,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Tecnológico (Monterrey)
1342915200,Jul 22 2012 - 12:00am,complete,N/A,Santos Laguna,San Luis,N/A,1,0.00,0.00,1.84,1.00,2,1,3,2,1,1,"3,71","1",-1,-1,2,0,2,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.66,3.95,5.97,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Nuevo Corona
1342922400,Jul 22 2012 - 2:00am,complete,N/A,Atlas,Pumas UNAM,N/A,1,0.00,0.00,1.39,1.33,1,1,2,1,0,1,"85","7",-1,-1,2,1,5,0,2,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.28,3.11,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Jalisco
1342976400,Jul 22 2012 - 5:00pm,complete,N/A,Toluca,Guadalajara,N/A,1,0.00,0.00,1.65,1.11,2,1,3,2,2,0,"2,31","67",-1,-1,1,0,1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.63,3.34,2.89,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Nemesio Díez
1342998000,Jul 22 2012 - 11:00pm,complete,N/A,Atlante,Pachuca,N/A,1,0.00,0.00,1.12,0.53,0,0,0,0,0,0,"","",-1,-1,0,0,1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.71,3.39,2.77,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Olímpico Andrés Quintana Roo
1343435400,Jul 28 2012 - 12:30am,complete,N/A,Morelia,Monterrey,N/A,2,0.00,0.00,1.95,0.80,1,0,1,1,1,0,"24","",-1,-1,4,0,2,0,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.54,3.41,2.91,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Generalísimo José María Morelos y Pavón
