Torneo,timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Reference,ProbH,ProbD,ProbA,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,Result,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,Margin,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,xPHome,xPAway,xGoals,xHG,xAG,HTHG,HTAG,HS,AS,HST,AST,HSM,ASM,HF,AF,HY,AY,HR,AR
A2021,1627005600,Jul 23 2021 - 2:00am,complete,N/A,Querétaro,América,Marco Antonio Ortíz Nava,0.24,0.243434343,0.27979798,0.476767677,1,0,0,1.24,1.53,D,0,0,0,0,0,0,,,0,8,2,0,2,0,1,1,1,1,5,17,2,4,3,13,11,16,43,57,0.61,1.7,0,0,0,0,0,0,0,0,0,0,0,0,3.75,3.3,2,0.023232323,1.48,2.3,4.05,8,2.1,1.69,Estadio La Corregidora (Santiago de Querétaro),1.022168469,1.703611943,2.601443769,1.06724924,1.534194529,0.455893536,0.651330798,10.75886525,12.46679562,4.11573472,5.107282185,6.643130528,7.359513431,13.11140236,12.93184797,1.83416771,1.790362954,0.10951189,0.093241552
A2021,1627084800,Jul 24 2021 - 12:00am,complete,N/A,Necaxa,Santos Laguna,Jorge Antonio Pérez Durán,0.36,0.353299391,0.293401218,0.353299391,1,0,0,1.24,1.11,A,0,3,3,2,0,2,,"23,42,57",6,7,2,0,2,0,2,0,1,1,23,15,7,6,16,9,13,16,54,46,2.27,1.62,0,0,0,0,0,0,0,0,0,0,0,0,2.65,3.15,2.65,0.0240591,1.45,2.25,3.8,7.5,1.91,1.87,Estadio Victoria de Aguascalientes (Aguascalientes),1.402386462,1.30932659,2.511035053,1.269326095,1.241708958,0.565864023,0.551581681,11.49400826,10.5072314,4.923879041,4.629614181,6.570129224,5.877617224,12.7987395,12.98844538,1.604928297,1.79196122,0.088870935,0.116946072
A2021,1627092000,Jul 24 2021 - 2:00am,complete,N/A,Juárez,Toluca,Jorge Isaac Rojas Castillo,0.36,0.363169089,0.30113435,0.335696562,1,0,0,0.88,1.29,A,1,3,4,2,1,1,35,"6,64,89",9,8,1,0,1,0,1,0,0,1,8,17,2,6,6,11,8,7,40,60,1.02,1.8,0,0,0,0,0,0,0,0,0,0,0,0,2.6,3.1,2.8,0.021446296,1.43,2.15,3.65,7,1.91,1.83,Estadio Olímpico Benito Juárez (Ciudad Juárez),1.402386462,1.30932659,2.511035053,1.269326095,1.241708958,0.565864023,0.551581681,11.49400826,10.5072314,4.923879041,4.629614181,6.570129224,5.877617224,12.7987395,12.98844538,1.604928297,1.79196122,0.088870935,0.116946072
A2021,1627160400,Jul 24 2021 - 9:00pm,complete,N/A,Pachuca,León,Alejandro Funk Villafañe,0.44,0.441344263,0.274735446,0.283920291,1,0,0,1.89,1.4,H,4,0,4,0,0,0,"59,61,75,90'1",,3,3,1,0,1,0,1,0,0,1,19,9,9,2,10,7,9,16,42,58,2.12,0.99,0,0,0,0,0,0,0,0,0,0,0,0,2.15,3.35,3.25,0.023772016,1.29,1.8,2.9,5.25,1.69,2.1,Estadio Hidalgo (Pachuca de Soto),1.639545975,1.075842936,2.480764636,1.414097969,1.066666667,0.627120669,0.460095579,12.5696928,9.86955525,5.275425679,4.127933732,7.294267123,5.741621518,12.89724601,13.50705855,1.576522702,1.917165006,0.084385382,0.123366556
A2021,1627178400,Jul 25 2021 - 2:00am,complete,N/A,Guadalajara,Atlético San Luis,Eduardo Galván Basulto,0.56,0.561665602,0.270987927,0.167346471,1,0,0,1.47,1.25,A,1,2,3,1,0,1,78,"12,65",7,3,0,0,0,0,0,0,0,0,17,9,9,5,8,4,14,19,69,31,2.11,1.12,0,0,0,0,0,0,0,0,0,0,0,0,1.71,3.4,5.25,0.02312972,1.43,2.2,3.85,7.25,2.1,1.71,Estadio AKRON (Zapopan),1.967315686,0.777294846,2.689248895,1.754681254,0.934567641,0.778245319,0.412371134,13.77153558,9.044569288,6.082129278,3.820152091,7.689406303,5.224417197,12.29760547,13.3109084,1.371312684,1.951696165,0.06600295,0.12979351
A2021,1627232400,Jul 25 2021 - 5:00pm,complete,N/A,Pumas UNAM,Atlas,Luis Enrique Santander Aguirre,0.26,0.261902481,0.295622186,0.442475333,1,0,0,1.58,1.68,D,0,0,0,0,0,0,,,2,7,0,0,1,0,0,0,0,1,11,22,4,8,7,14,10,11,43,57,1.11,2.41,0,0,0,0,0,0,0,0,0,0,0,0,3.65,3.25,2.2,0.012070122,1.42,2.22,4.2,8.5,2.1,1.69,Estadio Olímpico de Universitario (Ciudad de México (D.F.)),1.090531357,1.62894156,2.569449508,1.093693037,1.475756471,0.500182282,0.652205614,10.90557668,12.06463878,4.29201278,5.009584665,6.6135639,7.055054119,12.94865212,13.18934531,1.771446078,1.809436275,0.106004902,0.096813725
A2021,1627257960,Jul 26 2021 - 12:06am,complete,N/A,Monterrey,Puebla,Óscar Mejía García,0.56,0.562577078,0.255559534,0.181863389,1,0,0,1.79,1.42,D,1,1,2,0,0,0,88,90,9,4,2,1,2,2,0,3,1,3,17,9,5,4,12,5,11,9,53,47,1.88,1.12,0,0,0,0,0,0,0,0,0,0,0,0,1.71,3.6,4.9,0.022218244,1.33,1.95,3.2,6,1.91,1.83,Estadio BBVA (Guadalupe),1.967315686,0.777294846,2.689248895,1.754681254,0.934567641,0.778245319,0.412371134,13.77153558,9.044569288,6.082129278,3.820152091,7.689406303,5.224417197,12.29760547,13.3109084,1.371312684,1.951696165,0.06600295,0.12979351
A2021,1627265160,Jul 26 2021 - 2:06am,complete,N/A,Tijuana,Tigres UANL,Oscar Macias Romo,0.4,0.401743499,0.288711584,0.309544917,1,0,0,1.35,1.48,A,1,2,3,1,0,1,74,"8,56",3,1,1,0,1,0,0,1,0,1,11,6,5,4,6,2,11,8,52,48,1.41,0.82,0,0,0,0,0,0,0,0,0,0,0,0,2.35,3.2,3,0.023788416,1.36,2,3.3,6.25,1.8,1.95,Estadio Caliente (Tijuana),1.518160356,1.195273037,2.495615534,1.344038264,1.151577269,0.599362259,0.507231523,11.99278846,10.0277535,5.285745954,4.406783418,6.707042507,5.620970078,13.04463691,13.49811237,1.583652618,1.874414645,0.08599404,0.13452533
A2021,1627347600,Jul 27 2021 - 1:00am,complete,N/A,Cruz Azul,Mazatlán,Diego Montaño Robles,0.64,0.646989725,0.229013342,0.123996933,1,0,0,1.25,0.72,A,0,2,2,1,0,1,,"45'1,66",4,3,1,0,2,0,1,0,0,2,10,7,7,3,3,4,12,10,62,38,1.57,0.89,0,0,0,0,0,0,0,0,0,0,0,0,1.49,3.95,6.75,0.024151215,1.36,1.95,3.35,6.5,2.05,1.71,Estadio Azteca (Ciudad de México (D.F.)),2.174591099,0.597963586,2.834375,1.980803571,0.853571429,0.868303571,0.366071429,15.039801,8.632669983,6.518923465,3.450798991,8.52087753,5.181870993,12.4856661,13.57335582,1.395273024,2.058679707,0.068459658,0.127139364
A2021,1627689600,Jul 31 2021 - 12:00am,complete,N/A,Mazatlán,Pachuca,Edgar Ulises Rangel Araújo,0.24,0.245945383,0.286971024,0.467083594,2,0,0,1.71,1.42,H,2,1,3,2,1,1,"45'2,83",20,4,6,1,0,1,0,0,1,1,0,9,9,2,4,7,5,11,14,47,53,1.08,1.3,0,0,0,0,0,0,0,0,0,0,0,0,3.75,3.25,2.05,0.020721284,1.36,2,3.3,6,1.8,1.95,Estadio de Mazatlán (Mazatlán),1.022168469,1.703611943,2.601443769,1.06724924,1.534194529,0.455893536,0.651330798,10.75886525,12.46679562,4.11573472,5.107282185,6.643130528,7.359513431,13.11140236,12.93184797,1.83416771,1.790362954,0.10951189,0.093241552
