full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
,0,0,1970/01/01,Liga MX,2021/2022,Midfielder,Pachuca,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abel Mathías Hernández Platero,31,650073600,1990/08/08,Liga MX,2021/2022,Forward,Atlético San Luis,627,337,290,Uruguay,18,9,9,3,0,3,2,1,1,0,0,5,3,2,6,4,2,0,0,0.72,0.29,0.43,0,0.93,209,0.86,105,35,0,314,0,19,13,-1,5
Abraham Bass Flores,20,997315200,2001/08/09,Liga MX,2021/2022,Midfielder,Atlas,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abraham Emiliano Freyfeld Sánchez,18,1079395200,2004/03/16,Liga MX,2021/2022,Defender,Pumas UNAM,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abraham Flores Cruz,19,1026604800,2002/07/14,Liga MX,2021/2022,Midfielder,Tijuana,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abraham Villegas,19,1040083200,2002/12/17,Liga MX,2021/2022,Defender,Toluca,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adam Fernando Bareiro Gamarra,25,838339200,1996/07/26,Liga MX,2021/2022,Forward,Atlético San Luis,610,275,335,Paraguay,11,5,6,2,0,2,2,0,2,1,1,2,1,1,6,2,4,0,0,0.59,0.3,0.3,0,0.54,305,0.89,102,55,0,305,0,51,9,-1,7
Adrián Alexei Aldrete Rodríguez,33,582249600,1988/06/14,Liga MX,2021/2022,Defender,Cruz Azul,1638,1070,568,Mexico,22,12,10,0,0,0,1,1,0,0,0,9,4,5,11,10,1,1,0,0.05,0.05,0,0,0,0,0.6,149,74,1638,1638,0.05,286,183,5,22
Adrián Garza Del Toro,21,968630400,2000/09/11,Liga MX,2021/2022,Forward,Tigres UANL,12,6,6,Mexico,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,-1,-1,20
Adrián Mora Barraza,24,871603200,1997/08/15,Liga MX,2021/2022,Defender,Juárez,737,326,411,Mexico,14,6,8,0,0,0,0,0,0,0,0,1,1,0,12,4,8,4,0,0,0,0,0,0,0,1.47,61,53,184,0,0.49,273,260,134,24
Agustín Oliveros Cano,23,903312000,1998/08/17,Liga MX,2021/2022,Defender,Necaxa,1957,990,967,Uruguay,22,11,11,0,0,0,0,0,0,0,0,6,3,3,29,17,12,3,0,0,0,0,0,0,0,1.33,67,89,652,0,0.14,341,321,117,28
Alam Galindo,20,990403200,2001/05/21,Liga MX,2021/2022,Midfielder,Tijuana,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alan Eduardo Torres Villanueva,22,950918400,2000/02/19,Liga MX,2021/2022,Midfielder,Guadalajara,1677,880,797,Mexico,33,16,17,1,1,0,1,1,0,0,0,12,4,8,20,14,6,0,0,0.11,0.05,0.05,0.1,0,1677,1.07,84,51,0,1677,0,214,180,-1,13
Alan Francisco López Rodríguez,20,1007337600,2001/12/03,Liga MX,2021/2022,Midfielder,Mazatlán,9,0,9,Mexico,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,-1,-1,-1,24
Alán Isidro Montes Castro,21,972518400,2000/10/26,Liga MX,2021/2022,Defender,Monterrey,354,90,264,Mexico,4,1,3,0,0,0,0,0,0,0,0,1,0,1,3,0,3,1,1,0,0,0,0,0,0,0.76,118,89,177,0,0.51,418,408,16,21
Alan Jhosué Cervantes Marín del Campo,24,884995200,1998/01/17,Liga MX,2021/2022,Midfielder,Santos Laguna,2359,1222,1137,Mexico,32,17,15,0,0,0,0,0,0,0,0,7,5,2,29,13,16,7,0,0,0,0,0,0,0,1.11,81,74,337,0,0.27,269,264,-1,18
Alan Medina,24,871948800,1997/08/19,Liga MX,2021/2022,Midfielder,Necaxa,1678,759,919,Mexico,27,14,13,2,1,1,2,1,1,0,0,5,3,2,26,14,12,5,0,0.21,0.11,0.11,0.12,0.1,839,1.39,65,62,336,839,0.27,140,115,-1,5
Alan Mozo Rodríguez,25,860198400,1997/04/05,Liga MX,2021/2022,Defender,Pumas UNAM,2906,1432,1474,Mexico,34,16,18,0,0,0,9,3,6,0,0,11,8,3,38,16,22,12,3,0.28,0.28,0,0,0,0,1.18,76,85,194,323,0.46,404,18,97,32
Alan Omar Rodríguez Ortíz,26,827280000,1996/03/20,Liga MX,2021/2022,Midfielder,Toluca,447,130,317,Mexico,14,7,7,0,0,0,1,0,1,0,0,2,0,2,10,1,9,3,0,0.2,0.2,0,0,0,0,2.01,45,32,149,447,0.6,306,37,-1,23
Alan Ramos,21,985046400,2001/03/20,Liga MX,2021/2022,Forward,Tigres UANL,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alberto Herrera Rodríguez,21,982886400,2001/02/23,Liga MX,2021/2022,Defender,Puebla,396,267,129,Mexico,17,10,7,1,1,0,0,0,0,0,0,7,2,5,3,3,0,5,1,0.23,0,0.23,0.34,0,396,0.68,132,23,79,0,1.14,75,280,7,12
Alberto Joshimar Acosta Alvarado,34,572832000,1988/02/26,Liga MX,2021/2022,Midfielder,Juárez,1221,617,604,Mexico,20,10,10,0,0,0,0,0,0,0,0,3,2,1,21,11,10,4,0,0,0,0,0,0,0,1.55,58,61,305,0,0.29,298,292,-1,32
Aldo Jafid Cruz Sánchez,24,875059200,1997/09/24,Liga MX,2021/2022,Midfielder,Tigres UANL,192,64,128,Mexico,8,2,6,0,0,0,0,0,0,0,0,1,0,1,3,1,2,0,0,0,0,0,0,0,0,1.41,64,24,0,0,0,-1,-1,-1,18
Aldo Paul Rocha González,29,721008000,1992/11/06,Liga MX,2021/2022,Midfielder,Atlas,3577,1799,1778,Mexico,41,20,21,4,1,3,2,2,0,2,1,18,9,9,30,12,18,15,0,0.15,0.05,0.1,0.05,0.15,894,0.75,119,87,238,1789,0.38,158,188,-1,3
Alejandro Andrade Rivera,20,997920000,2001/08/16,Liga MX,2021/2022,Midfielder,Necaxa,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alejandro Arribas,33,609984000,1989/05/01,Liga MX,2021/2022,Defender,Juárez,1252,632,620,Spain,15,8,7,1,1,0,0,0,0,0,0,3,1,2,21,12,9,1,0,0.07,0,0.07,0.14,0,1252,1.51,60,83,1252,0,0.07,188,231,137,6
Alejandro Organista Orozco,21,959904000,2000/06/02,Liga MX,2021/2022,Midfielder,Guadalajara,25,22,3,Mexico,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,-1,-1,-1,25
Alejandro Rivero López,22,947808000,2000/01/14,Liga MX,2021/2022,Forward,Querétaro,8,8,0,Mexico,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,-1,-1,-1,14
Alejandro Zendejas Saavedra,24,886809600,1998/02/07,Liga MX,2021/2022,Midfielder,América,2771,1386,1385,Mexico,36,18,18,11,7,4,2,1,1,2,1,14,7,7,30,14,16,6,1,0.42,0.06,0.36,0.45,0.26,252,0.97,92,77,462,1386,0.19,36,177,-1,2
Alek Álvarez,19,1049241600,2003/04/02,Liga MX,2021/2022,Forward,Pumas UNAM,206,167,39,Mexico,8,5,3,0,0,0,1,1,0,0,0,3,2,1,3,2,1,0,0,0.44,0.44,0,0,0,0,1.31,69,26,0,206,0,-1,-1,-1,23
Alessio da Cruz,25,853545600,1997/01/18,Liga MX,2021/2022,Midfielder,Santos Laguna,569,351,218,Netherlands,8,5,3,3,3,0,0,0,0,0,0,2,2,0,5,3,2,2,0,0.47,0,0.47,0.77,0,190,0.79,114,71,285,0,0.32,16,266,-1,7
Alex Renato Ibarra Mina,31,664329600,1991/01/20,Liga MX,2021/2022,Midfielder,Tijuana,774,358,416,Ecuador,14,6,8,1,1,0,1,0,1,0,0,4,3,1,8,2,6,1,0,0.23,0.12,0.12,0.25,0,774,0.93,97,55,774,774,0.12,131,94,-1,10
Alexis Francisco Peña López,26,821491200,1996/01/13,Liga MX,2021/2022,Defender,Necaxa,1764,898,866,Mexico,23,12,11,0,0,0,0,0,0,0,0,6,3,3,19,9,10,5,0,0,0,0,0,0,0,0.97,93,77,353,0,0.26,377,376,51,19
Alexis Hazael Gutiérrez Torres,22,951523200,2000/02/26,Liga MX,2021/2022,Midfielder,Cruz Azul,73,11,62,Mexico,3,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3.7,24,24,0,0,0,-1,-1,-1,31
Alexis Pedro Canelo,30,697075200,1992/02/03,Liga MX,2021/2022,Midfielder,Toluca,2146,942,1204,Argentina,27,13,14,6,2,4,3,1,2,0,2,5,1,4,39,17,22,3,0,0.38,0.13,0.25,0.19,0.3,358,1.64,55,79,715,715,0.13,70,86,-1,3
Alfonso Blanco Antúnez,34,554688000,1987/07/31,Liga MX,2021/2022,Goalkeeper,León,90,90,0,Mexico,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,15
Alfonso Emilio Sánchez Castillo,27,771724800,1994/06/16,Liga MX,2021/2022,Forward,Mazatlán,1120,438,682,Mexico,20,10,10,1,0,1,0,0,0,0,0,5,2,3,15,7,8,2,0,0.08,0,0.08,0,0.13,1120,1.21,75,56,560,0,0.16,175,381,-1,12
Alfredo Cabañas,19,1051920000,2003/05/03,Liga MX,2021/2022,Goalkeeper,Cruz Azul,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alfredo Gutierrez Soberanes,19,1051228800,2003/04/25,Liga MX,2021/2022,Forward,Necaxa,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alfredo Saldívar Medina,32,634521600,1990/02/09,Liga MX,2021/2022,Goalkeeper,Toluca,169,90,79,Mexico,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,2.13,42,85,0,0,0,-1,-1,-1,24
Alfredo Talavera Díaz,39,401155200,1982/09/18,Liga MX,2021/2022,Goalkeeper,Pumas UNAM,2790,1260,1530,Mexico,31,14,17,0,0,0,0,0,0,0,0,11,7,4,35,13,22,5,0,0,0,0,0,0,0,1.13,80,90,558,0,0.16,284,251,86,20
Alonso Ramírez Jiménez,20,998265600,2001/08/20,Liga MX,2021/2022,Midfielder,Atlas,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alonso Sebastián García Rivera,20,1019952000,2002/04/28,Liga MX,2021/2022,Midfielder,Juárez,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Álvaro Fidalgo Fernández,25,860544000,1997/04/09,Liga MX,2021/2022,Midfielder,América,2994,1545,1449,Spain,39,20,19,6,3,3,1,1,0,1,0,19,11,8,27,12,15,3,0,0.21,0.03,0.18,0.17,0.19,499,0.81,111,77,998,2994,0.09,101,217,-1,3
Amaury Gabriel Escoto Ruiz,29,723081600,1992/11/30,Liga MX,2021/2022,Midfielder,Puebla,423,224,199,Mexico,17,10,7,1,1,0,1,0,1,0,0,4,2,2,3,2,1,2,0,0.43,0.21,0.21,0.4,0,423,0.64,141,25,212,423,0.43,88,33,-1,13
Amaury García Moreno,20,1008720000,2001/12/19,Liga MX,2021/2022,Midfielder,Pumas UNAM,112,110,2,Mexico,6,5,1,0,0,0,1,1,0,0,0,3,3,0,1,1,0,0,0,0.8,0.8,0,0,0,0,0.8,112,19,0,112,0,-1,-1,-1,30
Anderson Leite Morais,29,736473600,1993/05/04,Liga MX,2021/2022,Midfielder,Juárez,573,267,306,Brazil,9,5,4,1,0,1,0,0,0,1,0,3,1,2,10,5,5,1,0,0.16,0,0.16,0,0.29,573,1.57,57,64,573,0,0.16,114,230,-1,7
Anderson Santamaría Bardales,30,695001600,1992/01/10,Liga MX,2021/2022,Defender,Atlas,3327,1627,1700,Peru,40,20,20,1,1,0,0,0,0,0,0,18,9,9,29,11,18,12,1,0.03,0,0.03,0.06,0,3327,0.78,115,83,277,0,0.32,237,420,23,14
André-Pierre Gignac,36,502588800,1985/12/05,Liga MX,2021/2022,Forward,Tigres UANL,2799,1505,1294,France,32,17,15,18,11,7,5,4,1,4,1,10,7,3,29,13,16,9,0,0.74,0.16,0.58,0.66,0.49,156,0.93,97,87,311,560,0.29,4,58,-1,1
Andrés Eduardo Sánchez Rodríguez,24,875836800,1997/10/03,Liga MX,2021/2022,Goalkeeper,Atlético San Luis,360,180,180,Mexico,4,2,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0.75,120,90,0,0,0,396,391,14,30
Andrés Felipe Ibargüen García,29,705196800,1992/05/07,Liga MX,2021/2022,Forward,Santos Laguna,207,158,49,Colombia,7,5,2,0,0,0,0,0,0,0,0,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0.87,104,30,0,0,0,-1,-1,-1,26
Andrés Felipe Mosquera Guardia,32,635472000,1990/02/20,Liga MX,2021/2022,Defender,León,2713,1311,1402,Colombia,36,18,18,1,1,0,1,0,1,0,0,13,5,8,24,12,12,2,0,0.07,0.03,0.03,0.07,0,2713,0.8,113,75,1357,2713,0.07,235,208,26,8
Andrés Guillermo Gudiño Portillo,25,854323200,1997/01/27,Liga MX,2021/2022,Goalkeeper,Cruz Azul,540,270,270,Mexico,6,3,3,0,0,0,0,0,0,0,0,1,1,0,6,2,4,2,0,0,0,0,0,0,0,1,90,90,270,0,0.33,358,372,67,19
Andrés Iniestra Vázquez Mellado,26,826502400,1996/03/11,Liga MX,2021/2022,Midfielder,Atlético San Luis,1437,597,840,Mexico,23,10,13,0,0,0,0,0,0,0,0,5,3,2,25,10,15,1,0,0,0,0,0,0,0,1.57,57,62,1437,0,0.06,294,303,-1,22
Andres Montaño,19,1022025600,2002/05/22,Liga MX,2021/2022,Midfielder,Mazatlán,377,134,243,Mexico,10,4,6,0,0,0,1,0,1,0,0,2,1,1,7,2,5,0,0,0.24,0.24,0,0,0,0,1.67,54,38,0,377,0,421,26,-1,32
Andrés Vombergar,27,785289600,1994/11/20,Liga MX,2021/2022,Forward,Atlético San Luis,1117,523,594,Argentina,22,11,11,2,0,2,0,0,0,0,0,4,1,3,18,12,6,1,0,0.16,0,0.16,0,0.3,559,1.45,62,51,1117,0,0.08,112,395,-1,8
Ángel Baltazar Sepúlveda Sánchez,31,666576000,1991/02/15,Liga MX,2021/2022,Forward,Querétaro,1896,1090,806,Mexico,27,14,13,5,3,2,2,1,1,2,0,7,4,3,26,15,11,3,0,0.33,0.09,0.24,0.25,0.22,379,1.23,73,70,632,948,0.14,73,132,-1,1
Ángel Eduardo Zapata Praga,21,981158400,2001/02/03,Liga MX,2021/2022,Midfielder,Monterrey,126,43,83,Mexico,9,4,5,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,14,63,0,1.43,-1,-1,-1,25
Ángel García Hernández,21,967766400,2000/09/01,Liga MX,2021/2022,Midfielder,Pumas UNAM,62,26,36,Mexico,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,1,0,0,0,0,0,0,1.45,62,31,31,0,2.9,-1,-1,-1,15
Ángel Israel Mena Delgado,34,569721600,1988/01/21,Liga MX,2021/2022,Forward,León,2869,1455,1414,Ecuador,35,17,18,14,12,2,3,1,2,6,2,11,4,7,35,19,16,8,0,0.53,0.09,0.44,0.74,0.13,205,1.1,82,82,359,956,0.25,18,144,-1,1
Ángel Jeremy Márquez Castañeda,21,961545600,2000/06/21,Liga MX,2021/2022,Midfielder,Atlas,2699,1242,1457,Mexico,39,18,21,2,0,2,1,1,0,0,0,16,7,9,20,8,12,3,1,0.1,0.03,0.07,0,0.12,1350,0.67,135,69,675,2699,0.13,193,215,-1,10
