timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1624384800,Jun 22 2021 - 6:00pm,complete,N/A,S.S. Folgore,Prishtina,Jouni Hyytiä,1,0,0,0,1.5,0,2,2,0,0,0,,"51,90'1",2,5,3,0,3,0,2,1,1,2,2,17,0,5,2,12,-1,-1,35,65,0.4,2.13,0,0,0,0,0,0,0,0,0,0,0,0,10,6,1.25,1.18,1.72,1.65,4.2,3.45,1.26,Elbasan Arena (Elbasan)
1624384800,Jun 22 2021 - 6:00pm,complete,N/A,HB,Inter Club d'Escaldes,Joonas Jaanovits,1,0,0,0,1.5,0,1,1,0,0,0,,61,8,2,-1,-1,-1,-1,-1,-1,-1,-1,9,7,2,2,7,5,-1,-1,62,38,1.26,0.85,0,0,0,0,0,0,0,0,0,0,0,0,1.37,4.7,7.5,1.36,1.76,3.45,6.5,2.4,1.53,Stadiumi Niko Dovana (Durrës)
1624644000,Jun 25 2021 - 6:00pm,complete,N/A,Prishtina,Inter Club d'Escaldes,Adam Ladebäck,N/A,3,3,1.5,1.5,2,0,2,1,1,0,"44,58",,8,3,2,0,2,0,1,1,2,0,17,7,8,4,9,3,10,14,57,43,1.96,0.92,1.5,0,50,0,0,0,0,0,50,100,7,2,1.45,4,6.5,1.38,1.8,3.5,7,2.35,1.56,Elbasan Arena (Elbasan)
1625587200,Jul 06 2021 - 4:00pm,complete,N/A,HJK,Buducnost,Nicolas Laforge,N/A,0,0,1.75,0,3,1,4,4,3,1,"5,7,13",35,9,6,2,0,3,0,1,1,2,1,12,11,7,6,5,5,7,16,60,40,1.68,1.49,0,0,0,0,0,0,0,0,0,0,0,0,1.25,6,10.75,1.24,1.62,2.6,4.75,2.15,1.67,Bolt Arena (Helsinki)
1625587200,Jul 06 2021 - 4:00pm,complete,N/A,Tallinna FC Flora,Hibernians,Lazar Lukic,N/A,0,0,1.5,0,2,0,2,0,0,0,"75,89",,13,2,0,0,3,1,0,0,1,3,22,6,11,0,11,6,11,5,65,35,2.82,0.65,0,0,0,0,0,0,0,0,0,0,0,0,1.67,3.8,5.25,1.33,1.91,3.15,6,1.91,1.83,A. Le Coq Arena (Tallinn)
1625587200,Jul 06 2021 - 4:00pm,complete,N/A,Ferencváros,Prishtina,David Munro,N/A,0,3,1.88,1.5,3,0,3,0,0,0,"71,74,78",,8,2,2,0,5,0,0,2,2,3,17,6,10,2,7,4,12,15,62,38,2.26,0.81,1,0,50,0,0,0,0,25,25,50,6.5,2.5,1.09,10.25,20,1.15,1.47,2.1,3.7,2.8,1.4,Groupama Aréna (Budapest)
1625590800,Jul 06 2021 - 5:00pm,complete,N/A,CFR Cluj,Borac Banja Luka,Jochem Kamphuis,N/A,0,0,1.67,1.5,3,1,4,3,2,1,"11,28,60",45'1,3,0,3,0,2,0,1,2,1,1,15,5,6,3,9,2,22,11,53,47,1.98,0.69,0,0,0,0,0,0,0,0,0,0,0,0,1.33,4.85,9.5,1.2,1.81,2.95,4.5,2.55,1.48,Stadionul Dr. Constantin Radulescu (Cluj-Napoca)
1625590800,Jul 06 2021 - 5:00pm,complete,N/A,Žalgiris,Linfield,Alex de Albuquerque Troleis,N/A,0,0,1.5,0,3,1,4,2,2,0,"38,45,66",54,6,3,2,0,0,0,0,2,0,0,17,7,7,5,10,2,11,11,58,42,2.09,1.15,0,0,0,0,0,0,0,0,0,0,0,0,1.58,3.62,4.77,1.35,1.78,3,6.75,2.5,1.49,Vilniaus LFF stadionas (Vilnius)
1625592600,Jul 06 2021 - 5:30pm,complete,N/A,Fola Esch,Lincoln Red Imps,Michal Ocenas,N/A,0,0,0.5,1,2,2,4,1,0,1,"65,66","26,50",8,2,3,0,3,0,1,2,0,3,13,6,8,4,5,2,9,16,60,40,2.18,1.12,0,0,0,0,0,0,0,0,0,0,0,0,1.33,4.5,7,1.22,1.58,2.55,4.35,2.05,1.74,Stade Émile Mayrisch (Esch-Uelzecht (Esch-sur-Alzette))
1625594400,Jul 06 2021 - 6:00pm,complete,N/A,Shkendija,Mura,António Emanuel Carvalho Nobre,N/A,0,0,0,1.75,0,1,1,1,0,1,,28,6,2,3,0,1,0,1,2,0,1,23,10,9,5,14,5,12,14,61,39,2.73,1.28,0,0,0,0,0,0,0,0,0,0,0,0,2.7,3.3,2.7,1.38,1.83,3.35,6.5,1.83,1.91,Toše Proeski Arena (Skopje)
