timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1625586300,Jul 06 2021 - 3:45pm,complete,N/A,Mosta,Spartak Trnava,N/A,N/A,0.00,0.00,1.50,1.00,3,2,5,4,3,1,"23,27,35","45'2,79",1,7,3,0,2,0,0,3,1,1,9,13,5,7,4,6,-1,-1,34,66,1.07,1.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.00,4.33,1.14,0.00,0.00,0.00,0.00,2.20,1.60,MFA Centenary Stadium
1625586600,Jul 06 2021 - 3:50pm,complete,N/A,Mons Calpe,FC Santa Coloma,N/A,N/A,0.00,0.00,0.50,1.00,1,1,2,1,0,1,"81","39",1,5,3,0,1,0,0,3,0,1,8,16,5,9,3,7,-1,-1,43,57,1.32,2.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.55,3.00,1.45,0.00,0.00,0.00,0.00,2.00,1.72,Victoria Stadium
1625596200,Jul 06 2021 - 6:30pm,complete,N/A,Mladost Lješkopolje,Laçi,N/A,N/A,0.00,0.00,1.50,1.17,1,0,1,0,0,0,"57","",6,2,4,0,4,0,2,2,0,4,16,11,5,4,11,7,-1,-1,51,49,1.73,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.42,3.30,2.65,0.00,2.16,0.00,0.00,1.85,1.85,Stadio Neapoli
1625752800,Jul 08 2021 - 2:00pm,complete,N/A,Artsakh,KuPS,N/A,N/A,0.00,0.00,1.50,1.50,1,0,1,0,0,0,"77","",1,5,2,0,1,0,0,2,0,1,6,6,2,0,4,6,-1,-1,38,62,0.75,0.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.90,3.50,1.38,0.00,2.30,0.00,0.00,2.20,1.62,Vazgen Sargsyan anvan Hanrapetakan Marzadasht
1625752800,Jul 08 2021 - 2:00pm,complete,N/A,Sileks,Petrocub,N/A,N/A,0.00,0.00,0.50,1.00,1,1,2,2,1,1,"5","45'4",2,6,5,0,2,0,1,4,0,2,8,22,3,10,5,12,-1,-1,38,62,0.89,2.93,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.90,3.75,1.14,0.00,2.05,0.00,0.00,2.20,1.62,N/A
1625752800,Jul 08 2021 - 2:00pm,complete,N/A,Liepāja,Struga,N/A,N/A,0.00,0.00,1.50,0.50,1,1,2,1,1,0,"31","90'3",1,1,1,0,2,0,1,0,1,1,6,12,4,4,2,8,-1,-1,48,52,1.04,1.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.17,3.75,4.75,0.00,2.00,0.00,0.00,2.00,1.73,Stadions Daugava
1625758200,Jul 08 2021 - 3:30pm,complete,N/A,Inter Turku,Puskás,N/A,N/A,0.00,0.00,0.50,1.00,1,1,2,0,0,0,"59","76",3,6,2,0,1,0,1,1,1,0,7,11,5,4,2,7,-1,-1,52,48,1.24,1.65,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.40,1.70,0.00,2.20,0.00,0.00,1.91,1.80,N/A
1625760000,Jul 08 2021 - 4:00pm,complete,N/A,Rīgas FS,KÍ,N/A,N/A,0.00,0.00,1.67,1.50,2,3,5,2,0,2,"50,79","21,33,70",9,3,4,0,5,0,2,2,1,4,13,8,6,7,7,1,-1,-1,47,53,1.70,1.26,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.30,3.50,3.30,0.00,1.80,0.00,0.00,1.73,2.00,N/A
1625760000,Jul 08 2021 - 4:00pm,complete,N/A,Sant Julià,Gzira United,N/A,N/A,0.00,0.00,1.00,0.50,0,0,0,0,0,0,"","",8,4,5,0,3,0,2,3,2,1,14,6,7,2,7,4,-1,-1,54,46,1.70,0.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.10,3.60,1.33,0.00,1.75,0.00,0.00,1.73,2.00,Estadi Nacional
1625760000,Jul 08 2021 - 4:00pm,complete,N/A,Sūduva,Valmiera / BSS,N/A,N/A,0.00,0.00,1.50,0.50,2,1,3,2,1,1,"27,90'5","35",2,6,1,0,3,0,1,0,2,1,12,7,5,5,7,2,-1,-1,62,38,1.35,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.52,3.00,2.35,0.00,2.10,0.00,0.00,1.83,1.83,N/A
