timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1628010000,Aug 03 2021 - 5:00pm,complete,N/A,Neftçi,HJK,William Collum,N/A,0.00,0.00,0.50,1.00,2,2,4,0,0,0,"59,80","61,65",4,2,3,0,4,0,1,2,0,4,12,10,5,5,7,5,12,13,49,51,1.37,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.38,3.25,3.13,1.38,1.65,3.60,7.00,1.95,1.80,Bakcell Arena (Bakı (Baku))
1628172000,Aug 05 2021 - 2:00pm,complete,N/A,Kairat,Alashkert,Aliaksei Kulbakov,N/A,0.00,0.00,0.50,1.25,0,0,0,0,0,0,"","",3,5,4,0,1,0,2,2,1,0,6,7,4,4,2,3,9,6,50,50,1.24,1.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.57,4.16,6.15,1.31,1.90,3.30,5.75,2.10,1.71,Ortalıq Stadion (Almatı (Almaty))
1628178300,Aug 05 2021 - 3:45pm,complete,N/A,Jablonec,Celtic,Halil Umut Meler,N/A,0.00,0.00,0.00,1.80,2,4,6,3,1,2,"17,85","12,16,64,90",3,1,2,0,1,0,0,2,0,1,17,17,6,10,11,7,13,8,38,62,2.04,2.28,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.90,3.30,1.95,1.38,2.10,3.50,6.75,1.95,1.83,Stadion Střelnice (Jablonec nad Nisou)
1628179200,Aug 05 2021 - 4:00pm,complete,N/A,Omonia Nicosia,Tallinna FC Flora,Radu Petrescu,N/A,0.00,0.00,1.50,1.50,1,0,1,1,1,0,"12","",8,2,0,0,1,0,0,0,0,1,12,9,8,4,4,5,8,7,57,43,1.72,1.13,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.47,3.95,7.50,1.43,2.20,3.95,8.00,2.40,1.56,Neo GSP (Nicosía (Levkosía))
1628179200,Aug 05 2021 - 4:00pm,complete,N/A,Lincoln Red Imps,Slovan Bratislava,Thanasis Tzilos,N/A,0.00,0.00,0.50,1.25,1,3,4,1,0,1,"73","16,48,69",11,3,1,0,2,0,1,0,2,0,15,6,7,4,8,2,7,16,59,41,2.07,1.06,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.95,3.75,1.67,1.32,1.91,3.15,6.00,1.87,1.91,Victoria Stadium (Gibraltar)
1628186400,Aug 05 2021 - 6:00pm,complete,N/A,Galatasaray,St. Johnstone,Sandro Schärer,N/A,0.00,0.00,1.75,0.50,1,1,2,0,0,0,"60","58",6,2,3,1,3,0,0,4,1,2,11,5,6,5,5,0,13,21,68,32,1.59,0.89,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.28,5.00,8.50,1.36,1.72,2.95,6.75,2.30,1.59,Başakşehir Fatih Terim Stadyumu (İstanbul)
1628186400,Aug 05 2021 - 6:00pm,complete,N/A,Mura,Žalgiris,Andreas Ekberg,N/A,0.00,0.00,1.00,0.50,0,0,0,0,0,0,"","",6,4,1,0,3,0,0,1,0,3,16,18,5,5,11,13,11,14,53,47,1.99,2.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.78,3.20,4.50,1.36,2.00,3.95,7.75,2.05,1.74,Mestni Štadion Fazanerija (Murska Sobota)
1628188200,Aug 05 2021 - 6:30pm,complete,N/A,Rapid Wien,Anorthosis,Maurizio Mariani,N/A,0.00,0.00,1.50,1.50,3,0,3,1,1,0,"35,64,83","",8,1,2,0,3,0,0,2,1,2,15,3,5,0,10,3,11,13,50,50,2.01,0.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.53,3.90,5.25,1.27,1.80,3.00,5.25,2.10,1.71,Allianz Stadion (Wien)
1628611200,Aug 10 2021 - 4:00pm,complete,N/A,Tallinna FC Flora,Omonia Nicosia,Ivan Kružliak,N/A,0.00,3.00,1.50,1.50,2,1,3,1,0,1,"48,88","43",10,1,7,1,5,0,0,8,0,5,17,16,8,7,9,9,27,6,52,48,2.43,2.02,1.00,0,0,0,0,0,0,100,0,0,10.00,1.00,2.90,2.90,2.25,1.54,2.45,4.35,8.75,2.20,1.56,A. Le Coq Arena (Tallinn)
1628620200,Aug 10 2021 - 6:30pm,complete,N/A,Slovan Bratislava,Lincoln Red Imps,Mykola Balakin,N/A,3.00,0.00,1.25,0.50,1,1,2,1,1,0,"38","90",8,1,1,1,3,0,1,1,0,3,15,6,8,5,7,1,13,13,49,51,1.98,1.11,4.00,100,100,100,100,0,0,100,100,100,14.00,3.00,1.28,5.77,10.29,1.19,1.55,2.30,3.90,1.95,1.71,Štadión Tehelné pole (Bratislava)
