timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1519174800,Feb 21 2018 - 1:00am,complete,N/A,Herediano,Tigres UANL,Ismail Elfath,N/A,0.00,0.00,0.50,1.75,2,2,4,1,0,1,"90,90'3","14,58",6,5,4,0,1,0,1,3,1,0,12,9,7,7,5,2,16,18,47,53,1.71,1.38,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.10,3.24,2.47,1.52,2.89,5.90,12.50,2.18,1.67,Estadio Eladio Rosabal Cordero (Heredia)
1519182000,Feb 21 2018 - 3:00am,complete,N/A,Colorado Rapids,Toronto,Kimbett Ward,N/A,0.00,0.00,0.50,1.75,0,2,2,0,0,0,"","55,73",4,2,2,0,1,0,1,1,0,1,11,14,5,7,6,7,10,6,43,57,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.58,3.98,1.98,1.34,2.19,4.05,8.00,1.97,1.82,Dick's Sporting Goods Park (Denver- Colorado)
1519261200,Feb 22 2018 - 1:00am,complete,N/A,Tauro,FC Dallas,César Arturo Ramos Palazuelos,N/A,0.00,0.00,0.75,1.50,1,0,1,0,0,0,"57","",2,5,0,0,0,0,0,0,0,0,10,15,5,4,5,11,14,8,45,55,1.37,1.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Rommel Fernández Gutiérrez (Ciudad de Panamá)
1519261200,Feb 22 2018 - 1:00am,complete,N/A,Deportivo Saprissa,América,Mark Geiger,N/A,0.00,0.00,0.50,1.83,1,5,6,3,0,3,"74","2,35,45,59,79",7,7,2,0,1,0,1,1,0,1,9,17,5,11,4,6,10,6,36,64,1.30,2.37,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.74,3.58,2.55,1.36,2.49,4.00,9.00,2.00,1.79,Estadio Ricardo Saprissa Aymá (San Juan de Tíbás (San José))
1519268400,Feb 22 2018 - 3:00am,complete,N/A,Motagua,Tijuana,Henry Bejarano,N/A,0.00,0.00,0.50,1.00,0,1,1,0,0,0,"","71",-1,-1,1,0,1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.90,4.85,1.46,1.26,1.95,3.32,6.50,2.05,1.75,H-E-B Park (Edinburg- Texas)
1519347600,Feb 23 2018 - 1:00am,complete,N/A,Cibao,Guadalajara,N/A,N/A,0.00,0.00,0.00,2.00,0,2,2,1,0,1,"","40,90'3",-1,-1,1,0,2,0,1,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,17.00,7.00,1.12,1.18,1.47,2.37,4.00,2.62,1.44,Estadio Cibao (Santiago De Los Caballeros)
1519354800,Feb 23 2018 - 3:00am,complete,N/A,Olimpia,New York RB,John Francis Pitti,N/A,0.00,0.00,0.50,1.83,1,1,2,1,0,1,"73","31",2,8,2,0,4,0,0,2,1,3,6,12,3,5,3,7,14,30,49,51,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.88,3.66,1.98,0.00,2.24,0.00,0.00,1.90,1.80,Estadio Nacional de Costa Rica (San José)
1519354800,Feb 23 2018 - 3:00am,complete,N/A,Santa Tecla,Seattle Sounders,Melvin Orlando Matamoros Ponce,N/A,0.00,0.00,1.50,1.50,2,1,3,1,0,1,"67,76","15",6,3,1,0,1,0,0,1,0,1,11,2,6,2,5,0,13,15,60,40,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.20,3.50,1.95,1.32,2.18,3.86,7.70,1.90,1.88,Estadio Las Delicias (Santa Tecla)
1519779600,Feb 28 2018 - 1:00am,complete,N/A,Tigres UANL,Herediano,Joel Antonio Aguilar Chicas,N/A,1.00,1.00,1.75,0.50,3,1,4,0,0,0,"49,79,90","78",5,0,2,0,3,0,1,1,1,2,15,4,6,3,9,1,18,17,66,34,1.90,0.67,4.00,100,100,100,100,0,0,100,100,100,11.00,5.00,1.51,4.35,6.90,0.00,1.65,0.00,0.00,2.37,1.53,Estadio Universitario de Nuevo León (San Nicolás de los Garza)
1519779600,Feb 28 2018 - 1:00am,complete,N/A,Toronto,Colorado Rapids,Luis Enrique Santander Aguirre,N/A,3.00,0.00,1.75,0.50,0,0,0,0,0,0,"","",5,3,0,0,4,0,0,0,2,2,15,10,2,5,13,5,10,16,57,43,1.45,1.32,2.00,0,100,0,0,0,0,0,100,100,6.00,3.00,1.60,4.00,6.20,0.00,2.18,0.00,0.00,2.25,1.57,BMO Field (Toronto- Ontario)
1519786800,Feb 28 2018 - 3:00am,complete,N/A,Tijuana,Motagua,Mario Alberto Escobar Toca,N/A,3.00,0.00,1.00,0.50,1,1,2,1,1,0,"3","88",6,3,1,0,1,0,1,0,0,1,19,8,7,5,12,3,15,14,62,38,2.14,1.16,1.00,0,0,0,0,0,0,0,0,100,0.00,2.00,1.35,5.50,8.80,1.28,1.80,3.39,6.50,2.20,1.61,Estadio Caliente (Tijuana)
1519866000,Mar 01 2018 - 1:00am,complete,N/A,FC Dallas,Tauro,Héctor Francisco Rodríguez Hernández,N/A,0.00,3.00,1.50,0.75,3,2,5,3,1,2,"32,50,90'2","15,44",5,0,2,0,2,0,1,1,1,1,14,8,4,4,10,4,-1,-1,-1,-1,1.80,1.04,1.00,0,0,0,0,0,0,0,0,100,7.00,0.00,1.19,6.00,15.00,1.22,1.60,2.62,4.50,2.37,1.53,Toyota Stadium (Frisco- Texas)
1519866000,Mar 01 2018 - 1:00am,complete,N/A,Guadalajara,Cibao,Drew Fischer,N/A,3.00,0.00,2.00,0.00,5,0,5,1,1,0,"45,53,56,74,78","",11,2,0,0,0,0,0,0,0,0,19,4,8,2,11,2,15,6,60,40,2.00,0.47,2.00,0,100,0,0,0,0,100,0,100,0.00,3.00,1.04,15.00,29.00,1.04,1.14,1.39,1.83,2.50,1.50,Estadio AKRON (Zapopan)
1519873200,Mar 01 2018 - 3:00am,complete,N/A,América,Deportivo Saprissa,Oscar Moncada,N/A,3.00,0.00,1.83,0.50,1,1,2,1,1,0,"1","53",3,4,2,0,2,0,0,2,1,1,11,10,4,2,7,8,15,13,-1,-1,1.38,1.10,6.00,100,100,100,100,100,100,100,100,100,14.00,3.00,1.35,5.30,9.40,1.14,1.60,2.20,3.75,2.20,1.61,Estadio Azteca (Ciudad de México (D.F.))
1519952400,Mar 02 2018 - 1:00am,complete,N/A,New York RB,Olimpia,Ricardo Montero,N/A,1.00,1.00,1.83,0.50,2,0,2,0,0,0,"54,64","",3,4,1,0,2,0,0,1,1,1,13,10,6,6,7,4,-1,-1,-1,-1,1.76,1.42,2.00,100,100,0,0,0,0,100,0,100,10.00,6.00,1.55,4.10,6.80,1.28,1.94,3.25,6.00,2.00,1.72,Red Bull Arena (Harrison- New Jersey)
1519959600,Mar 02 2018 - 3:00am,complete,N/A,Seattle Sounders,Santa Tecla,Walter Alexander López Castellanos,N/A,0.00,3.00,1.50,1.50,4,0,4,0,0,0,"47,69,81,83","",6,3,2,0,3,0,0,2,2,1,12,5,7,2,5,3,-1,-1,-1,-1,1.67,0.75,3.00,100,100,100,0,0,0,100,100,100,9.00,2.00,1.46,4.50,7.70,1.19,1.55,2.50,4.33,2.00,1.72,CenturyLink Field (Seattle- Washington)
1520384400,Mar 07 2018 - 1:00am,complete,N/A,América,Tauro,Armando Villarreal,N/A,2.00,1.50,1.83,0.75,4,0,4,1,1,0,"19,71,79,81","",12,3,1,0,6,0,0,1,0,6,7,4,6,2,1,2,11,15,66,34,1.76,0.78,3.50,75,75,50,50,50,50,75,50,100,6.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,1.39,Estadio Azteca (Ciudad de México (D.F.))
1520391600,Mar 07 2018 - 3:00am,complete,N/A,Tijuana,New York RB,Kimbett Ward,N/A,2.00,2.00,1.00,1.83,0,2,2,1,0,1,"","9,67",13,4,2,0,4,0,0,2,1,3,22,10,14,6,8,4,16,15,61,39,3.28,1.54,1.75,50,75,0,0,0,0,50,25,100,11.50,3.50,1.57,3.50,7.00,1.39,2.29,4.33,10.00,2.25,1.57,Estadio Caliente (Tijuana)
1520470800,Mar 08 2018 - 1:00am,complete,N/A,Toronto,Tigres UANL,Ricardo Montero,N/A,2.00,2.00,1.75,1.75,2,1,3,0,0,0,"60,89","52",1,5,0,0,3,0,0,0,0,3,13,6,6,3,7,3,13,13,47,53,1.69,0.97,2.50,50,75,50,50,0,0,25,75,75,8.50,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.83,1.83,BMO Field (Toronto- Ontario)
1520478000,Mar 08 2018 - 3:00am,complete,N/A,Seattle Sounders,Guadalajara,Mario Alberto Escobar Toca,N/A,1.50,3.00,1.50,2.00,1,0,1,0,0,0,"78","",8,2,2,0,3,0,1,1,1,2,17,12,9,5,8,7,14,18,-1,-1,2.23,1.66,3.50,25,100,75,50,25,0,75,75,100,15.50,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.72,CenturyLink Field (Seattle- Washington)
1520985600,Mar 14 2018 - 12:00am,complete,N/A,New York RB,Tijuana,Melvin Orlando Matamoros Ponce,N/A,2.33,1.33,1.83,1.00,3,1,4,2,1,1,"28,70,76","10",4,7,2,0,3,0,0,2,1,2,6,6,4,4,2,2,22,11,50,50,1.18,1.17,1.84,33,84,0,0,0,0,67,17,100,14.50,4.33,2.45,3.10,3.10,1.36,2.14,4.00,9.00,1.83,1.83,Red Bull Arena (Harrison- New Jersey)
