timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1300240800,Mar 16 2011 - 2:00am,complete,36443,Seattle Sounders,LA Galaxy,N/A,N/A,0.00,0.00,1.89,1.61,0,1,1,0,0,0,"","58",-1,-1,2,0,2,0,2,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CenturyLink Field (Seattle- Washington)
1300573800,Mar 19 2011 - 10:30pm,complete,22592,Vancouver Whitecaps,Toronto,N/A,N/A,0.00,0.00,1.35,0.59,4,2,6,3,2,1,"15,26,62,73","20,75",-1,-1,3,0,2,0,2,1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Empire Field (Vancouver- British Columbia)
1300577700,Mar 19 2011 - 11:35pm,complete,N/A,New York RB,Seattle Sounders,Jair Marrufo,N/A,0.00,0.00,1.67,1.78,1,0,1,0,0,0,"69","",-1,-1,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Red Bull Arena (Harrison- New Jersey)
1300577700,Mar 19 2011 - 11:35pm,complete,18132,DC United,Columbus Crew,Mark Geiger,N/A,0.00,0.00,1.18,0.83,3,1,4,0,0,0,"50,62,76","78",-1,-1,2,0,2,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Robert F. Kennedy Memorial Stadium (Washington- District of Columbia)
1300581000,Mar 20 2011 - 12:30am,complete,19385,Houston Dynamo,Philadelphia Union,N/A,N/A,0.00,0.00,2.06,1.00,0,1,1,1,0,1,"","5",-1,-1,1,0,2,0,1,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,John O'Quinn Field at Corbin J. Robertson Stadium (Houston- Texas)
1300581000,Mar 20 2011 - 12:30am,complete,20145,FC Dallas,Chicago Fire,N/A,N/A,0.00,0.00,1.67,1.00,1,1,2,2,1,1,"18","17",-1,-1,2,1,4,0,2,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Toyota Stadium (Frisco- Texas)
1300582800,Mar 20 2011 - 1:00am,complete,17139,Colorado Rapids,Portland Timbers,Ricardo Salazar,N/A,0.00,0.00,1.58,0.71,3,1,4,3,3,0,"7,29,30","80",-1,-1,1,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Dick's Sporting Goods Park (Denver- Colorado)
1300588800,Mar 20 2011 - 2:40am,complete,10525,SJ Earthquakes,Real Salt Lake,Baldomero Toledo,N/A,0.00,0.00,1.35,1.00,0,1,1,0,0,0,"","64",-1,-1,3,0,1,0,3,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Buck Shaw Stadium (Santa Clara- California)
1300588800,Mar 20 2011 - 2:40am,complete,18122,Chivas USA,Sporting KC,Edvin Jurisevic,N/A,0.00,0.00,1.18,1.17,2,3,5,2,0,2,"55,84","1,45'2,74",-1,-1,2,0,2,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Dignity Health Sports Park (Carson- California)
1300665600,Mar 21 2011 - 12:00am,complete,27000,LA Galaxy,New England Revolution,Hilario Grajeda,N/A,0.00,0.00,2.50,0.59,1,1,2,2,1,1,"39","3",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Dignity Health Sports Park (Carson- California)
