,Referee,Matches,h_obWins,h_exWins,h_obDraws,h_exDraws,h_obLosses,h_exLosses,a_obWins,a_exWins,a_obDraws,a_exDraws,a_obLosses,a_exLosses,h_obSG,h_exSG,a_obSG,a_exSG,obSG,exSG,obFouls,exFouls,h_obFouls,h_exFouls,a_obFouls,a_exFouls,obYC,exYC,obRC,exRC,h_obYC,h_exYC,a_obYC,a_exYC,h_obRC,h_exRC,a_obRC,a_exRC
0,S O'Reilly,55,19,26.270899042035648,13,13.550397160225783,23,15.17870379773858,23,26.270899042035648,13,13.550397160225783,19,15.17870379773858,64.0,88.34840429173391,74.0,60.423488798527785,138.0,148.7718930902617,1316.0,1411.8892584476744,665.0,688.4674472867464,651.0,723.4218111609281,168.0,188.57575062184156,12.0,11.189402041296459,77.0,84.07004617956106,91.0,104.5057044422805,6.0,4.4150331968838765,6.0,6.7743688444125825
1,A Muir,203,87,89.33591048448423,57,49.42448169699704,59,64.23960781851876,59,89.33591048448423,57,49.42448169699704,87,64.23960781851876,291.0,304.053400590082,226.0,241.9615325137939,517.0,546.0149331038759,5048.0,5252.651699276501,2471.0,2580.154005480381,2577.0,2672.49769379612,705.0,704.1458652849208,40.0,41.45220798015255,313.0,319.97541248047884,392.0,384.1704528044419,25.0,17.291401781374155,15.0,24.1608061987784
2,C Napier,81,38,32.80162731380006,19,19.928617539877777,24,28.269755146322154,24,32.80162731380006,19,19.928617539877777,38,28.269755146322154,133.0,113.84923005208086,111.0,99.6794363675079,244.0,213.52866641958877,1847.0,2108.004336888867,904.0,1036.9534229363899,943.0,1071.050913952477,274.0,283.83547114075503,15.0,16.846307777030002,117.0,130.8539255627892,157.0,152.98154557796585,9.0,7.270165786346392,6.0,9.57614199068361
3,I Cooper,42,23,18.486544481540417,7,10.624030972762377,12,12.889424545697207,12,18.486544481540417,7,10.624030972762377,23,12.889424545697207,70.0,62.43091812344282,53.0,49.23216407828099,123.0,111.66308220172381,1062.0,1091.729576473844,531.0,534.7047343174436,531.0,557.0248421564004,157.0,146.53884484447133,13.0,8.735360331137464,80.0,66.23945041150448,77.0,80.29939443296686,4.0,3.664937884714068,9.0,5.070422446423397
4,C Allan,81,38,36.799692593543256,22,20.173485807998745,21,24.026821598457985,21,36.799692593543256,22,20.173485807998745,38,24.026821598457985,125.0,124.20282998006053,82.0,93.17187118943225,207.0,217.37470116949277,1834.0,2092.1786506780895,863.0,1023.7971517776223,971.0,1068.3814989004672,251.0,279.0531156720225,20.0,16.599915664713784,98.0,125.86850561068607,153.0,153.18461006133646,8.0,6.801738321038496,12.0,9.79817734367529
5,A Halliday,35,9,15.141328960697717,16,9.170835719948716,10,10.687835319353582,10,15.141328960697717,16,9.170835719948716,9,10.687835319353582,42.0,50.251576258318465,44.0,39.913424133035996,86.0,90.16500039135445,951.0,915.0260559139297,449.0,447.82923407855503,502.0,467.1968218353747,118.0,121.15553408927354,7.0,7.3491532025954225,58.0,54.82523115375768,60.0,66.33030293551586,4.0,3.0384967490631944,3.0,4.3106564535322285
6,O Langford,406,159,175.37740162841476,108,109.56667414668381,139,121.05592422490139,139,175.37740162841476,108,109.56667414668381,159,121.05592422490139,562.0,582.7796794530632,466.0,462.41409369246253,1028.0,1045.1937731455257,8919.0,10599.701048844656,4322.0,5183.865293518392,4597.0,5415.835755326264,1133.0,1410.769333652462,68.0,85.43960240627824,500.0,637.5674633316038,633.0,773.2018703208581,26.0,35.164874708583675,42.0,50.274727697694566
7,T Kettle,472,228,211.54483965442068,118,126.37559036104426,126,134.0795699845353,126,211.54483965442068,118,126.37559036104426,228,134.0795699845353,731.0,692.3834929538822,545.0,523.1183138898604,1276.0,1215.5018068437425,11519.0,12333.18842851171,5616.0,6016.6529577830615,5903.0,6316.535470728649,1675.0,1636.0602512566904,106.0,99.26420125883314,748.0,732.2395395068356,927.0,903.8207117498548,47.0,40.316553550611395,59.0,58.94764770822174
8,S Duncan,236,99,104.51317589669672,68,63.31737685930316,69,68.16944724400007,69,104.51317589669672,68,63.31737685930316,99,68.16944724400007,343.0,345.4007880089014,267.0,264.94632153324983,610.0,610.3471095421512,4947.0,6154.5170784560505,2366.0,3004.6771827836887,2581.0,3149.8398956723618,637.0,819.7215466451535,43.0,49.48658160298308,289.0,368.2054323518399,348.0,451.51611429331365,14.0,20.22407508895737,29.0,29.26250651402571
9,A Bromley,55,31,27.4102035838158,11,13.845625798902212,13,13.744170617281993,13,27.4102035838158,11,13.845625798902212,31,13.744170617281993,107.0,87.3126775419413,64.0,56.614521827751844,171.0,143.92719936969314,913.0,1434.977695371978,441.0,695.5298053691799,472.0,739.4478900027981,108.0,189.4561210617074,8.0,11.388072486601452,45.0,82.26006037032901,63.0,107.19606069137836,3.0,4.407678349935902,5.0,6.980394136665549
10,R Joyce,260,108,109.83461206626815,74,69.51613244064275,78,80.64925549308916,78,109.83461206626815,74,69.51613244064275,108,80.64925549308916,372.0,368.1820084022443,321.0,301.19432426064503,693.0,669.3763326628894,6187.0,6794.065803435219,2979.0,3326.4362820863594,3208.0,3467.6295213488597,968.0,906.0847817587562,54.0,54.90448449678729,437.0,412.1082623896354,531.0,493.9765193691208,27.0,22.87239711886752,27.0,32.032087377919765
11,A Hopkins,34,12,15.434919047262301,10,8.802607773224432,12,9.762473179513266,12,15.434919047262301,10,8.802607773224432,12,9.762473179513266,39.0,50.37759028759139,37.0,37.676301357542826,76.0,88.05389164513421,609.0,887.4871133943273,300.0,433.0229213735603,309.0,454.464192020767,92.0,117.70253830612113,11.0,7.127219115768508,42.0,52.56460561889611,50.0,65.13793268722502,5.0,2.8985348367964785,6.0,4.228684278972029
12,A Freeland,72,44,32.467424665300236,8,16.522852058601693,20,23.009723276098093,20,32.467424665300236,8,16.522852058601693,44,23.009723276098093,148.0,112.6117053769568,88.0,86.548939048827,236.0,199.1606444257838,2000.0,1845.5165481360414,1008.0,909.9021290920749,992.0,935.6144190439663,278.0,247.91791959856778,20.0,14.210825254041769,122.0,113.09361486214287,156.0,134.8243047364249,6.0,5.899959068289488,14.0,8.310866185752282
13,D McDermid,127,58,58.85703407390474,37,33.5475423610195,32,34.59542356507577,32,58.85703407390474,37,33.5475423610195,58,34.59542356507577,183.0,190.91629651728775,133.0,137.94328879857127,316.0,328.859585315859,3182.0,3316.9741378226727,1525.0,1615.2702259581476,1657.0,1701.7039118645248,433.0,438.9439326691804,25.0,26.686065816242547,175.0,194.42162282315584,258.0,244.5223098460246,6.0,10.614423207148965,19.0,16.071642609093583
14,D Sheldrake,166,78,70.97744247441109,40,45.00677755549535,48,50.01577997009349,48,70.97744247441109,40,45.00677755549535,78,50.01577997009349,245.0,235.1179485445089,183.0,188.98330378768716,428.0,424.10125233219605,3930.0,4340.373430307045,1899.0,2121.6285110855424,2031.0,2218.744919221503,478.0,576.9442676905279,42.0,35.30311837370424,205.0,260.71808942638046,273.0,316.22617826414745,15.0,14.562714695646587,27.0,20.740403678057646
15,T Bates,34,14,14.825187762344703,9,9.132227928283834,11,10.042584309371463,11,14.825187762344703,9,9.132227928283834,14,10.042584309371463,47.0,48.89342280496835,39.0,37.87338362853846,86.0,86.76680643350682,866.0,889.6546681361505,431.0,434.2895772950525,435.0,455.365090841098,110.0,117.9187577051189,4.0,7.194155907904402,43.0,53.02634466055522,67.0,64.8924130445637,1.0,2.9564383866936312,3.0,4.2377175212107705
