timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1454716800,Feb 06 2016 - 12:00am,complete,N/A,Guayaquil City FC,Mushuc Runa SC,N/A,1,0.00,0.00,1.36,0.77,3,1,4,1,1,0,"3,87,90'3","64",-1,-1,2,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Christian Benítez Betancourt
1454718600,Feb 06 2016 - 12:30am,complete,N/A,CS Emelec,CD Universidad Católica,N/A,1,0.00,0.00,2.23,0.91,2,2,4,2,1,1,"13,66","35,82",-1,-1,2,1,2,0,2,1,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio 7 de Octubre
1454860800,Feb 07 2016 - 4:00pm,complete,N/A,CSD Independiente del Valle,Deportivo Cuenca,N/A,1,0.00,0.00,1.86,1.18,2,1,3,0,0,0,"57,74","85",1,0,6,0,2,1,1,5,1,2,4,2,3,0,1,2,4,5,66,34,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio General Rumiñahui del Valle de Los Chillos
1454861700,Feb 07 2016 - 4:15pm,complete,N/A,CD El Nacional,Barcelona,N/A,1,0.00,0.00,1.77,1.82,2,1,3,2,1,1,"27,83","12",4,5,3,0,2,0,1,2,1,1,13,9,9,3,4,6,15,17,53,47,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Olímpico Atahualpa
1454864400,Feb 07 2016 - 5:00pm,complete,N/A,Delfin SC,LDU Quito,N/A,1,0.00,0.00,1.55,0.86,2,0,2,0,0,0,"58,80","",3,3,3,0,3,0,0,3,0,3,8,18,8,11,0,7,16,23,43,57,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Jocay
1454878800,Feb 07 2016 - 9:00pm,complete,N/A,Fuerza Amarilla SC,SD Aucas,N/A,1,0.00,0.00,1.50,0.73,2,1,3,0,0,0,"56,90'4","65",5,5,3,0,2,0,1,2,1,1,13,11,5,6,8,5,11,21,56,44,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio 9 de Mayo
1455325200,Feb 13 2016 - 1:00am,complete,N/A,Deportivo Cuenca,CD El Nacional,N/A,2,0.00,0.00,1.55,1.18,0,0,0,0,0,0,"","",5,4,3,0,2,1,1,2,2,1,16,12,6,7,10,5,13,15,57,43,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Alejandro Serrano Aguilar Banco del Austro
1455382800,Feb 13 2016 - 5:00pm,complete,N/A,CD Universidad Católica,Fuerza Amarilla SC,N/A,2,0.00,0.00,1.77,0.73,1,0,1,0,0,0,"54","",12,1,0,0,3,0,0,0,1,2,22,9,13,5,9,4,20,20,65,35,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Olímpico Atahualpa
1455393600,Feb 13 2016 - 8:00pm,complete,N/A,SD Aucas,Guayaquil City FC,N/A,2,0.00,0.00,1.23,0.77,3,1,4,1,0,1,"63,67,80","36",11,2,4,0,3,0,1,3,1,2,14,8,4,4,10,4,19,11,54,46,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Gonzalo Pozo Ripalda
1455467400,Feb 14 2016 - 4:30pm,complete,N/A,Mushuc Runa SC,CS Emelec,N/A,2,0.00,0.00,1.18,1.77,0,3,3,2,0,2,"","21,23,58",14,6,3,0,1,0,1,2,1,0,18,11,11,8,7,3,17,24,48,52,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Bellavista de Ambato
