timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1444334400,Oct 08 2015 - 8:00pm,complete,26000,Bolivia,Uruguay,N/A,1,0.00,0.00,0.94,1.72,0,2,2,1,0,1,"","10,69",7,4,4,1,2,0,2,3,0,2,18,10,8,6,10,4,18,18,67,33,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Hernando Siles
1444336200,Oct 08 2015 - 8:30pm,complete,44000,Colombia,Peru,N/A,1,0.00,0.00,1.50,1.28,2,0,2,1,1,0,"36,90'5","",4,5,2,0,1,0,1,1,1,0,9,6,6,4,3,2,21,13,53,47,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Metropolitano Roberto Meléndez
1444338000,Oct 08 2015 - 9:00pm,complete,36618,Venezuela,Paraguay,N/A,1,0.00,0.00,0.67,1.33,0,1,1,0,0,0,"","85",5,1,2,0,1,0,0,2,1,0,10,6,2,2,8,4,19,18,52,48,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CTE Cachamay
1444347000,Oct 08 2015 - 11:30pm,complete,42000,Chile,Brazil,N/A,1,0.00,0.00,1.44,2.28,2,0,2,0,0,0,"72,90","",3,6,1,0,1,0,0,1,0,1,10,11,6,3,4,8,16,11,46,54,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Nacional Julio Martínez Prádanos
1444348800,Oct 09 2015 - 12:00am,complete,30000,Argentina,Ecuador,N/A,1,0.00,0.00,1.56,1.11,0,2,2,0,0,0,"","81,82",7,6,3,0,1,0,0,3,0,1,14,7,7,2,7,5,14,22,62,38,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Monumental Antonio Vespucio Liberti
1444770000,Oct 13 2015 - 9:00pm,complete,27333,Ecuador,Bolivia,N/A,2,3.00,0.00,1.11,0.94,2,0,2,0,0,0,"81,90'5","",14,0,2,0,5,0,1,1,1,4,23,10,15,6,8,4,12,15,68,32,0.00,0.00,2.00,0,100,0,0,0,0,50,50,100,13.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Olímpico Atahualpa
1444777200,Oct 13 2015 - 11:00pm,complete,40000,Uruguay,Colombia,N/A,2,3.00,3.00,1.72,1.50,3,0,3,1,1,0,"34,51,88","",3,2,1,0,3,1,0,1,1,3,13,10,7,6,6,4,18,23,42,58,0.00,0.00,2.00,0,100,0,0,0,0,100,0,100,8.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Centenario
1444780800,Oct 14 2015 - 12:00am,complete,20889,Paraguay,Argentina,N/A,2,3.00,0.00,1.33,1.56,0,0,0,0,0,0,"","",2,0,2,0,2,0,0,2,1,1,14,13,9,7,5,6,16,15,39,61,0.00,0.00,1.50,0,50,0,0,0,0,0,50,100,8.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Defensores del Chaco (Asunción)
1444784400,Oct 14 2015 - 1:00am,complete,38970,Brazil,Venezuela,N/A,2,0.00,0.00,2.28,0.67,3,1,4,2,2,0,"1,42,74","64",14,8,1,0,3,0,1,0,1,2,12,6,5,3,7,3,10,15,64,36,0.00,0.00,1.50,0,50,0,0,0,0,0,50,100,11.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estádio Governador Plácido Aderaldo Castelo
1444788900,Oct 14 2015 - 2:15am,complete,36180,Peru,Chile,N/A,2,0.00,3.00,1.28,1.44,3,4,7,5,2,3,"10,36,90'2","7,41,44,49",6,5,1,1,2,0,2,0,1,1,7,9,4,5,3,4,10,15,42,58,0.00,0.00,2.00,0,100,0,0,0,0,50,50,100,8.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Nacional de Lima
