Category: All categories

Country,Club América: (6/17/21 - 6/17/22)
Mexico,100
Belize,
Colombia,13
Guatemala,8
Honduras,7
Peru,5
El Salvador,
United States,4
Ecuador,3
Paraguay,
Equatorial Guinea,
Guinea,
Nicaragua,
Costa Rica,
Eswatini,
Congo - Kinshasa,
Liberia,
Panama,
South Sudan,
Uruguay,
Cuba,
Sierra Leone,
Chile,1
Congo - Brazzaville,
Burundi,
Chad,
Bolivia,
Kenya,
Malawi,
Haiti,
Dominican Republic,
Argentina,1
Uganda,
Andorra,
Zambia,
Timor-Leste,
Gambia,
Venezuela,
Curaçao,
Lesotho,
Aruba,
Laos,
Angola,
Togo,
Rwanda,
Tanzania,
Cameroon,
Ghana,
Brazil,<1
Gabon,
Nigeria,
Mozambique,
Benin,
Mali,
Puerto Rico,
Spain,<1
Namibia,
Senegal,
Gibraltar,
South Africa,
Mauritania,
Thailand,<1
Bahamas,
Nepal,
Hong Kong,
Ethiopia,
Canada,<1
Botswana,
Iceland,
Vietnam,
Zimbabwe,
St. Helena,
Côte d’Ivoire,
St. Lucia,
Singapore,
Montenegro,
Jamaica,
Bangladesh,
Sudan,
Trinidad & Tobago,
Cambodia,
Barbados,
Myanmar (Burma),
Ireland,
Madagascar,
Mongolia,
Somalia,
Mauritius,
United Kingdom,<1
Indonesia,
Morocco,
Niger,
New Zealand,
Portugal,
Fiji,
Suriname,
North Macedonia,
Qatar,
South Korea,
Sri Lanka,
Greece,
Palestine,
Yemen,
Maldives,
Australia,
Albania,
Malaysia,
Cyprus,
Kyrgyzstan,
China,
United Arab Emirates,
Algeria,
France,
Serbia,
Lebanon,
Netherlands,
Libya,
Georgia,
Egypt,
Uzbekistan,
Azerbaijan,
Poland,
Jordan,
Tunisia,
Pakistan,
Switzerland,
Austria,
Israel,
Kuwait,
Russia,
Taiwan,
Luxembourg,
Italy,
Belgium,
Norway,
Bahrain,
Germany,
Slovakia,
Iraq,
Romania,
India,
Slovenia,
Hungary,
Sweden,
Philippines,
Bulgaria,
Kosovo,
Turkey,
Croatia,
Syria,
Kazakhstan,
Bosnia & Herzegovina,
Czechia,
Latvia,
Belarus,
Saudi Arabia,
Denmark,
Japan,
Ukraine,
Armenia,
Iran,
Estonia,
Lithuania,
Moldova,
Finland,
Central African Republic,
St. Barthélemy,
Cayman Islands,
St. Kitts & Nevis,
Guyana,
Cape Verde,
Guadeloupe,
Macao,
Tajikistan,
Turkmenistan,
Réunion,
Papua New Guinea,
Afghanistan,
Anguilla,
Åland Islands,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Caribbean Netherlands,
Burkina Faso,
Bermuda,
Brunei,
Bhutan,
Bouvet Island,
Cocos (Keeling) Islands,
Cook Islands,
Comoros,
Christmas Island,
Djibouti,
Dominica,
Eritrea,
Western Sahara,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Guernsey,
Guinea-Bissau,
Grenada,
Greenland,
French Guiana,
Guam,
Heard & McDonald Islands,
Isle of Man,
British Indian Ocean Territory,
Jersey,
Kiribati,
Liechtenstein,
St. Martin,
Monaco,
Marshall Islands,
Malta,
Northern Mariana Islands,
Montserrat,
Martinique,
Mayotte,
New Caledonia,
Norfolk Island,
Niue,
Nauru,
Oman,
Pitcairn Islands,
Palau,
North Korea,
French Polynesia,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
San Marino,
St. Pierre & Miquelon,
São Tomé & Príncipe,
Sint Maarten,
Seychelles,
Turks & Caicos Islands,
Tokelau,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
