Category: All categories

Week,Club América: (Worldwide),RC Celta de Vigo: (Worldwide)
2021-06-20,8,2
2021-06-27,9,2
2021-07-04,36,2
2021-07-11,11,2
2021-07-18,24,3
2021-07-25,10,2
2021-08-01,16,4
2021-08-08,32,4
2021-08-15,37,16
2021-08-22,27,11
2021-08-29,24,3
2021-09-05,24,4
2021-09-12,40,77
2021-09-19,36,7
2021-09-26,62,10
2021-10-03,37,4
2021-10-10,12,2
2021-10-17,37,6
2021-10-24,71,17
2021-10-31,39,79
2021-11-07,19,10
2021-11-14,7,6
2021-11-21,54,6
2021-11-28,56,4
2021-12-05,13,13
2021-12-12,14,14
2021-12-19,8,2
2021-12-26,8,2
2022-01-02,23,14
2022-01-09,12,3
2022-01-16,16,12
2022-01-23,26,3
2022-01-30,11,5
2022-02-06,24,5
2022-02-13,40,2
2022-02-20,30,15
2022-02-27,49,5
2022-03-06,33,10
2022-03-13,47,3
2022-03-20,37,6
2022-03-27,12,52
2022-04-03,21,9
2022-04-10,39,5
2022-04-17,34,9
2022-04-24,37,2
2022-05-01,38,7
2022-05-08,55,72
2022-05-15,93,8
2022-05-22,100,2
2022-05-29,9,2
2022-06-05,10,2
2022-06-12,12,2
