Category: All categories

Month,World Cup: (Worldwide),Football: (Worldwide),Super Bowl: (Worldwide),American football: (Worldwide)
2004-01,1,10,3,2
2004-02,1,10,13,1
2004-03,1,11,<1,1
2004-04,1,11,<1,1
2004-05,1,12,<1,1
2004-06,1,15,<1,1
2004-07,1,11,<1,2
2004-08,1,13,<1,4
2004-09,1,13,<1,6
2004-10,1,13,<1,5
2004-11,1,12,<1,4
2004-12,1,10,<1,3
2005-01,1,10,2,2
2005-02,1,11,4,2
2005-03,1,11,<1,1
2005-04,1,11,<1,1
2005-05,1,12,<1,1
2005-06,2,12,<1,1
2005-07,1,10,<1,2
2005-08,1,14,<1,4
2005-09,1,14,<1,6
2005-10,2,14,<1,6
2005-11,2,14,<1,5
2005-12,3,12,<1,3
2006-01,2,12,2,2
2006-02,2,11,4,1
2006-03,2,12,<1,1
2006-04,4,13,<1,1
2006-05,10,16,<1,1
2006-06,56,29,<1,2
2006-07,14,15,<1,2
2006-08,2,13,<1,4
2006-09,1,14,<1,7
2006-10,1,14,<1,6
2006-11,1,12,<1,5
2006-12,1,11,<1,3
2007-01,1,10,2,2
2007-02,1,11,4,1
2007-03,1,11,<1,1
2007-04,1,12,<1,1
2007-05,1,13,<1,1
2007-06,1,12,<1,1
2007-07,1,11,<1,2
2007-08,1,14,<1,4
2007-09,1,15,<1,7
2007-10,1,13,<1,5
2007-11,1,13,<1,5
2007-12,1,11,<1,3
2008-01,1,11,2,2
2008-02,1,11,3,1
2008-03,1,12,<1,1
2008-04,1,12,<1,1
2008-05,1,13,<1,1
2008-06,2,16,<1,1
2008-07,1,11,<1,2
2008-08,1,14,<1,4
2008-09,1,15,<1,6
2008-10,1,14,<1,5
2008-11,1,13,<1,5
2008-12,1,12,<1,3
2009-01,1,12,2,2
2009-02,1,12,3,1
2009-03,1,12,<1,1
2009-04,1,13,<1,1
2009-05,1,14,<1,1
2009-06,1,13,<1,1
2009-07,1,12,<1,2
2009-08,1,16,<1,4
2009-09,2,17,<1,7
2009-10,2,16,<1,5
2009-11,1,16,<1,5
2009-12,2,14,<1,3
2010-01,1,14,2,2
2010-02,1,14,4,1
2010-03,2,15,<1,1
2010-04,3,15,<1,1
2010-05,9,17,<1,1
2010-06,58,28,<1,1
2010-07,19,17,<1,2
2010-08,2,16,<1,4
2010-09,2,17,<1,7
2010-10,1,16,<1,6
2010-11,1,16,<1,6
2010-12,1,13,<1,3
2011-01,1,14,2,2
2011-02,1,14,5,1
2011-03,1,13,<1,1
2011-04,1,15,<1,1
2011-05,1,15,<1,1
2011-06,1,13,<1,1
2011-07,2,14,<1,2
2011-08,1,17,<1,4
