Category: All categories

Month,Liga MX: (Worldwide),Campeonato Brasileiro Série A: (Worldwide),Argentine Primera División: (Worldwide),Categoría Primera A: (Worldwide),Premier League: (Worldwide)
2004-01,1,<1,<1,<1,5
2004-02,1,<1,<1,<1,5
2004-03,1,<1,1,<1,5
2004-04,1,1,1,<1,5
2004-05,1,1,1,<1,4
2004-06,1,1,1,<1,3
2004-07,<1,1,1,<1,4
2004-08,1,2,1,1,7
2004-09,1,1,1,<1,6
2004-10,1,1,1,1,6
2004-11,1,1,1,<1,6
2004-12,1,1,<1,<1,6
2005-01,1,<1,<1,<1,6
2005-02,1,<1,<1,<1,6
2005-03,1,<1,<1,<1,4
2005-04,1,1,1,<1,5
2005-05,1,1,1,1,5
2005-06,1,1,1,<1,3
2005-07,1,2,<1,<1,4
2005-08,1,2,1,1,9
2005-09,1,2,1,<1,6
2005-10,1,2,1,1,6
2005-11,1,2,1,1,5
2005-12,1,1,<1,<1,7
2006-01,1,<1,<1,<1,7
2006-02,1,<1,<1,<1,6
2006-03,1,<1,1,1,6
2006-04,1,1,<1,1,7
2006-05,1,1,<1,1,4
2006-06,1,1,<1,<1,4
2006-07,1,1,<1,<1,5
2006-08,1,2,1,1,11
2006-09,1,2,<1,1,10
2006-10,1,2,1,1,9
2006-11,1,2,<1,1,9
2006-12,1,1,<1,1,11
2007-01,1,<1,<1,<1,10
2007-02,1,<1,<1,1,8
2007-03,1,<1,<1,1,7
2007-04,1,<1,<1,1,9
2007-05,1,2,1,1,8
2007-06,1,2,<1,1,5
2007-07,1,2,<1,<1,6
2007-08,1,3,1,1,16
2007-09,1,3,1,1,12
2007-10,1,4,<1,1,10
2007-11,1,3,<1,1,9
2007-12,1,1,<1,1,12
2008-01,1,1,<1,1,10
2008-02,1,<1,<1,1,9
2008-03,1,1,<1,1,10
2008-04,1,1,1,2,10
2008-05,1,2,1,1,8
2008-06,1,3,1,1,4
2008-07,<1,5,<1,1,5
2008-08,1,5,1,1,12
2008-09,1,4,1,1,12
2008-10,1,5,1,1,11
2008-11,1,6,1,1,12
2008-12,1,3,1,1,11
2009-01,1,1,<1,<1,12
2009-02,1,1,1,1,11
2009-03,1,1,1,1,11
2009-04,1,1,1,1,12
2009-05,1,4,1,1,11
2009-06,1,4,1,1,5
2009-07,1,6,1,1,6
2009-08,1,8,1,1,17
2009-09,1,6,1,1,12
2009-10,1,9,1,1,12
2009-11,1,10,1,1,11
2009-12,1,4,1,1,15
2010-01,1,1,<1,1,13
2010-02,1,1,1,1,13
2010-03,1,1,1,1,14
2010-04,2,1,1,1,14
2010-05,1,5,1,1,9
2010-06,1,2,<1,<1,4
2010-07,1,3,<1,1,6
2010-08,1,5,1,1,18
2010-09,1,8,1,1,13
2010-10,1,8,1,2,13
2010-11,1,8,1,1,17
2010-12,1,2,<1,1,16
2011-01,1,1,<1,<1,17
2011-02,1,1,<1,1,15
2011-03,1,1,<1,1,12
2011-04,2,1,1,2,15
2011-05,2,3,1,2,16
2011-06,1,5,1,1,6
2011-07,1,7,<1,<1,6
2011-08,1,9,1,1,19
2011-09,1,11,1,2,15
2011-10,2,11,<1,2,15
2011-11,1,10,<1,3,13
2011-12,1,4,<1,2,18
2012-01,1,2,<1,1,15
2012-02,1,2,<1,2,14
2012-03,2,1,<1,2,16
2012-04,2,1,<1,2,20
2012-05,2,3,<1,2,15
2012-06,1,4,1,1,5
2012-07,2,7,<1,1,6
2012-08,2,7,<1,2,16
2012-09,2,9,<1,2,16
2012-10,3,8,<1,2,13
2012-11,4,6,<1,2,16
2012-12,1,2,<1,2,19
2013-01,2,1,<1,1,16
2013-02,3,1,<1,2,14
2013-03,3,1,<1,2,12
2013-04,3,1,<1,2,17
2013-05,3,2,1,2,13
2013-06,2,3,1,2,6
2013-07,2,4,<1,2,6
2013-08,2,6,<1,2,18
2013-09,2,8,<1,2,18
2013-10,2,9,<1,2,16
2013-11,2,7,<1,2,17
2013-12,2,3,<1,1,29
2014-01,2,1,<1,1,21
2014-02,2,1,<1,2,22
2014-03,3,1,<1,2,24
2014-04,3,2,1,2,30
2014-05,2,5,1,2,18
2014-06,1,2,<1,<1,5
2014-07,2,4,<1,1,7
2014-08,2,8,<1,2,23
2014-09,2,9,<1,2,20
2014-10,2,9,1,2,20
2014-11,3,10,1,2,20
2014-12,2,2,<1,1,27
2015-01,2,1,<1,1,21
2015-02,3,1,<1,2,22
2015-03,3,1,1,2,22
2015-04,4,1,1,2,25
2015-05,5,5,1,2,21
2015-06,1,8,<1,1,6
2015-07,1,11,<1,1,7
2015-08,4,11,1,1,28
2015-09,3,18,1,1,21
2015-10,3,11,1,2,23
2015-11,4,12,<1,2,23
2015-12,2,3,<1,1,33
2016-01,3,1,<1,<1,29
2016-02,4,1,1,1,32
2016-03,4,1,1,1,29
2016-04,6,1,1,2,39
2016-05,7,8,1,2,29
2016-06,1,18,<1,1,6
2016-07,3,18,<1,1,7
2016-08,5,21,<1,1,28
2016-09,6,22,1,1,28
2016-10,7,26,1,2,32
2016-11,7,22,1,2,29
2016-12,4,4,1,1,43
2017-01,6,1,<1,<1,38
2017-02,8,1,<1,2,33
2017-03,6,1,1,2,24
2017-04,14,1,2,2,46
2017-05,10,10,2,2,34
2017-06,2,24,2,1,6
2017-07,3,29,<1,2,7
2017-08,7,24,1,2,29
2017-09,6,17,1,1,29
2017-10,8,31,1,2,27
2017-11,9,30,2,3,30
2017-12,4,5,1,1,47
2018-01,7,1,1,<1,33
2018-02,11,1,2,1,32
2018-03,8,1,2,2,28
2018-04,12,10,4,2,35
2018-05,7,19,2,2,23
2018-06,1,21,<1,1,5
2018-07,4,17,<1,1,7
2018-08,11,29,2,1,36
2018-09,10,37,3,2,35
2018-10,9,31,3,3,32
2018-11,12,41,2,2,31
2018-12,8,6,2,<1,63
2019-01,9,1,1,1,51
2019-02,11,1,2,2,55
2019-03,11,1,2,3,45
2019-04,15,6,2,4,69
2019-05,17,30,1,4,41
2019-06,1,23,<1,2,7
2019-07,5,17,1,2,7
2019-08,13,30,3,3,50
2019-09,12,40,3,3,43
2019-10,11,53,3,5,43
2019-11,16,57,4,4,50
2019-12,10,22,2,1,85
2020-01,9,1,2,1,58
2020-02,15,2,6,3,55
2020-03,10,1,3,1,27
2020-04,1,1,<1,<1,6
2020-05,1,1,<1,<1,7
2020-06,2,1,<1,<1,37
2020-07,4,1,<1,<1,84
2020-08,11,28,<1,<1,11
2020-09,12,42,<1,1,51
2020-10,10,49,1,3,58
2020-11,14,45,3,5,58
2020-12,7,46,2,2,97
2021-01,8,64,2,1,93
2021-02,12,71,2,3,90
2021-03,12,3,3,5,60
2021-04,15,2,4,5,71
2021-05,18,7,3,1,89
2021-06,1,30,1,1,7
2021-07,3,40,2,1,8
2021-08,12,37,5,3,54
2021-09,10,30,4,3,65
2021-10,12,57,6,4,71
2021-11,14,74,5,4,60
2021-12,7,33,2,4,99
2022-01,10,2,1,2,64
2022-02,14,2,3,4,66
2022-03,13,2,4,3,60
2022-04,22,23,6,4,95
2022-05,20,33,3,3,100
2022-06,1,57,5,5,11
