Category: All categories

Month,Ligue 1: (Worldwide),Bundesliga: (Worldwide),LaLiga: (Worldwide),Serie A: (Worldwide),Premier League: (Worldwide)
2004-01,1,2,2,2,5
2004-02,1,3,2,2,5
2004-03,1,3,3,2,5
2004-04,1,3,3,2,5
2004-05,1,3,3,2,4
2004-06,1,2,1,1,3
2004-07,1,2,1,1,4
2004-08,1,3,2,2,7
2004-09,1,3,3,4,6
2004-10,1,3,3,3,6
2004-11,1,3,3,3,6
2004-12,1,2,3,2,6
2005-01,1,2,3,2,6
2005-02,1,3,3,3,6
2005-03,1,3,3,2,4
2005-04,1,3,3,3,5
2005-05,1,3,4,3,5
2005-06,1,2,2,1,3
2005-07,1,2,2,1,4
2005-08,2,4,3,3,9
2005-09,1,3,4,3,6
2005-10,1,3,4,3,6
2005-11,1,3,3,2,5
2005-12,1,3,3,3,7
2006-01,1,2,3,3,7
2006-02,1,4,3,3,6
2006-03,1,3,3,2,6
2006-04,1,3,3,2,7
2006-05,1,3,3,2,4
2006-06,1,2,1,1,4
2006-07,1,3,2,2,5
2006-08,2,5,3,2,11
2006-09,2,3,4,4,10
2006-10,1,3,3,3,9
2006-11,1,5,4,3,9
2006-12,1,3,3,3,11
2007-01,1,3,3,2,10
2007-02,2,5,3,3,8
2007-03,2,5,3,2,7
2007-04,2,6,4,3,9
2007-05,2,5,6,2,8
2007-06,1,2,6,2,5
2007-07,1,2,2,2,6
2007-08,2,6,4,3,16
2007-09,2,6,5,5,12
2007-10,1,4,4,4,10
2007-11,1,4,4,3,9
2007-12,1,3,4,3,12
2008-01,2,1,4,3,10
2008-02,2,5,4,4,9
2008-03,2,5,5,5,10
2008-04,2,5,5,4,10
2008-05,3,4,4,4,8
2008-06,1,1,2,1,4
2008-07,1,2,2,2,5
2008-08,3,5,3,3,12
2008-09,2,4,4,7,12
2008-10,2,5,4,6,11
2008-11,2,6,5,6,12
2008-12,2,4,4,4,11
2009-01,2,2,4,6,12
2009-02,2,6,4,6,11
2009-03,3,5,5,5,11
2009-04,4,6,5,5,12
2009-05,5,9,6,5,11
2009-06,1,2,2,2,5
2009-07,1,3,3,3,6
2009-08,3,8,4,6,17
2009-09,2,6,6,7,12
2009-10,2,5,5,6,12
2009-11,2,6,5,6,11
2009-12,3,5,4,5,15
2010-01,2,5,5,8,13
2010-02,3,7,5,7,13
2010-03,3,7,7,8,14
2010-04,4,7,8,8,14
2010-05,3,4,8,6,9
2010-06,1,2,2,2,4
2010-07,1,3,3,3,6
2010-08,3,6,5,5,18
2010-09,2,7,7,9,13
2010-10,3,7,7,7,13
2010-11,3,7,9,9,17
2010-12,3,6,7,6,16
2011-01,2,6,8,8,17
2011-02,3,8,8,9,15
2011-03,2,6,8,7,12
2011-04,3,9,9,8,15
2011-05,4,5,9,7,16
2011-06,1,2,3,3,6
2011-07,1,3,3,3,6
2011-08,3,8,6,4,19
2011-09,3,6,9,9,15
2011-10,3,6,9,9,15
2011-11,2,6,9,7,13
2011-12,3,6,9,8,18
2012-01,2,4,9,8,15
2012-02,3,7,10,8,14
2012-03,3,8,12,8,16
2012-04,4,10,17,11,20
2012-05,4,4,9,7,15
2012-06,1,2,3,2,5
2012-07,1,2,3,3,6
2012-08,3,4,7,5,16
2012-09,3,7,9,9,16
2012-10,2,5,9,7,13
2012-11,3,7,9,9,16
2012-12,3,5,9,7,19
2013-01,2,4,9,7,16
2013-02,3,6,9,8,14
2013-03,3,5,9,7,12
2013-04,3,6,9,7,17
2013-05,3,5,8,6,13
2013-06,1,2,4,2,6
2013-07,1,2,3,3,6
2013-08,3,7,7,5,18
2013-09,3,5,9,9,18
2013-10,3,5,9,9,16
2013-11,3,6,8,7,17
2013-12,3,5,8,7,29
2014-01,3,3,10,8,21
2014-02,3,6,13,8,22
2014-03,3,8,18,9,24
2014-04,3,7,16,9,30
2014-05,3,5,20,7,18
2014-06,1,2,3,2,5
2014-07,1,2,4,3,7
2014-08,3,5,8,4,23
2014-09,3,7,11,9,20
2014-10,3,6,12,8,20
2014-11,3,7,13,8,20
2014-12,4,7,11,7,27
2015-01,3,3,13,8,21
2015-02,4,11,15,9,22
2015-03,4,7,15,8,22
2015-04,4,8,19,9,25
2015-05,4,9,18,9,21
2015-06,1,2,4,3,6
2015-07,1,2,4,3,7
2015-08,3,7,9,7,28
2015-09,3,9,14,12,21
2015-10,3,7,13,12,23
2015-11,3,7,13,12,23
2015-12,4,6,15,11,33
2016-01,4,4,19,14,29
2016-02,5,9,20,16,32
2016-03,4,8,19,10,29
2016-04,5,10,36,14,39
2016-05,3,7,21,9,29
2016-06,1,2,3,3,6
2016-07,1,2,4,4,7
2016-08,3,4,10,8,28
2016-09,4,9,17,13,28
2016-10,4,9,20,15,32
2016-11,4,9,17,12,29
2016-12,5,9,16,10,43
2017-01,4,5,21,11,38
2017-02,7,10,24,13,33
2017-03,5,7,25,9,24
2017-04,7,14,38,13,46
2017-05,6,9,28,13,34
2017-06,1,2,4,2,6
2017-07,1,2,4,3,7
2017-08,6,7,11,8,29
2017-09,6,12,20,14,29
2017-10,6,10,19,15,27
2017-11,6,8,17,12,30
2017-12,7,10,22,17,47
2018-01,7,8,24,12,33
2018-02,8,12,29,16,32
2018-03,6,11,26,15,28
2018-04,8,13,30,22,35
2018-05,6,8,19,14,23
2018-06,1,1,3,2,5
2018-07,1,2,4,4,7
2018-08,6,5,14,14,36
2018-09,8,12,23,23,35
2018-10,7,12,22,18,32
2018-11,7,12,21,18,31
2018-12,7,15,24,27,63
2019-01,7,8,24,15,51
2019-02,10,16,30,27,55
2019-03,8,17,24,23,45
2019-04,10,19,34,28,69
2019-05,8,15,17,26,41
2019-06,1,2,4,2,7
2019-07,1,2,4,3,7
2019-08,8,12,18,11,50
2019-09,9,15,29,27,43
2019-10,8,14,26,24,43
2019-11,10,17,26,23,50
2019-12,12,21,31,30,85
2020-01,7,12,27,35,58
2020-02,13,24,36,38,55
2020-03,4,8,17,10,27
2020-04,1,2,3,2,6
2020-05,1,22,4,2,7
2020-06,1,21,38,18,37
2020-07,2,4,44,60,84
2020-08,4,2,5,8,11
2020-09,8,9,18,15,51
2020-10,7,13,27,24,58
2020-11,8,13,28,27,58
2020-12,10,16,43,36,97
2021-01,11,23,41,48,93
2021-02,13,20,42,40,90
2021-03,10,16,35,32,60
2021-04,15,21,59,40,71
2021-05,21,19,68,49,89
2021-06,1,2,4,3,7
2021-07,2,2,4,3,8
2021-08,17,14,24,18,54
2021-09,15,15,32,33,65
2021-10,15,17,36,36,71
2021-11,11,13,27,26,60
2021-12,12,16,33,33,99
2022-01,9,11,28,25,64
2022-02,13,14,34,30,66
2022-03,10,11,28,23,60
2022-04,16,17,44,37,95
2022-05,12,11,32,37,100
2022-06,2,2,4,3,11
