Category: Sports

Month,Dwayne Johnson: (Worldwide),Guillermo Ochoa: (Worldwide)
2004-01,14,<1
2004-02,16,1
2004-03,28,1
2004-04,26,<1
2004-05,19,<1
2004-06,15,1
2004-07,18,<1
2004-08,17,<1
2004-09,16,1
2004-10,20,1
2004-11,17,1
2004-12,16,1
2005-01,17,1
2005-02,18,1
2005-03,23,1
2005-04,16,2
2005-05,14,3
2005-06,14,3
2005-07,16,2
2005-08,14,3
2005-09,14,4
2005-10,18,3
2005-11,16,3
2005-12,14,2
2006-01,15,2
2006-02,17,2
2006-03,16,2
2006-04,14,2
2006-05,14,2
2006-06,14,2
2006-07,14,2
2006-08,14,2
2006-09,19,2
2006-10,15,2
2006-11,13,2
2006-12,13,2
2007-01,15,2
2007-02,17,2
2007-03,18,3
2007-04,17,3
2007-05,14,3
2007-06,18,4
2007-07,17,5
2007-08,18,4
2007-09,21,4
2007-10,19,5
2007-11,18,7
2007-12,19,5
2008-01,21,5
2008-02,22,4
2008-03,24,3
2008-04,21,4
2008-05,18,4
2008-06,21,3
2008-07,20,3
2008-08,20,3
2008-09,16,3
2008-10,15,3
2008-11,15,2
2008-12,16,3
2009-01,16,2
2009-02,18,2
2009-03,25,2
2009-04,22,2
2009-05,17,3
2009-06,16,2
2009-07,16,3
2009-08,17,2
2009-09,15,2
2009-10,18,2
2009-11,17,2
2009-12,16,1
2010-01,21,2
2010-02,18,2
2010-03,18,2
2010-04,17,3
2010-05,16,3
2010-06,15,6
2010-07,17,3
2010-08,18,2
2010-09,16,2
2010-10,16,2
2010-11,19,2
2010-12,19,5
2011-01,17,1
2011-02,59,1
2011-03,49,2
2011-04,59,2
2011-05,59,2
2011-06,28,7
2011-07,27,5
2011-08,28,3
2011-09,24,2
2011-10,24,2
2011-11,44,2
2011-12,35,2
2012-01,33,1
2012-02,42,2
2012-03,48,2
2012-04,90,1
2012-05,38,2
2012-06,35,2
2012-07,41,1
2012-08,37,1
2012-09,34,1
2012-10,27,1
2012-11,32,1
2012-12,35,1
2013-01,62,2
2013-02,67,2
2013-03,59,2
2013-04,93,1
2013-05,60,2
2013-06,61,2
2013-07,51,2
2013-08,49,5
2013-09,43,2
2013-10,34,1
2013-11,33,1
2013-12,46,1
2014-01,41,1
2014-02,33,1
2014-03,40,1
2014-04,100,3
2014-05,38,4
2014-06,64,65
2014-07,57,28
2014-08,50,7
2014-09,36,4
2014-10,41,3
2014-11,36,3
2014-12,36,4
2015-01,51,4
2015-02,38,2
2015-03,41,2
2015-04,64,2
2015-05,52,2
2015-06,50,3
2015-07,47,8
2015-08,45,3
2015-09,43,2
2015-10,42,2
2015-11,44,2
2015-12,43,2
2016-01,46,2
2016-02,39,2
2016-03,42,2
2016-04,48,2
2016-05,37,2
2016-06,45,4
2016-07,58,2
2016-08,53,1
2016-09,40,1
2016-10,36,2
2016-11,48,1
2016-12,49,1
2017-01,40,1
2017-02,41,1
2017-03,39,1
2017-04,50,2
2017-05,50,2
2017-06,40,4
2017-07,47,3
2017-08,91,1
2017-09,57,1
2017-10,34,1
2017-11,33,1
2017-12,47,1
2018-01,47,1
2018-02,43,1
2018-03,44,1
2018-04,65,1
2018-05,53,1
2018-06,37,18
2018-07,56,15
2018-08,51,6
2018-09,39,2
2018-10,36,1
2018-11,35,1
2018-12,41,1
2019-01,43,1
2019-02,35,1
2019-03,35,1
2019-04,36,1
2019-05,31,1
2019-06,32,3
2019-07,35,4
2019-08,58,6
2019-09,33,3
2019-10,36,1
2019-11,86,1
2019-12,44,1
2020-01,48,1
2020-02,41,1
2020-03,42,1
2020-04,46,1
2020-05,45,1
2020-06,44,1
2020-07,38,1
2020-08,40,1
2020-09,50,1
2020-10,33,1
2020-11,31,1
2020-12,32,1
2021-01,35,1
2021-02,37,1
2021-03,33,1
2021-04,39,1
2021-05,37,1
2021-06,30,2
2021-07,43,3
2021-08,45,3
2021-09,31,1
2021-10,36,1
2021-11,61,1
2021-12,56,1
2022-01,47,1
2022-02,51,1
2022-03,38,2
2022-04,37,1
2022-05,34,1
2022-06,33,2
