Category: Sports

Month,Dwayne Johnson: (Worldwide),Guillermo Ochoa: (Worldwide),Canelo Álvarez: (Worldwide)
2004-01,5,<1,0
2004-02,6,<1,0
2004-03,10,<1,0
2004-04,9,<1,<1
2004-05,7,<1,0
2004-06,5,<1,0
2004-07,6,<1,0
2004-08,6,<1,0
2004-09,6,<1,0
2004-10,7,<1,0
2004-11,6,<1,<1
2004-12,6,<1,0
2005-01,6,<1,0
2005-02,6,<1,0
2005-03,8,<1,0
2005-04,6,1,<1
2005-05,5,1,0
2005-06,5,1,<1
2005-07,6,1,0
2005-08,5,1,0
2005-09,5,1,0
2005-10,6,1,<1
2005-11,6,1,0
2005-12,5,1,<1
2006-01,5,1,0
2006-02,6,1,0
2006-03,6,1,<1
2006-04,5,1,<1
2006-05,5,1,0
2006-06,5,1,<1
2006-07,5,1,<1
2006-08,5,1,<1
2006-09,7,1,0
2006-10,5,1,<1
2006-11,5,1,<1
2006-12,5,1,0
2007-01,5,1,0
2007-02,6,1,<1
2007-03,6,1,<1
2007-04,6,1,<1
2007-05,5,1,0
2007-06,6,1,<1
2007-07,6,2,<1
2007-08,6,1,<1
2007-09,7,1,<1
2007-10,7,2,<1
2007-11,6,2,<1
2007-12,7,2,<1
2008-01,7,2,<1
2008-02,8,1,<1
2008-03,9,1,<1
2008-04,7,1,0
2008-05,6,1,<1
2008-06,7,1,<1
2008-07,7,1,<1
2008-08,7,1,<1
2008-09,6,1,<1
2008-10,5,1,<1
2008-11,5,1,<1
2008-12,6,1,<1
2009-01,6,1,<1
2009-02,6,1,<1
2009-03,9,1,<1
2009-04,8,1,<1
2009-05,6,1,<1
2009-06,6,1,<1
2009-07,6,1,<1
2009-08,6,1,<1
2009-09,5,1,<1
2009-10,6,1,<1
2009-11,6,1,<1
2009-12,6,<1,<1
2010-01,8,1,<1
2010-02,6,1,<1
2010-03,6,1,1
2010-04,6,1,<1
2010-05,6,1,2
2010-06,5,2,<1
2010-07,6,1,1
2010-08,6,1,<1
2010-09,6,1,1
2010-10,6,1,<1
2010-11,7,1,1
2010-12,7,2,1
2011-01,6,1,<1
2011-02,21,<1,1
2011-03,17,1,3
2011-04,21,1,<1
2011-05,21,1,<1
2011-06,10,2,2
2011-07,10,2,<1
2011-08,10,1,<1
2011-09,8,1,3
2011-10,9,1,1
2011-11,16,1,3
2011-12,12,1,1
2012-01,12,<1,1
2012-02,15,1,1
2012-03,17,1,1
2012-04,32,1,1
2012-05,14,1,7
2012-06,12,1,1
2012-07,15,<1,1
2012-08,13,1,<1
2012-09,12,<1,5
2012-10,10,<1,<1
2012-11,11,<1,<1
2012-12,12,<1,1
2013-01,22,1,1
2013-02,24,1,1
2013-03,21,1,1
2013-04,33,<1,5
2013-05,21,1,3
2013-06,22,1,4
2013-07,18,1,3
2013-08,17,2,7
2013-09,15,1,100
2013-10,12,<1,2
2013-11,12,<1,1
2013-12,16,<1,1
2014-01,15,<1,1
2014-02,12,<1,1
2014-03,14,1,4
2014-04,35,1,1
2014-05,14,1,1
2014-06,23,23,1
2014-07,20,10,4
2014-08,18,3,1
2014-09,13,1,1
2014-10,15,1,1
2014-11,13,1,1
2014-12,13,2,1
2015-01,18,2,1
2015-02,13,1,1
2015-03,14,1,1
2015-04,22,1,1
2015-05,18,1,7
2015-06,18,1,1
2015-07,16,3,1
2015-08,16,1,2
2015-09,15,1,2
2015-10,15,1,2
2015-11,15,1,36
2015-12,15,1,1
2016-01,16,1,1
2016-02,14,1,1
2016-03,15,1,1
2016-04,17,1,2
2016-05,13,1,23
2016-06,16,1,1
2016-07,20,1,1
2016-08,19,1,1
2016-09,14,<1,7
2016-10,13,1,1
2016-11,17,<1,2
2016-12,17,<1,1
2017-01,14,<1,2
2017-02,14,<1,3
2017-03,14,<1,2
2017-04,18,1,5
2017-05,18,1,48
2017-06,14,1,2
2017-07,16,1,2
2017-08,32,<1,5
2017-09,20,<1,29
2017-10,12,<1,1
2017-11,12,<1,1
2017-12,17,<1,1
2018-01,16,<1,1
2018-02,15,<1,1
2018-03,15,<1,1
2018-04,23,<1,1
2018-05,19,<1,1
2018-06,13,6,1
2018-07,20,5,1
2018-08,18,2,2
2018-09,14,1,32
2018-10,13,<1,2
2018-11,12,<1,1
2018-12,14,<1,8
2019-01,15,<1,1
2019-02,12,<1,1
2019-03,12,<1,1
2019-04,13,<1,1
2019-05,11,<1,11
2019-06,11,1,1
2019-07,12,1,1
2019-08,20,2,1
2019-09,12,1,1
2019-10,13,<1,2
2019-11,30,<1,22
2019-12,16,<1,1
2020-01,17,<1,1
2020-02,15,<1,1
2020-03,15,<1,1
2020-04,16,<1,1
2020-05,16,<1,1
2020-06,15,<1,<1
2020-07,13,<1,1
2020-08,14,<1,1
2020-09,18,<1,1
2020-10,12,<1,1
2020-11,11,<1,1
2020-12,11,<1,9
2021-01,13,<1,1
2021-02,13,<1,7
2021-03,12,<1,2
2021-04,14,<1,1
2021-05,13,<1,15
2021-06,11,1,2
2021-07,15,1,1
2021-08,16,1,1
2021-09,11,<1,2
2021-10,13,<1,2
2021-11,22,1,16
2021-12,20,<1,1
2022-01,17,<1,1
2022-02,18,<1,1
2022-03,13,1,1
2022-04,13,1,2
2022-05,12,<1,13
2022-06,12,1,1
