Category: Sports

Week,Javier Hernández: (Mexico),Andrés Guardado: (Mexico),Raúl Jiménez: (Mexico),Héctor Herrera: (Mexico),Guillermo Ochoa: (Mexico)
2017-06-25,10,2,2,1,14
2017-07-02,11,11,6,1,20
2017-07-09,12,3,3,1,19
2017-07-16,17,2,3,1,7
2017-07-23,15,2,4,1,5
2017-07-30,14,1,3,<1,6
2017-08-06,9,2,2,1,4
2017-08-13,14,1,2,1,8
2017-08-20,16,2,2,1,4
2017-08-27,6,2,2,<1,5
2017-09-03,7,2,1,<1,6
2017-09-10,8,1,1,<1,3
2017-09-17,6,3,1,<1,4
2017-09-24,5,3,1,<1,4
2017-10-01,6,2,1,<1,3
2017-10-08,5,1,1,1,3
2017-10-15,5,1,1,<1,3
2017-10-22,6,1,1,<1,3
2017-10-29,5,1,1,<1,3
2017-11-05,5,2,1,1,5
2017-11-12,5,1,1,<1,3
2017-11-19,5,2,1,<1,2
2017-11-26,5,2,1,<1,4
2017-12-03,6,1,<1,<1,3
2017-12-10,7,1,<1,<1,3
2017-12-17,5,1,<1,<1,2
2017-12-24,6,1,1,<1,3
2017-12-31,5,1,<1,0,2
2018-01-07,11,1,1,<1,1
2018-01-14,13,1,1,1,2
2018-01-21,9,3,<1,<1,3
2018-01-28,9,1,1,1,3
2018-02-04,9,1,1,<1,2
2018-02-11,8,1,1,1,2
2018-02-18,6,1,1,<1,2
2018-02-25,4,1,<1,<1,3
2018-03-04,5,1,1,1,3
2018-03-11,3,1,<1,<1,3
2018-03-18,4,2,1,1,6
2018-03-25,4,3,1,1,7
2018-04-01,5,1,2,<1,3
2018-04-08,9,1,1,<1,2
2018-04-15,5,1,1,2,5
2018-04-22,5,1,1,<1,4
2018-04-29,6,1,1,<1,5
2018-05-06,8,1,1,1,5
2018-05-13,7,4,2,1,5
2018-05-20,5,1,1,<1,6
2018-05-27,7,3,1,1,5
2018-06-03,8,4,3,27,7
2018-06-10,12,4,2,7,8
2018-06-17,41,13,5,16,63
2018-06-24,33,9,3,6,38
2018-07-01,25,7,3,8,57
2018-07-08,11,2,1,7,20
2018-07-15,7,2,2,4,20
2018-07-22,6,1,1,8,28
2018-07-29,6,1,1,3,25
2018-08-05,4,1,2,3,49
2018-08-12,5,1,2,1,23
2018-08-19,3,1,1,1,7
2018-08-26,4,1,1,1,31
2018-09-02,3,<1,1,1,12
2018-09-09,3,1,1,2,6
2018-09-16,3,1,2,2,5
2018-09-23,6,1,1,8,3
2018-09-30,3,2,1,10,5
2018-10-07,3,2,2,2,4
2018-10-14,4,1,1,2,4
2018-10-21,3,1,1,2,4
2018-10-28,4,1,1,1,4
2018-11-04,3,1,1,2,3
2018-11-11,2,2,1,2,5
2018-11-18,3,1,<1,2,5
2018-11-25,5,1,<1,1,3
2018-12-02,7,1,2,1,3
2018-12-09,4,1,2,1,3
2018-12-16,4,<1,1,1,4
2018-12-23,5,<1,3,1,4
2018-12-30,6,1,2,2,3
2019-01-06,5,4,3,1,2
2019-01-13,10,3,2,2,2
2019-01-20,6,2,1,1,2
2019-01-27,5,1,7,1,2
2019-02-03,4,2,2,1,3
2019-02-10,2,1,2,1,3
2019-02-17,3,1,2,1,2
2019-02-24,3,1,2,1,1
2019-03-03,4,1,3,2,2
2019-03-10,8,1,7,1,2
2019-03-17,10,4,8,2,6
2019-03-24,8,1,3,5,4
2019-03-31,3,1,6,3,3
2019-04-07,5,1,6,4,3
2019-04-14,5,<1,2,2,4
2019-04-21,3,1,3,1,3
2019-04-28,3,<1,4,1,4
2019-05-05,3,<1,4,2,4
2019-05-12,4,<1,3,2,7
2019-05-19,3,2,1,5,6
2019-05-26,4,1,1,4,8
2019-06-02,5,2,1,3,6
2019-06-09,3,2,2,4,6
2019-06-16,7,7,5,4,8
2019-06-23,9,2,2,5,6
2019-06-30,9,6,7,13,27
2019-07-07,8,8,6,4,24
2019-07-14,4,1,1,3,11
2019-07-21,3,2,1,4,11
2019-07-28,4,<1,2,4,38
2019-08-04,4,1,3,2,100
2019-08-11,3,1,1,1,25
2019-08-18,5,1,4,2,14
2019-08-25,7,1,3,2,9
2019-09-01,14,1,4,3,4
2019-09-08,7,<1,2,1,8
2019-09-15,12,1,1,8,7
2019-09-22,5,1,<1,2,6
2019-09-29,7,1,1,1,8
2019-10-06,4,<1,2,1,9
2019-10-13,2,<1,1,<1,4
2019-10-20,4,<1,2,3,3
2019-10-27,5,<1,2,2,3
2019-11-03,3,<1,4,1,3
2019-11-10,5,<1,7,2,3
2019-11-17,4,1,4,1,2
2019-11-24,3,<1,5,4,2
2019-12-01,3,1,3,3,5
2019-12-08,3,1,2,1,4
2019-12-15,3,1,3,1,2
2019-12-22,3,1,12,2,6
2019-12-29,3,1,7,1,13
2020-01-05,3,1,3,6,2
2020-01-12,11,1,7,4,2
2020-01-19,13,1,16,1,2
2020-01-26,5,<1,5,2,1
2020-02-02,3,1,2,1,3
2020-02-09,3,1,2,1,3
2020-02-16,3,<1,2,3,4
2020-02-23,3,<1,4,1,3
2020-03-01,4,<1,9,1,3
2020-03-08,3,1,4,4,2
2020-03-15,1,1,1,1,4
2020-03-22,2,<1,3,<1,2
2020-03-29,1,<1,2,<1,2
2020-04-05,3,1,2,<1,2
2020-04-12,2,1,2,<1,2
2020-04-19,2,<1,1,<1,1
2020-04-26,3,1,1,<1,2
2020-05-03,2,1,1,<1,1
2020-05-10,2,<1,1,<1,1
2020-05-17,2,<1,3,<1,2
2020-05-24,1,<1,2,<1,1
2020-05-31,2,1,1,<1,1
2020-06-07,1,1,2,<1,2
2020-06-14,2,1,3,2,2
2020-06-21,3,2,12,1,2
2020-06-28,2,1,7,1,2
2020-07-05,2,1,2,<1,2
2020-07-12,4,1,7,1,5
2020-07-19,3,1,5,1,3
2020-07-26,2,1,6,<1,9
2020-08-02,1,<1,7,<1,4
2020-08-09,2,1,6,3,3
