Category: Sports

Month,Jesús Manuel Corona: (Mexico),Héctor Moreno: (Mexico),Hirving Lozano: (Mexico),Edson Álvarez: (Mexico),Guillermo Ochoa: (Mexico)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,2
2004-03,0,0,0,0,1
2004-04,0,0,0,0,3
2004-05,0,0,0,0,1
2004-06,0,0,0,0,1
2004-07,0,0,0,0,1
2004-08,0,0,0,0,1
2004-09,0,1,0,0,2
2004-10,0,0,0,0,6
2004-11,0,0,0,0,2
2004-12,0,0,0,0,1
2005-01,0,1,0,0,2
2005-02,0,0,0,0,2
2005-03,0,0,0,0,6
2005-04,0,0,0,0,8
2005-05,0,0,0,0,21
2005-06,<1,0,0,0,16
2005-07,0,0,0,0,10
2005-08,0,0,0,0,19
2005-09,0,0,0,0,22
2005-10,0,0,0,0,15
2005-11,0,0,0,0,15
2005-12,0,0,0,0,13
2006-01,0,0,0,0,6
2006-02,0,0,0,0,10
2006-03,<1,<1,0,0,9
2006-04,0,0,0,0,9
2006-05,<1,0,<1,0,9
2006-06,0,0,0,0,12
2006-07,1,<1,0,0,8
2006-08,<1,0,0,0,7
2006-09,<1,0,0,0,9
2006-10,0,0,0,0,9
2006-11,0,<1,0,0,8
2006-12,0,0,0,0,8
2007-01,0,0,0,0,8
2007-02,<1,0,0,0,9
2007-03,0,0,0,0,13
2007-04,0,0,0,0,11
2007-05,0,<1,0,0,18
2007-06,0,<1,0,0,16
2007-07,<1,<1,0,0,28
2007-08,<1,<1,0,0,15
2007-09,<1,0,0,0,17
2007-10,0,<1,0,0,20
2007-11,0,<1,0,0,31
2007-12,<1,5,0,0,26
2008-01,<1,1,0,0,23
2008-02,<1,1,0,0,16
2008-03,<1,1,0,0,16
2008-04,<1,<1,0,0,14
2008-05,0,1,0,0,13
2008-06,0,<1,0,0,14
2008-07,<1,0,0,0,15
2008-08,<1,<1,0,0,10
2008-09,<1,<1,0,0,9
2008-10,<1,<1,0,0,9
2008-11,<1,1,<1,0,8
2008-12,0,1,<1,0,11
2009-01,0,<1,0,0,8
2009-02,0,<1,0,0,8
2009-03,<1,<1,0,0,8
2009-04,<1,<1,0,0,8
2009-05,1,<1,0,0,10
2009-06,1,<1,0,0,8
2009-07,<1,<1,0,0,7
2009-08,<1,1,<1,0,6
2009-09,<1,1,0,0,6
2009-10,<1,<1,0,0,5
2009-11,<1,<1,<1,0,5
2009-12,<1,<1,0,0,4
2010-01,<1,1,0,0,5
2010-02,1,<1,0,0,4
2010-03,1,1,0,0,6
2010-04,<1,2,0,0,7
2010-05,<1,2,<1,0,8
2010-06,0,4,0,0,17
2010-07,0,5,0,0,10
2010-08,<1,2,0,0,6
2010-09,<1,1,0,0,4
2010-10,<1,1,0,0,4
2010-11,<1,1,0,0,6
2010-12,<1,1,0,0,19
2011-01,<1,1,0,0,4
2011-02,<1,1,0,0,3
2011-03,<1,1,<1,0,6
2011-04,<1,1,0,0,5
2011-05,3,7,0,0,7
2011-06,<1,6,0,0,21
2011-07,<1,2,0,0,16
2011-08,<1,1,0,0,9
2011-09,<1,1,0,0,5
2011-10,<1,1,0,0,5
2011-11,<1,<1,0,0,5
2011-12,<1,1,<1,0,5
2012-01,<1,1,0,0,4
2012-02,<1,2,<1,0,4
2012-03,<1,1,0,0,4
2012-04,<1,1,<1,0,5
2012-05,1,1,0,0,7
2012-06,1,2,0,0,6
2012-07,<1,1,0,0,4
2012-08,2,1,<1,0,4
2012-09,<1,1,<1,0,3
2012-10,<1,1,<1,0,3
2012-11,<1,1,0,0,2
2012-12,1,1,0,0,2
2013-01,1,1,<1,0,7
2013-02,1,1,0,0,5
2013-03,1,1,0,0,5
2013-04,1,1,<1,0,3
2013-05,3,1,0,0,5
2013-06,4,2,<1,0,6
2013-07,3,1,<1,0,5
2013-08,3,1,0,0,15
2013-09,2,1,<1,0,8
2013-10,1,1,<1,0,4
2013-11,2,1,0,0,3
2013-12,4,1,0,0,3
2014-01,1,1,<1,0,4
2014-02,1,1,<1,0,4
2014-03,1,1,<1,0,5
2014-04,3,1,<1,0,8
2014-05,4,2,<1,0,14
2014-06,5,9,<1,0,100
2014-07,3,4,<1,0,57
2014-08,1,1,<1,0,16
2014-09,1,1,<1,0,8
2014-10,1,1,<1,0,8
2014-11,2,1,<1,0,7
2014-12,2,2,<1,0,11
2015-01,2,4,<1,0,13
2015-02,2,2,<1,0,6
2015-03,2,1,<1,0,5
2015-04,1,1,<1,0,5
2015-05,3,2,1,0,6
2015-06,3,3,1,0,8
2015-07,3,3,<1,0,26
2015-08,3,4,<1,0,9
2015-09,4,6,<1,0,5
2015-10,3,1,<1,0,5
2015-11,3,1,<1,0,5
2015-12,3,1,<1,0,7
2016-01,3,1,<1,0,8
2016-02,1,1,<1,0,5
2016-03,2,1,1,0,7
2016-04,1,1,1,0,7
2016-05,1,1,1,0,8
2016-06,5,2,3,<1,7
2016-07,1,1,3,0,6
2016-08,1,1,1,0,5
2016-09,1,<1,<1,0,4
2016-10,<1,<1,<1,<1,4
2016-11,1,1,<1,<1,4
2016-12,1,<1,<1,<1,3
2017-01,<1,1,1,<1,2
2017-02,<1,<1,<1,<1,2
2017-03,<1,1,1,<1,3
2017-04,1,<1,<1,<1,5
2017-05,<1,1,1,<1,6
2017-06,4,6,4,<1,10
2017-07,2,2,1,<1,9
2017-08,1,1,2,<1,4
2017-09,1,1,1,<1,3
2017-10,<1,1,4,<1,2
2017-11,1,1,4,<1,2
2017-12,<1,1,4,<1,2
2018-01,<1,1,2,<1,2
2018-02,<1,2,2,<1,2
2018-03,<1,1,2,<1,3
2018-04,<1,1,3,<1,3
2018-05,<1,1,2,<1,4
2018-06,3,4,12,2,21
2018-07,1,2,6,1,24
2018-08,<1,1,2,<1,20
2018-09,<1,1,3,<1,5
2018-10,<1,1,3,<1,3
2018-11,<1,<1,2,<1,3
2018-12,<1,<1,2,1,3
2019-01,<1,1,3,<1,2
2019-02,1,<1,1,<1,2
2019-03,1,1,2,<1,3
2019-04,<1,<1,2,<1,2
2019-05,<1,1,2,<1,4
2019-06,<1,2,3,1,7
2019-07,<1,2,3,3,12
2019-08,<1,1,7,1,27
2019-09,1,1,4,1,5
2019-10,<1,<1,1,1,4
2019-11,<1,1,2,<1,2
2019-12,<1,2,1,<1,5
2020-01,<1,2,1,<1,2
2020-02,<1,<1,1,<1,2
2020-03,<1,<1,1,<1,2
2020-04,<1,<1,<1,<1,1
2020-05,<1,<1,<1,<1,1
2020-06,<1,<1,2,<1,1
2020-07,1,<1,2,<1,3
2020-08,1,1,1,<1,2
2020-09,1,<1,1,<1,3
2020-10,1,1,2,<1,3
2020-11,<1,1,1,<1,3
2020-12,<1,<1,2,<1,3
2021-01,<1,1,3,<1,2
2021-02,1,<1,2,<1,2
2021-03,1,<1,2,1,2
2021-04,1,<1,1,<1,2
2021-05,<1,1,2,<1,2
2021-06,1,4,2,1,3
2021-07,1,1,6,1,5
2021-08,2,1,2,1,6
2021-09,1,1,1,1,2
2021-10,<1,1,2,1,2
2021-11,<1,1,1,1,4
2021-12,<1,<1,1,<1,2
2022-01,2,1,1,<1,2
2022-02,1,1,2,1,3
2022-03,1,<1,1,1,4
2022-04,1,<1,1,<1,3
2022-05,<1,<1,1,1,3
2022-06,1,<1,1,<1,4
