timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1563386400,Jul 17 2019 - 6:00pm,complete,N/A,Antigua and Barbuda U23,Puerto Rico U23,N/A,1,0.00,0.00,0.00,2.00,1,2,3,2,1,1,"42","12,9003",1,3,2,0,1,0,1,1,1,0,14,13,9,7,5,6,-1,-1,47,53,1.68,1.59,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Panamericano (San Cristóbal)
1563395400,Jul 17 2019 - 8:30pm,complete,N/A,Dominican Republic U23,St. Lucia U23,N/A,1,0.00,0.00,1.71,1.00,3,1,4,1,1,0,"4,50,77","66",9,2,2,0,5,0,0,2,2,3,20,10,7,6,13,4,-1,-1,47,53,2.15,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Panamericano (San Cristóbal)
1563406200,Jul 17 2019 - 11:30pm,complete,N/A,Jamaica U23,Dominica U23,N/A,1,0.00,0.00,1.00,0.50,1,1,2,1,0,1,"52","37",9,1,2,0,2,0,0,2,0,2,28,6,9,5,19,1,-1,-1,52,48,3.13,0.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Anthony Spaulding Sports Complex (Kingston)
1563408000,Jul 18 2019 - 12:00am,complete,N/A,US Virgin Islands U23,Cuba U23,N/A,1,0.00,0.00,0.00,1.50,2,3,5,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ulrich Sports Complex Soccer Field (Bethlehem- Pennsylvania)
1563408000,Jul 18 2019 - 12:00am,complete,N/A,Nicaragua U23,Honduras U23,N/A,N/A,0.00,0.00,0.00,2.14,0,2,2,1,0,1,"","21,81",1,5,3,0,3,0,0,3,2,1,4,12,3,4,1,8,-1,-1,52,48,0.92,1.59,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Nacional de Fútbol (UNAN) (Managua)
1563411600,Jul 18 2019 - 1:00am,complete,N/A,Guatemala U23,Costa Rica U23,N/A,N/A,0.00,0.00,1.50,1.20,0,3,3,1,0,1,"","14,55,61",8,5,2,0,3,0,1,1,1,2,19,11,6,6,13,5,-1,-1,49,51,2.09,1.50,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Nacional Mateo Flores (Ciudad de Guatemala)
1563411600,Jul 18 2019 - 1:00am,complete,N/A,Panama U23,El Salvador U23,N/A,N/A,0.00,0.00,0.50,1.60,1,1,2,1,1,0,"28","48",4,1,1,0,1,0,1,0,0,1,11,3,3,2,8,1,-1,-1,49,51,1.20,0.44,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Rommel Fernández Gutiérrez (Ciudad de Panamá)
1563559200,Jul 19 2019 - 6:00pm,complete,N/A,St. Lucia U23,Puerto Rico U23,N/A,2,0.00,3.00,1.00,2.00,0,1,1,1,0,1,"","29",5,2,3,0,5,0,2,1,2,3,16,8,8,5,8,3,-1,-1,50,50,1.93,1.07,3.50,100,100,100,50,0,50,100,50,100,5.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Panamericano (San Cristóbal)
1563568200,Jul 19 2019 - 8:30pm,complete,N/A,Dominican Republic U23,Antigua and Barbuda U23,N/A,2,3.00,0.00,1.71,0.00,4,0,4,3,3,0,"17,23,27,86","",6,1,0,0,4,0,0,0,1,3,18,5,12,4,6,1,-1,-1,50,50,2.35,0.81,3.50,100,100,100,50,0,50,100,50,100,10.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Panamericano (San Cristóbal)
1563570000,Jul 19 2019 - 9:00pm,complete,N/A,Dominica U23,St Kitts and Nevis U23,N/A,2,1.00,0.00,0.50,1.33,0,4,4,2,0,2,"","7,23,47,69",0,3,-1,-1,-1,-1,-1,-1,-1,-1,8,17,3,8,5,9,-1,-1,52,48,1.07,2.09,1.00,50,50,0,0,0,0,50,0,50,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Anthony Spaulding Sports Complex (Kingston)
