,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Corinthians,85.29,82.0,9.9,8.1,191905,75000,61505,7390,6105
2,Palmeiras Women,74.98,70.3,13.9,15.8,168702,75000,52761,10419,11820
3,Santos,65.68,59.7,17.9,22.4,147774,75000,44773,13455,16772
4,São Paulo Women,63.36,57.8,16.6,25.6,142549,75000,43366,12451,19183
5,Ferroviária,58.37,52.4,17.9,29.7,131340,75000,39294,13458,22248
6,Internacional RS,57.27,50.7,19.6,29.6,128861,75000,38047,14720,22233
7,Kindermann,52.21,44.7,22.7,32.7,117480,75000,33497,16989,24514
8,Grêmio W,49.11,43.7,16.3,40.0,110491,75000,32754,12229,30017
9,Flamengo W,40.47,33.4,21.1,45.4,91059,75000,25073,15840,34087
10,Cruzeiro W,38.22,31.7,19.5,48.8,85997,75000,23799,14600,36601
11,Real Brasília W,35.15,28.0,21.4,50.6,79087,75000,21018,16033,37949
12,Botafogo,29.27,22.5,20.2,57.3,65847,75000,16893,15168,42939
13,São José Women,27.74,21.5,18.7,59.8,62410,75000,16124,14038,44838
14,Bahia W,25.68,18.6,21.1,60.3,57776,75000,13985,15821,45194
15,Minas ICESP,25.46,19.2,18.9,62.0,57276,75000,14375,14151,46474
16,Napoli W,22.85,16.9,17.8,65.3,51402,75000,12692,13326,48982
