Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
São Paulo Women,132,646,1005,1103,854,569,398,167,88,19,15,2,2,0,0,0,0,0,0,0
Internacional RS,61,271,586,700,861,824,675,469,279,154,74,23,14,9,0,0,0,0,0,0
Corinthians,3760,874,251,82,22,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Botafogo,0,0,0,3,13,32,91,187,337,492,632,745,705,702,616,445,0,0,0,0
Flamengo W,1,4,29,74,141,296,443,710,809,789,586,441,315,180,127,55,0,0,0,0
Cruzeiro W,0,0,8,34,98,182,331,542,787,836,741,560,388,247,149,97,0,0,0,0
Palmeiras Women,821,2157,1039,521,260,125,45,17,9,5,1,0,0,0,0,0,0,0,0,0
São José Women,0,0,3,3,13,22,57,129,220,340,553,697,777,793,748,645,0,0,0,0
Kindermann,12,72,239,429,642,792,887,730,483,339,185,93,50,31,14,2,0,0,0,0
Bahia W,0,0,0,2,5,24,28,71,151,283,435,564,760,800,943,934,0,0,0,0
Real Brasília W,0,1,9,13,45,114,195,333,542,713,739,720,638,445,311,182,0,0,0,0
Ferroviária,38,263,559,773,824,867,683,482,253,129,81,28,12,8,0,0,0,0,0,0
Grêmio W,4,42,132,255,423,606,776,895,718,472,318,191,98,51,17,2,0,0,0,0
Santos,171,670,1140,1008,797,528,349,183,99,31,15,2,1,6,0,0,0,0,0,0
Minas ICESP,0,0,0,0,2,5,28,58,146,245,366,527,707,919,973,1024,0,0,0,0
Napoli W,0,0,0,0,0,5,12,27,79,153,259,407,533,809,1102,1614,0,0,0,0
