,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Chelsea Women,82.15,78.0,12.5,9.5,271091,110000,85776,13763,10461
2,Manchester City Women,79.47,75.3,12.5,12.2,262236,110000,82817,13785,13398
3,Arsenal Women,78.35,74.0,12.9,13.0,258540,110000,81439,14223,14338
4,Manchester United Women,68.63,63.4,15.5,21.0,226476,110000,69792,17100,23108
5,Everton Women,48.59,42.4,18.6,39.0,160350,110000,46628,20466,42906
6,Reading Women,42.78,36.6,18.6,44.8,141166,110000,40229,20479,49292
7,Tottenham Hotspur Women,36.42,30.4,18.0,51.6,120182,110000,33451,19829,56720
8,Brighton & Hove Albion Women,32.0,25.9,18.3,55.8,105586,110000,28487,20125,61388
9,West Ham United Women,31.27,25.6,17.0,57.4,103204,110000,28175,18679,63146
10,Birmingham City Women,26.6,20.4,18.5,61.1,87779,110000,22482,20333,67185
11,Aston Villa Ladies,24.18,18.6,16.6,64.7,79799,110000,20511,18266,71223
12,Bristol City Women,17.16,12.1,15.3,72.6,56642,110000,13264,16850,79886
