Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Manchester United Women,53,203,695,3707,272,55,14,1,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa Ladies,0,0,0,8,157,344,513,759,949,1144,792,334,0,0,0,0,0,0,0,0
Everton Women,0,1,5,112,1473,1145,893,604,450,220,69,28,0,0,0,0,0,0,0,0
Tottenham Hotspur Women,0,1,4,144,1718,1218,830,527,315,185,49,9,0,0,0,0,0,0,0,0
Arsenal Women,1021,1855,1728,394,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton & Hove Albion Women,0,0,0,24,434,727,889,1003,880,638,323,82,0,0,0,0,0,0,0,0
West Ham United Women,0,0,0,35,635,884,989,921,747,522,196,71,0,0,0,0,0,0,0,0
Chelsea Women,3135,1239,541,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birmingham City Women,0,0,0,0,0,4,40,93,227,542,1415,2679,0,0,0,0,0,0,0,0
Leicester City WFC,0,0,0,0,13,43,116,225,443,891,1663,1606,0,0,0,0,0,0,0,0
Reading Women,0,0,0,17,289,580,716,867,989,858,493,191,0,0,0,0,0,0,0,0
Manchester City Women,791,1701,2027,474,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
