timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1630164600,Aug 28 2021 - 3:30pm,complete,N/A,Empoli W,Roma W,N/A,1,0.00,0.00,1.09,2.36,0,3,3,1,0,1,"","22,57,64",1,9,2,0,1,1,0,2,1,1,10,20,4,10,6,10,-1,-1,42,58,1.21,2.47,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.30,3.95,1.69,1.09,1.29,1.71,2.55,1.35,2.60,Centro Sportivo Monteboro (Empoli)
1630175400,Aug 28 2021 - 6:30pm,complete,N/A,Juventus W,Pomigliano,N/A,1,0.00,0.00,2.64,1.09,3,0,3,1,1,0,"5,54,83","",-1,-1,0,0,2,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Juventus Training Center (Vinovo)
1630175400,Aug 28 2021 - 6:30pm,complete,N/A,Napoli W,Inter Milan W,N/A,1,0.00,0.00,0.55,1.64,0,3,3,2,0,2,"","38,41,68",3,4,0,0,1,0,0,0,1,0,8,18,3,8,5,10,-1,-1,41,59,1.21,2.37,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.00,3.90,1.65,1.22,1.36,1.91,4.25,1.62,2.00,Stadio Caduti di Brema (Napoli)
1630251000,Aug 29 2021 - 3:30pm,complete,N/A,Lazio W,Sampdoria W,N/A,1,0.00,0.00,0.64,1.18,1,2,3,1,0,1,"75","11,48",-1,-1,1,0,1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Campo Sportivo Maurizio Brasili (Roma)
1630251000,Aug 29 2021 - 3:30pm,complete,N/A,AC Milan W,Verona W,N/A,1,0.00,0.00,1.82,0.00,4,0,4,3,3,0,"23,25,45'1,53","",6,2,0,0,1,0,0,0,0,1,27,8,13,0,14,8,-1,-1,67,33,3.01,0.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.15,6.25,13.00,1.17,1.50,2.25,3.80,2.25,1.48,Centro Sportivo Peppino Vismara (Milano)
1630261800,Aug 29 2021 - 6:30pm,complete,N/A,Sassuolo W,Fiorentina W,N/A,1,0.00,0.00,2.09,1.00,2,1,3,1,1,0,"35,52","51",7,2,3,0,2,0,1,2,2,0,15,8,6,4,9,4,-1,-1,47,53,1.76,1.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.78,3.65,3.40,1.18,1.56,2.25,3.60,1.50,2.20,Stadio Enzo Ricci (Sassuolo)
1630769400,Sep 04 2021 - 3:30pm,complete,N/A,Roma W,Napoli W,N/A,2,0.00,0.00,2.55,1.18,4,1,5,5,4,1,"18,20,21,45'2","41",4,4,0,0,2,0,0,0,0,2,20,7,13,3,7,4,-1,-1,63,37,2.77,1.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.13,7.00,13.00,1.10,1.31,1.77,2.70,1.91,1.67,N/A
1630769400,Sep 04 2021 - 3:30pm,complete,N/A,Verona W,Sassuolo W,Valerio Maranesi,2,0.00,0.00,0.45,1.82,0,4,4,2,0,2,"","27,38,70,90'3",3,8,1,0,0,0,0,1,0,0,2,10,2,6,0,4,-1,-1,42,58,0.50,1.48,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,8.50,4.80,1.25,1.17,1.50,2.25,3.80,1.91,1.69,Sinergy Stadium (Verona)
1630769400,Sep 04 2021 - 3:30pm,complete,N/A,Sampdoria W,AC Milan W,N/A,2,0.00,0.00,1.64,2.36,0,1,1,0,0,0,"","53",4,7,2,0,2,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1630855800,Sep 05 2021 - 3:30pm,complete,N/A,Fiorentina W,Juventus W,N/A,2,0.00,0.00,1.18,2.73,0,3,3,1,0,1,"","37,74,87",2,11,2,0,1,0,0,2,0,1,9,12,6,9,3,3,-1,-1,40,60,1.31,1.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.25,4.65,1.29,1.13,1.39,1.95,3.15,1.65,1.91,Stadio Artemio Franchi (Firenze)
