timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1646438400,Mar 05 2022 - 12:00am,complete,N/A,Palmeiras Women,Atlético Mineiro W,N/A,1,0,0,2.38,1.46,2,1,3,1,1,0,"16,83",89,2,4,2,0,1,0,1,1,0,1,3,3,3,3,0,0,-1,-1,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,6,11,0,1.4,1.69,0,0,0,Allianz Parque
1646499600,Mar 05 2022 - 5:00pm,complete,N/A,Corinthians,RB Bragantino,N/A,1,0,0,2.15,0.31,2,1,3,3,2,1,"44,45'4",15,4,1,1,0,1,0,0,1,1,0,17,10,8,8,9,2,-1,-1,59,41,1.91,1.33,0,0,0,0,0,0,0,0,0,0,0,0,1.1,9.5,17,0,1.3,2.68,0,0,0,N/A
1646503200,Mar 05 2022 - 6:00pm,complete,N/A,São José Women,Kindermann,N/A,1,0,0,0.69,1.31,2,0,2,2,2,0,"2,15",,6,8,2,0,2,0,1,1,2,0,10,12,5,6,5,6,-1,-1,49,51,1.38,1.69,0,0,0,0,0,0,0,0,0,0,0,0,1.42,3.75,2.55,1.32,1.95,3.3,6.5,1.8,1.9,Estádio Municipal Dr. Mário Martins Pereira
1646506800,Mar 05 2022 - 7:00pm,complete,N/A,Internacional RS,CRESSPOM W,N/A,1,0,0,2.31,0.46,2,1,3,1,1,0,"36,47",50,3,3,2,0,1,0,0,2,1,0,25,6,9,3,16,3,-1,-1,57,43,2.47,0.77,0,0,0,0,0,0,0,0,0,0,0,0,1.11,11,15,0,1.25,1.98,0,0,0,N/A
1646589600,Mar 06 2022 - 6:00pm,complete,N/A,Real Brasília W,Santos,N/A,1,0,0,1.54,1.46,3,1,4,2,2,0,"12,17,52",68,9,6,-1,-1,-1,-1,-1,-1,-1,-1,14,13,7,5,7,8,-1,-1,49,51,1.82,1.64,0,0,0,0,0,0,0,0,0,0,0,0,2.7,3.4,1.4,1.26,1.85,2.87,5.5,1.66,2.1,N/A
1646589600,Mar 06 2022 - 6:00pm,complete,N/A,Cruzeiro W,Grêmio W,N/A,1,0,0,1,1.31,0,0,0,0,0,0,,,-1,-1,1,0,3,0,0,1,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,3.8,3,1.22,1.78,2.72,4.8,1.68,2.05,N/A
1646600400,Mar 06 2022 - 9:00pm,complete,N/A,Ferroviária,ESMAC,N/A,1,0,0,1.38,0.62,2,0,2,1,1,0,"37,84",,10,6,0,0,3,0,0,0,1,2,28,4,12,3,16,1,-1,-1,62,38,2.85,0.58,0,0,0,0,0,0,0,0,0,0,0,0,1.18,6,11,0,1.4,1.9,0,0,0,N/A
1646694000,Mar 07 2022 - 11:00pm,complete,N/A,Flamengo W,São Paulo Women,N/A,1,0,0,1.62,2.23,1,1,2,1,0,1,66,9,4,4,2,0,2,0,0,2,0,2,11,11,5,5,6,6,17,15,54,46,1.45,1.41,0,0,0,0,0,0,0,0,0,0,0,0,2.33,3.4,1.53,1.33,1.95,3.44,6.5,1.78,1.93,Estádio Luso-Brasileiro
1647104400,Mar 12 2022 - 5:00pm,complete,N/A,Grêmio W,Palmeiras Women,N/A,2,1,3,1.31,2.38,1,1,2,1,1,0,25,61,1,11,2,0,4,0,1,1,2,2,9,23,2,13,7,10,19,16,36,64,1.06,3.07,1.5,50,50,50,0,0,0,50,50,50,2,5,3.9,4,1.18,1.32,1.75,3.5,4.74,2.05,1.7,Arena do Grêmio
1647108000,Mar 12 2022 - 6:00pm,complete,N/A,RB Bragantino,Ferroviária,N/A,2,0,3,0.31,1.38,0,1,1,0,0,0,,80,5,3,2,0,4,0,1,1,1,3,19,8,10,4,9,4,-1,-1,77,23,2.56,1.26,2.5,50,100,50,0,0,50,100,0,50,11,1,3.5,3.6,1.8,0,1.65,0,0,0,0,Estádio Nabi Abi Chedid
