timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1645819200,Feb 25 2022 - 8:00pm,complete,N/A,El Porvenir Women,Boca Juniors Women,N/A,1,0.00,0.00,0.67,2.71,0,1,1,0,0,0,"","86",2,5,4,0,3,1,1,3,1,3,3,20,0,11,3,9,-1,-1,48,52,0.37,2.47,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Gildo Francisco Ghersinich (Gerli- Provincia de Buenos Aires)
1645876800,Feb 26 2022 - 12:00pm,complete,N/A,River Plate Women,Lanús Women,N/A,1,0.00,0.00,1.57,2.00,8,0,8,6,6,0,"17,25,28,33,35,41,67,75","",7,1,0,0,5,0,0,0,1,4,26,8,18,3,8,5,-1,-1,52,48,3.53,0.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Polideportivo CA River Plate (Predio Ezeiza) (Ezeiza- Provincia de Buenos Aires)
1645905600,Feb 26 2022 - 8:00pm,complete,N/A,Defensores de Belgrano W,Racing Club Women,N/A,1,0.00,0.00,1.50,2.71,1,1,2,0,0,0,"67","9004",2,11,4,0,3,0,2,2,2,1,11,17,6,10,5,7,-1,-1,53,47,1.44,2.57,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Juan Pasquale (Capital Federal- Ciudad de Buenos Aires)
1645992000,Feb 27 2022 - 8:00pm,complete,N/A,Deportivo Español,Rosario Central W,N/A,1,0.00,0.00,0.00,1.57,0,1,1,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Nueva España (Capital Federal- Ciudad de Buenos Aires)
1646049600,Feb 28 2022 - 12:00pm,complete,N/A,San Lorenzo Women,Ferro Carril Oeste Women,N/A,1,0.00,0.00,2.33,1.50,3,1,4,0,0,0,"","",4,0,0,0,0,0,0,0,0,0,11,4,3,4,8,0,3,2,53,47,1.24,0.79,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Cancha Auxiliar San Lorenzo (Capital Federal- Ciudad de Buenos Aires)
1646078400,Feb 28 2022 - 8:00pm,complete,N/A,SAT,Platense Women,N/A,1,0.00,0.00,0.50,0.67,3,0,3,3,3,0,"14,16,40","",0,5,2,1,3,1,1,2,2,2,11,17,8,6,3,11,17,12,53,47,1.52,1.93,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Camping Moreno SATSAID (Moreno- Provincia de Buenos Aires)
1646078400,Feb 28 2022 - 8:00pm,complete,N/A,Gimnasia La Plata W,Estudiantes Caseros,N/A,1,0.00,0.00,1.86,1.17,4,1,5,0,0,0,"","",5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estancia Chica Club de Gimnasia y Esgrima La Plata (Abasto- Provincia de Buenos Aires)
1646136000,Mar 01 2022 - 12:00pm,complete,N/A,UAI Urquiza Women,Estudiantes La Plata Women,N/A,1,0.00,0.00,3.00,1.71,5,0,5,3,3,0,"7,27,41,68,89","",7,3,0,0,2,0,0,0,0,2,19,8,13,3,6,5,5,7,48,52,2.85,1.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Monumental de Villa Lynch (General San Martín- Provincia de Buenos Aires)
1646164800,Mar 01 2022 - 8:00pm,complete,N/A,Villa San Carlos Women,Huracán Women,N/A,1,0.00,0.00,0.00,1.50,1,2,3,2,1,1,"23","1,80",1,4,1,0,5,0,0,1,1,4,6,24,5,17,1,7,16,23,51,49,1.11,3.33,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Genancio Sálice (Berisso- Provincia de Buenos Aires)
1646251200,Mar 02 2022 - 8:00pm,complete,N/A,Independiente Women,Excursionistas Women,N/A,1,0.00,0.00,1.29,0.00,5,0,5,3,3,0,"5,22,27,73,75","",6,0,2,0,1,0,1,1,1,0,18,7,12,3,6,4,-1,-1,48,52,2.49,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Libertadores de América (Avellaneda- Provincia de Buenos Aires)
