timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1647696600,Mar 19 2022 - 1:30pm,complete,N/A,Øvrevoll Hosle,KIL / Hemne Women,N/A,1,0.00,0.00,2.57,1.43,0,2,2,1,0,1,"","13,82",7,1,0,0,1,0,0,0,1,0,8,4,4,3,4,1,-1,-1,53,47,1.42,0.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.26,5.42,7.78,0.00,0.00,1.76,0.00,0.00,0.00,DNB Arena (Hosle)
1647698400,Mar 19 2022 - 2:00pm,complete,N/A,TIL 2020,Medkila Women,N/A,1,0.00,0.00,2.17,0.00,6,0,6,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.35,5.40,6.60,0.00,0.00,0.00,0.00,0.00,0.00,Alfheim Stadion (Tromsø)
1647784800,Mar 20 2022 - 2:00pm,complete,N/A,Fortuna Ålesund,Åsane Women,N/A,1,0.00,0.00,2.00,1.14,0,4,4,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.42,3.85,2.44,0.00,0.00,0.00,0.00,0.00,0.00,Color Line Stadion (Ålesund)
1647786600,Mar 20 2022 - 2:30pm,complete,N/A,Amazon Grimstad,Grand Bodø Women,N/A,1,0.00,0.00,1.43,0.33,2,2,4,1,0,1,"67,86","21,73",4,9,1,0,0,0,0,1,0,0,6,18,3,5,3,13,-1,-1,49,51,1.03,2.10,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.90,3.05,0.00,1.33,2.00,0.00,0.00,0.00,J.J. Ugland Stadion (Grimstad)
1647788400,Mar 20 2022 - 3:00pm,complete,N/A,Klepp,Hønefoss Women,N/A,1,0.00,0.00,1.17,0.71,2,2,4,2,1,1,"2,65","4503,71",5,2,0,0,2,0,0,0,1,1,13,10,5,5,8,5,-1,-1,47,53,1.73,1.48,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.61,4.10,4.20,0.00,1.30,1.95,0.00,0.00,0.00,Klepp Stadion (Kleppe)
1648386000,Mar 27 2022 - 1:00pm,complete,N/A,Åsane Women,Amazon Grimstad,N/A,2,0.00,0.00,3.00,0.00,2,0,2,2,2,0,"21,36","",2,1,3,0,0,0,2,1,0,0,9,8,4,2,5,6,-1,-1,57,43,1.12,0.84,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.76,3.64,3.60,0.00,1.49,2.25,0.00,0.00,0.00,Åsane Arena (Bergen)
1648386000,Mar 27 2022 - 1:00pm,complete,N/A,Hønefoss Women,Øvrevoll Hosle,N/A,2,0.00,0.00,2.17,1.80,2,1,3,2,1,1,"19,54","12",5,6,3,0,1,0,0,3,0,1,11,19,5,5,6,14,-1,-1,50,50,1.22,1.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.89,3.72,1.68,0.00,1.47,0.00,0.00,0.00,0.00,AKA Arena (Hønefoss)
1648386000,Mar 27 2022 - 1:00pm,complete,N/A,KIL / Hemne Women,Fortuna Ålesund,N/A,2,0.00,0.00,1.33,1.20,1,0,1,0,0,0,"9009","",3,4,1,0,0,0,0,1,0,0,11,8,7,4,4,4,-1,-1,51,49,1.41,0.99,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,4.00,2.60,0.00,0.00,0.00,0.00,0.00,0.00,Sodvinhallen (Kyrksæterøra)
1648395000,Mar 27 2022 - 3:30pm,complete,N/A,Grand Bodø Women,TIL 2020,N/A,2,0.00,0.00,2.00,1.67,2,2,4,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.55,3.75,2.39,0.00,0.00,0.00,0.00,0.00,0.00,Nordlandshallen (Bodø)
1648904400,Apr 02 2022 - 1:00pm,complete,N/A,Amazon Grimstad,Medkila Women,N/A,3,1.00,0.00,1.43,0.00,3,0,3,2,2,0,"5,43,58","",10,2,0,0,1,0,0,0,0,1,18,3,11,0,7,3,-1,-1,47,53,2.50,0.63,5.00,50,100,100,100,50,0,50,50,50,4.00,1.00,1.61,3.87,4.16,0.00,0.00,0.00,0.00,0.00,0.00,J.J. Ugland Stadion (Grimstad)
