timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1651285800,Apr 30 2022 - 2:30am,complete,N/A,Angel City,North Carolina Courage,Samantha Martinez,1,0.00,0.00,1.40,1.75,2,1,3,2,2,0,"3,13","51",5,5,1,0,3,0,1,0,1,2,12,13,6,6,6,7,7,11,40,60,1.41,1.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.60,4.50,1.42,0.00,1.67,1.90,0.00,0.00,0.00,Banc of California Stadium (Los Angeles- California)
1651356000,Apr 30 2022 - 10:00pm,complete,N/A,Portland Thorns,Kansas City,Brandon Stevis,1,0.00,0.00,1.83,0.25,3,0,3,2,2,0,"8,34,51","",6,3,0,0,0,0,0,0,0,0,17,6,13,3,4,3,6,8,51,49,2.56,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.25,4.75,8.50,1.33,1.90,3.30,6.50,2.00,1.73,Providence Park (Portland- Oregon)
1651363200,May 01 2022 - 12:00am,complete,N/A,Chicago Red Stars,Racing Louisville,Jeremy Scheer,1,0.00,0.00,2.20,1.00,2,1,3,3,2,1,"2,25","10",3,7,2,0,1,0,0,2,0,1,7,11,5,5,2,6,-1,-1,50,50,1.18,2.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.55,3.57,4.98,0.00,1.95,0.00,0.00,0.00,0.00,SeatGeek Stadium (Bridgeview- Illinois)
1651438800,May 01 2022 - 9:00pm,complete,N/A,Washington Spirit,Seattle Reign,N/A,1,0.00,0.00,1.00,0.50,2,1,3,1,1,0,"14,66","53",6,3,1,0,3,0,0,1,0,3,19,8,14,4,5,4,7,6,46,54,2.43,0.99,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.24,3.11,2.14,0.00,2.10,3.58,0.00,0.00,0.00,Audi Field (Washington- District of Columbia)
1651446000,May 01 2022 - 11:00pm,complete,N/A,Houston Dash,San Diego Wave,Anya Voigt,1,0.00,0.00,1.00,1.67,0,1,1,0,0,0,"","86",3,2,1,0,1,0,0,1,1,0,9,8,4,5,5,3,8,13,52,48,1.10,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.08,3.25,3.05,4.47,2.02,0.00,0.00,0.00,0.00,PNC Stadium (Houston- Texas)
1651446000,May 01 2022 - 11:00pm,complete,N/A,Orlando Pride,Sky Blue,Natalie Simon,1,0.00,0.00,0.50,1.50,0,3,3,3,0,3,"","29,30,41",-1,-1,1,0,1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.75,3.03,2.44,0.00,2.10,0.00,0.00,0.00,0.00,Exploria Stadium (Orlando- Florida)
1651975200,May 08 2022 - 2:00am,complete,N/A,San Diego Wave,Sky Blue,N/A,2,0.00,3.00,2.00,1.50,4,0,4,1,1,0,"45'1,66,70,90'1","",6,5,0,0,2,0,0,0,1,1,14,6,8,4,6,2,11,11,55,45,1.83,1.01,1.50,0,50,50,0,0,50,50,0,0,0.00,1.00,2.38,3.30,2.55,1.33,1.90,3.40,6.00,1.70,2.05,Torero Stadium (San Diego- California)
1652043600,May 08 2022 - 9:00pm,complete,N/A,Kansas City,Houston Dash,N/A,2,0.00,0.00,1.60,2.20,0,2,2,1,0,1,"","40,90'6",5,6,2,0,1,0,0,2,0,1,11,10,7,5,4,5,9,11,55,45,1.45,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.30,3.19,2.23,1.17,1.60,2.50,4.50,1.53,2.35,Children's Mercy Park (Kansas City- Kansas)
1652047200,May 08 2022 - 10:00pm,complete,N/A,Seattle Reign,Racing Louisville,N/A,2,0.00,0.00,2.20,1.00,2,2,4,3,2,1,"33,37","23,60",-1,-1,2,0,1,0,0,2,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,1.50,50,50,50,0,0,50,50,0,0,7.00,1.00,1.48,3.87,5.85,1.26,1.97,3.26,6.25,2.05,1.70,Lumen Field (Seattle- Washington)
1652054400,May 09 2022 - 12:00am,complete,N/A,Angel City,Orlando Pride,N/A,2,3.00,0.00,1.40,1.20,0,1,1,1,0,1,"","3",6,8,1,0,3,0,1,0,1,2,8,9,6,2,2,7,12,15,50,50,1.12,0.91,1.50,50,50,50,0,0,50,50,0,50,5.00,1.00,2.26,3.13,3.03,0.00,2.05,0.00,0.00,0.00,0.00,Banc of California Stadium (Los Angeles- California)
1652495400,May 14 2022 - 2:30am,complete,N/A,Portland Thorns,Seattle Reign,Elvis Osmanovic,3,3.00,0.00,1.83,0.50,0,0,0,0,0,0,"","",4,6,0,0,0,0,0,0,0,0,19,14,7,5,12,9,9,5,50,50,2.24,1.83,3.00,50,100,100,0,0,50,100,50,100,9.00,3.00,2.40,3.20,2.60,1.33,2.25,3.55,6.50,1.76,1.90,Providence Park (Portland- Oregon)
1652567400,May 14 2022 - 10:30pm,complete,N/A,Orlando Pride,Kansas City,N/A,3,0.00,0.00,0.50,0.25,2,2,4,0,0,0,"51,90'6","78,90'1",2,6,3,0,3,0,1,2,1,2,9,13,5,10,4,3,14,15,50,50,1.13,1.76,3.00,0,100,100,0,0,100,100,0,50,3.00,1.00,1.85,3.40,3.60,1.32,1.95,3.40,6.25,1.80,1.90,Exploria Stadium (Orlando- Florida)
1652569200,May 14 2022 - 11:00pm,suspended,N/A,Sky Blue,North Carolina Courage,Danielle Chesky,3,0.00,0.00,1.00,1.75,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,1.50,50,50,50,0,0,50,50,0,50,5.00,3.00,3.44,3.45,1.96,1.31,2.00,3.50,7.00,1.80,1.90,Red Bull Arena (Harrison- New Jersey)
1652572800,May 15 2022 - 12:00am,complete,N/A,Racing Louisville,Houston Dash,Samantha Martinez,3,0.00,3.00,1.00,2.20,1,1,2,0,0,0,"82","77",4,4,1,0,3,0,0,1,0,3,12,10,4,7,8,3,9,17,64,36,1.29,1.23,1.00,0,50,0,0,0,0,50,0,50,6.00,1.00,2.50,3.20,2.50,0.00,2.06,0.00,0.00,0.00,0.00,Lynn Family Stadium (Louisville- Kentucky)
1652648400,May 15 2022 - 9:00pm,complete,N/A,San Diego Wave,Chicago Red Stars,N/A,3,3.00,0.00,2.00,1.25,2,1,3,0,0,0,"56,89","90",11,5,2,0,1,0,0,2,0,1,11,7,6,5,5,2,13,6,56,44,1.64,1.15,2.00,0,50,50,50,0,0,50,50,50,6.00,0.00,2.55,3.35,2.45,1.38,2.10,4.00,6.75,1.87,1.87,Torero Stadium (San Diego- California)
1652648400,May 15 2022 - 9:00pm,complete,N/A,Washington Spirit,Angel City,Anya Voigt,3,3.00,0.00,1.00,1.50,0,1,1,1,0,1,"","42",3,5,1,0,2,0,1,0,0,2,8,10,4,4,4,6,10,13,53,47,1.08,1.17,1.50,50,50,50,0,0,0,50,50,50,6.00,1.00,1.85,3.50,3.85,1.33,2.09,3.56,6.50,1.95,1.78,Audi Field (Washington- District of Columbia)
1652914800,May 18 2022 - 11:00pm,complete,N/A,North Carolina Courage,Orlando Pride,Mark Allatin,4,0.00,3.00,0.00,1.20,1,2,3,2,0,2,"86","4,44",4,3,0,0,1,0,0,0,0,1,11,9,3,6,8,3,-1,-1,50,50,1.40,1.29,0.50,0,0,0,0,0,0,50,0,0,8.00,3.00,1.81,3.50,3.94,0.00,1.95,0.00,0.00,0.00,0.00,WakeMed Soccer Park (Cary- North Carolina)
1652916600,May 18 2022 - 11:30pm,complete,N/A,Racing Louisville,San Diego Wave,Joshua Encarnación,4,1.00,3.00,1.00,1.67,1,0,1,1,1,0,"27","",9,10,2,0,2,0,1,1,2,0,12,10,8,5,4,5,6,16,48,52,1.51,1.22,1.50,50,50,0,0,0,0,0,50,100,6.00,2.00,2.50,3.40,2.48,0.00,1.67,0.00,0.00,0.00,0.00,Lynn Family Stadium (Louisville- Kentucky)
1652925600,May 19 2022 - 2:00am,complete,N/A,Portland Thorns,Washington Spirit,Brad Jensen,4,2.00,0.00,1.83,0.80,1,1,2,0,0,0,"57","63",5,12,1,0,1,0,0,1,0,1,14,13,7,9,7,4,7,8,46,54,1.90,1.99,0.75,0,25,25,0,0,25,25,0,25,5.00,0.00,1.90,3.50,3.62,0.00,2.30,0.00,0.00,0.00,0.00,Providence Park (Portland- Oregon)
1653170400,May 21 2022 - 10:00pm,complete,N/A,Portland Thorns,Houston Dash,Michael Radchuk,4,1.67,2.00,1.83,2.20,0,2,2,1,0,1,"","45'3,66",8,4,1,0,0,0,0,1,0,0,19,13,6,7,13,6,4,9,57,43,2.31,1.80,1.84,42,84,17,0,0,17,42,42,84,10.00,2.33,1.57,3.60,5.00,1.32,2.00,3.40,6.25,1.90,1.78,Providence Park (Portland- Oregon)
1653186600,May 22 2022 - 2:30am,complete,N/A,Angel City,Kansas City,N/A,4,1.50,0.50,1.40,0.25,1,0,1,0,0,0,"70","",2,6,2,0,2,0,2,0,0,2,14,8,6,2,8,6,16,16,54,46,1.54,0.81,2.75,50,75,75,25,0,50,75,25,75,10.00,2.50,1.91,3.40,3.40,1.23,1.80,2.84,6.25,1.80,1.90,Banc of California Stadium (Los Angeles- California)
