timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1599312600,Sep 05 2020 - 1:30pm,complete,N/A,Aston Villa Ladies,Manchester City Women,Abigail Bryne,N/A,0,0,0.55,2.36,0,2,2,2,0,2,,"6,21",2,8,0,0,0,0,0,0,0,0,7,19,4,7,3,12,4,11,38,62,0.95,2.11,0,0,0,0,0,0,0,0,0,0,0,0,21.25,11,1.01,1,1.1,1.34,1.8,3,1.29,Villa Park (Birmingham)
1599391800,Sep 06 2020 - 11:30am,complete,N/A,Arsenal Women,Reading Women,Amy Fearn,N/A,0,0,2.36,1.18,6,1,7,3,3,0,"15,33,40,63,78,81",89,7,1,2,0,3,0,1,1,0,3,25,11,12,4,13,7,10,12,55,45,2.77,1.19,0,0,0,0,0,0,0,0,0,0,0,0,1.19,5.5,8.75,0,1.57,0,0,0,0,Meadow Park (Borehamwood- Hertfordshire)
1599397200,Sep 06 2020 - 1:00pm,complete,N/A,Brighton & Hove Albion Women,Birmingham City Women,Rob Whitton,N/A,0,0,1.36,1.09,2,0,2,0,0,0,"59,61",,2,0,0,0,4,0,0,0,0,4,15,3,4,3,11,0,9,19,59,41,1.53,0.58,0,0,0,0,0,0,0,0,0,0,0,0,2.26,3.25,2.95,0,1.63,0,0,0,0,The People's Pension Stadium (Crawley- West Sussex)
1599397200,Sep 06 2020 - 1:00pm,complete,N/A,Bristol City Women,Everton Women,Scott Jackson,N/A,0,0,0.64,1.55,0,4,4,2,0,2,,"7,19,62,90",-1,-1,2,0,1,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,3.6,1.59,0,1.8,0,0,0,0,Twerton Park Stadium (Bath- Somerset)
1599397200,Sep 06 2020 - 1:00pm,complete,N/A,Tottenham Hotspur Women,West Ham United Women,Kirsty Dowle,N/A,0,0,0.91,1,1,1,2,0,0,0,53,57,4,1,0,0,1,0,0,0,1,0,14,9,8,5,6,4,13,9,51,49,1.79,1.22,0,0,0,0,0,0,0,0,0,0,0,0,1.83,3.4,3.4,0,1.9,0,0,0,0,The Hive Stadium (London)
1599399000,Sep 06 2020 - 1:30pm,complete,N/A,Manchester United Women,Chelsea Women,Rebecca Welch,N/A,0,0,2.36,2.45,1,1,2,1,0,1,79,25,5,5,2,0,0,0,0,2,0,0,11,16,4,6,7,10,8,5,52,48,1.47,1.9,0,0,0,0,0,0,0,0,0,0,0,0,4.85,3.9,1.49,0,1.75,0,0,0,0,Leigh Sports Village Stadium (Leigh- Greater Manchester)
1599927600,Sep 12 2020 - 4:20pm,complete,N/A,West Ham United Women,Arsenal Women,Abigail Bryne,N/A,0,0,0.36,2,1,9,10,5,1,4,27,"23,34,40,42,52,54,56,72,86",1,3,4,1,0,0,5,0,0,0,6,26,3,19,3,7,15,9,41,59,0.97,3.42,0,0,0,0,0,0,0,0,0,0,0,0,14,8.75,1.05,1.09,1.39,2,3.3,2.5,1.4,Chigwell Construction Stadium (Dagenham- Essex)
1599996600,Sep 13 2020 - 11:30am,complete,yo,Chelsea Women,Bristol City Women,Stacey Pearson,N/A,0,0,2.73,0.45,9,0,9,5,5,0,"15,31,34,36,40,66,69,73,86",,8,0,0,0,1,0,0,0,0,1,33,2,19,0,14,2,6,8,76,24,3.7,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.3,0.3,0,1.12,0,0,0,0,Kingsmeadow (Kingston upon Thames- Surrey)
1599998400,Sep 13 2020 - 12:00pm,complete,N/A,Everton Women,Tottenham Hotspur Women,Robert Massey Ellis,N/A,0,0,1.36,0.73,1,0,1,0,0,0,51,,5,5,3,0,2,0,0,3,0,2,8,10,5,5,3,5,15,14,51,49,1.15,1.2,0,0,0,0,0,0,0,0,0,0,0,0,2.3,3.75,2.3,1.18,1.65,2.65,4.65,1.59,2.1,Walton Hall Park (Liverpool)
1600002000,Sep 13 2020 - 1:00pm,complete,N/A,Birmingham City Women,Manchester United Women,Lucy Oliver,N/A,0,0,0.36,1.91,2,5,7,4,2,2,"14,27","5,36,47,60,79",1,6,0,0,0,0,0,0,0,0,7,19,5,15,2,4,12,12,42,58,0.99,2.54,0,0,0,0,0,0,0,0,0,0,0,0,10.75,5.6,1.16,1.22,1.7,2.62,4.33,3.25,1.33,SportNation.bet Stadium (Solihull- West Midlands)
