timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1630085400,Aug 27 2021 - 5:30pm,complete,N/A,PSV W,PEC Zwolle W,Fijke Hoogendijk,1,0,0,2.33,0.92,3,0,3,2,2,0,"19,44,89",,4,1,2,0,1,0,0,2,0,1,15,4,9,2,6,2,-1,-1,57,43,2.06,0.56,0,0,0,0,0,0,0,0,0,0,0,0,1.15,6.5,12,1.09,1.3,1.74,2.7,1.8,1.74,Sportcomplex De Herdgang (Eindhoven)
1630085400,Aug 27 2021 - 5:30pm,complete,N/A,Twente W,Alkmaar W,N/A,1,0,0,2.58,0.25,8,0,8,4,4,0,"5,12,39,45,51,59,63,88",,8,2,-1,-1,-1,-1,-1,-1,-1,-1,14,9,12,5,2,4,-1,-1,61,39,2.25,1.12,0,0,0,0,0,0,0,0,0,0,0,0,1.06,10.25,21,1.05,1.17,1.43,1.95,1.83,1.74,De Grolsch Veste (Enschede)
1630085400,Aug 27 2021 - 5:30pm,complete,yo,Excelsior Barendrecht W,Ajax W,N/A,1,0,0,0.67,2.17,1,7,8,3,0,3,72,"10,27,39,48,63,79,86",1,8,-1,-1,-1,-1,-1,-1,-1,-1,9,16,7,12,2,4,-1,-1,31,69,1.35,2.38,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3,3,1.03,1.23,1.45,1.99,2.27,1.56,Van Donge & De Roo Stadion (Rotterdam)
1630232100,Aug 29 2021 - 10:15am,complete,N/A,ADO Den Haag W,Feyenoord W,N/A,1,0,0,1.83,1.08,1,1,2,2,1,1,31,16,5,2,0,0,1,0,0,0,0,1,2,2,2,2,0,0,10,12,52,48,0.63,0.55,0,0,0,0,0,0,0,0,0,0,0,0,1.75,4.2,3.25,0,1.4,1.95,0,0,0,Cars Jeans Stadion (Den Haag)
1630690200,Sep 03 2021 - 5:30pm,complete,N/A,Feyenoord W,Heerenveen W,Eddy Van Yren,2,0,0,1.83,0.33,2,2,4,1,0,1,"49,90'2","28,72",7,4,2,0,2,0,0,2,0,2,23,9,10,8,13,1,12,19,50,50,2.4,1.37,0,0,0,0,0,0,0,0,0,0,0,0,1.74,3.65,3.25,1.12,1.35,1.83,2.75,1.36,2.6,Sportcomplex Varkenoord 1 (Rotterdam)
1630690200,Sep 03 2021 - 5:30pm,complete,N/A,Alkmaar W,ADO Den Haag W,Robin Punt,2,0,0,1.17,1.42,1,0,1,0,0,0,64,,5,3,1,0,1,0,0,1,0,1,6,5,4,3,2,2,18,6,38,62,1.29,1.59,0,0,0,0,0,0,0,0,0,0,0,0,7.25,5.5,1.25,1.07,1.24,1.57,2.3,1.49,2.2,Sportpark AFC '34 (Alkmaar)
1630690200,Sep 03 2021 - 5:30pm,complete,N/A,PEC Zwolle W,Excelsior Barendrecht W,N/A,2,0,0,1.42,0.25,3,0,3,2,2,0,"9,34,58",,4,3,0,0,1,0,0,0,0,1,20,10,10,4,10,6,7,13,58,42,2.32,1.19,0,0,0,0,0,0,0,0,0,0,0,0,1.2,5.5,9.25,1.11,1.32,1.8,2.8,1.8,1.77,Sportpark Be Quick '28 veld 1 (Zwolle)
1630836900,Sep 05 2021 - 10:15am,complete,N/A,Ajax W,Twente W,N/A,2,0,0,2.33,2.42,0,1,1,0,0,0,,78,8,3,1,0,0,0,0,1,0,0,16,6,8,3,8,3,12,7,64,36,2.22,0.84,0,0,0,0,0,0,0,0,0,0,0,0,2.05,3.2,2.8,1.19,1.57,2.35,3.8,1.5,2.15,Sportpark De Toekomst (Amsterdam-Duivendrecht)
1631295000,Sep 10 2021 - 5:30pm,complete,N/A,Heerenveen W,Alkmaar W,Sam Tyler,3,0,0,1.17,0.25,3,0,3,3,3,0,"17,36,42",,5,2,0,0,0,0,0,0,0,0,9,7,4,0,5,7,6,7,58,42,1.4,0.74,4,0,50,50,50,50,50,50,50,50,2,0,1.57,3.8,3.95,1.1,1.29,1.74,2.55,1.34,2.65,Sportcomplex Nieuwehorne (Nieuwehorne)
1631441700,Sep 12 2021 - 10:15am,complete,N/A,ADO Den Haag W,Ajax W,N/A,3,1,3,1.83,2.17,0,0,0,0,0,0,,,6,8,2,0,1,0,0,2,0,1,8,21,3,7,5,14,12,11,36,64,1.08,2.53,5,100,100,50,50,50,100,100,50,50,13,0,7.25,4.65,1.28,1.14,1.41,2,3.2,1.69,1.87,Cars Jeans Stadion (Den Haag)
