timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1618700400,Apr 17 2021 - 11:00pm,complete,N/A,São Paulo Women,Grêmio W,N/A,1,0,0,1.88,1.65,1,1,2,0,0,0,50,57,6,4,-1,-1,-1,-1,-1,-1,-1,-1,19,8,10,4,9,4,-1,-1,56,44,2.53,1.27,0,0,0,0,0,0,0,0,0,0,0,0,1.17,3.8,4.1,1.25,2.05,3.34,6.15,2,1.73,N/A
1618700400,Apr 17 2021 - 11:00pm,complete,N/A,Internacional RS,Santos,N/A,1,0,0,1.58,1.65,1,1,2,2,1,1,2,45'3,12,9,-1,-1,-1,-1,-1,-1,-1,-1,14,7,9,5,5,2,-1,-1,48,52,1.98,1.18,0,0,0,0,0,0,0,0,0,0,0,0,2.3,3.6,1.53,1.18,1.7,2.3,3.9,1.57,2.25,N/A
1618700400,Apr 17 2021 - 11:00pm,complete,N/A,Corinthians,Napoli W,N/A,1,0,0,2.67,0.47,3,0,3,1,1,0,"6,74,83",,9,1,-1,-1,-1,-1,-1,-1,-1,-1,16,9,9,7,7,2,-1,-1,70,30,2.47,1.4,0,0,0,0,0,0,0,0,0,0,0,0,1.03,21,34,0,1.14,0,0,0,0,N/A
1618768800,Apr 18 2021 - 6:00pm,complete,N/A,Botafogo,Bahia W,N/A,1,0,0,0.73,0.27,0,0,0,0,0,0,,,6,2,-1,-1,-1,-1,-1,-1,-1,-1,14,7,5,3,9,4,-1,-1,58,42,1.59,0.94,0,0,0,0,0,0,0,0,0,0,0,0,1.8,3.5,3.6,0,1.98,0,0,0,0,Estádio Nilton Santos
1618768800,Apr 18 2021 - 6:00pm,complete,N/A,Flamengo W,Minas ICESP,N/A,1,0,0,1.2,0.73,1,1,2,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,4.5,6,1.06,1.45,1.57,3.1,1.65,2.1,N/A
1618776000,Apr 18 2021 - 8:00pm,complete,N/A,Cruzeiro W,Real Brasília W,N/A,1,0,0,1,1.2,1,1,2,1,0,1,71,37,3,3,-1,-1,-1,-1,-1,-1,-1,-1,12,8,5,7,7,1,-1,-1,63,37,1.77,1.37,0,0,0,0,0,0,0,0,0,0,0,0,1.85,3.4,3.5,0,2,0,0,0,0,N/A
1618786800,Apr 18 2021 - 11:00pm,complete,N/A,Palmeiras Women,Ferroviária,N/A,1,0,0,2.19,1.63,2,2,4,2,1,1,"45'3,69","45'2,90'1",10,6,-1,-1,-1,-1,-1,-1,-1,-1,17,9,9,6,8,3,-1,-1,57,43,2.16,1.43,0,0,0,0,0,0,0,0,0,0,0,0,1.54,3.6,2.25,1.21,1.85,2.45,4.2,1.7,2.05,Allianz Parque
1618786800,Apr 18 2021 - 11:00pm,complete,N/A,São José Women,Kindermann,N/A,1,0,0,0.87,1.24,0,1,1,0,0,0,,72,3,6,-1,-1,-1,-1,-1,-1,-1,-1,3,17,0,6,3,11,-1,-1,38,62,0.54,2.13,0,0,0,0,0,0,0,0,0,0,0,0,5.5,4.5,1.4,1.25,1.75,2.65,4.9,1.87,1.77,Estádio Municipal Dr. Mário Martins Pereira
1619028000,Apr 21 2021 - 6:00pm,complete,N/A,Kindermann,Palmeiras Women,N/A,2,3,1,1.24,2.19,0,3,3,1,0,1,,"41,52,90",0,9,-1,-1,-1,-1,-1,-1,-1,-1,4,13,3,7,1,6,-1,-1,37,63,0.64,1.84,2.5,50,50,50,50,0,50,50,50,100,16,-2,3,3.25,2.1,1.25,1.91,2.36,4.95,1.69,1.95,N/A
1619028000,Apr 21 2021 - 6:00pm,complete,N/A,Bahia W,Internacional RS,N/A,2,1,1,0.27,1.58,0,2,2,1,0,1,,"40,65",5,3,-1,-1,-1,-1,-1,-1,-1,-1,13,14,8,7,5,7,-1,-1,48,52,1.85,1.88,1,50,50,0,0,0,50,50,0,0,14,-2,5.65,4.3,1.49,0,1.42,2.24,0,0,0,N/A
