timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1630694700,Sep 03 2021 - 6:45pm,complete,N/A,Manchester United Women,Reading Women,Abigail Bryne,1,0.00,0.00,2.27,0.82,2,0,2,1,1,0,"39,54","",5,3,1,0,0,0,1,0,0,0,15,5,4,2,11,3,7,7,61,39,1.69,0.64,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.33,4.50,6.00,1.21,1.56,2.35,3.90,1.77,1.80,Leigh Sports Village Stadium (Leigh- Greater Manchester)
1630755000,Sep 04 2021 - 11:30am,complete,N/A,Aston Villa Ladies,Leicester City WFC,Helen Conley,1,0.00,0.00,0.45,0.27,2,1,3,1,0,1,"63,64","39",1,8,2,0,3,0,1,1,0,3,8,18,5,10,3,8,8,12,45,55,1.35,2.36,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.75,3.00,2.15,1.24,1.67,2.50,4.10,1.54,2.10,Banks's Stadium (Walsall- West Midlands)
1630758600,Sep 04 2021 - 12:30pm,complete,N/A,Everton Women,Manchester City Women,Kirsty Dowle,1,0.00,0.00,0.82,2.27,0,4,4,3,0,3,"","26,36,38,67",5,6,1,0,0,0,0,1,0,0,9,11,4,7,5,4,15,5,46,54,1.20,1.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.00,5.25,1.26,1.15,1.42,2.05,3.35,1.77,1.80,Goodison Park (Liverpool)
1630764000,Sep 04 2021 - 2:00pm,complete,N/A,Tottenham Hotspur Women,Birmingham City Women,Lisa Benn,1,0.00,0.00,1.64,0.64,1,0,1,1,1,0,"40","",9,2,0,0,2,0,0,0,0,2,11,5,5,3,6,2,8,12,62,38,1.16,0.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.47,3.70,5.25,1.22,1.62,2.50,4.35,1.74,1.83,Tottenham Hotspur Stadium (London)
1630841400,Sep 05 2021 - 11:30am,complete,N/A,Arsenal Women,Chelsea Women,Rebecca Welch,1,0.00,0.00,2.82,2.27,3,2,5,2,1,1,"14,49,60","44,64",0,4,2,0,1,0,1,1,0,1,8,8,6,5,2,3,9,13,42,58,1.11,1.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.65,3.80,1.62,1.20,1.57,2.35,3.95,1.62,1.95,Emirates Stadium (London)
1630846800,Sep 05 2021 - 1:00pm,complete,N/A,Brighton & Hove Albion Women,West Ham United Women,N/A,1,0.00,0.00,1.27,1.27,2,0,2,2,2,0,"33,41","",6,1,1,0,2,1,0,1,1,2,10,8,6,2,4,6,-1,-1,53,47,1.41,0.92,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.64,3.64,1.90,1.25,1.77,2.85,4.35,1.73,2.00,The American Express Community Stadium (Falmer- East Sussex)
1631356200,Sep 11 2021 - 10:30am,complete,N/A,West Ham United Women,Aston Villa Ladies,Kirsty Dowle,2,0.00,0.00,1.18,1.45,1,1,2,1,1,0,"8","90'2",0,4,1,0,1,0,0,1,0,1,7,17,5,7,2,10,15,10,44,56,1.06,1.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.55,3.59,1.26,1.76,2.70,4.75,1.69,1.87,Chigwell Construction Stadium (Dagenham- Essex)
1631446200,Sep 12 2021 - 11:30am,complete,N/A,Chelsea Women,Everton Women,Amy Fearn,2,0.00,0.00,2.82,1.00,4,0,4,1,1,0,"25,47,74,79","",6,1,1,0,0,0,0,1,0,0,23,5,7,3,16,2,6,6,61,39,2.33,0.77,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.11,7.50,16.00,1.11,1.36,1.87,2.90,2.05,1.57,Kingsmeadow (Kingston upon Thames- Surrey)
1631451600,Sep 12 2021 - 1:00pm,complete,N/A,Birmingham City Women,Brighton & Hove Albion Women,N/A,2,0.00,0.00,0.36,1.09,0,5,5,2,0,2,"","2,45'1,50,58,70",2,3,0,0,2,0,0,0,0,2,9,13,4,9,5,4,7,12,46,54,1.04,1.64,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.20,3.60,2.00,1.27,1.70,2.75,4.75,1.80,1.91,St Andrew's Trillion Trophy Stadium (Birmingham)
1631451600,Sep 12 2021 - 1:00pm,complete,N/A,Leicester City WFC,Manchester United Women,Jane Simms,2,0.00,0.00,0.91,1.55,1,3,4,1,0,1,"61","36,47,71",3,5,2,0,1,0,0,2,0,1,11,33,5,10,6,23,11,7,36,64,1.27,3.06,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.50,5.50,1.25,1.11,1.44,2.03,3.08,1.80,1.91,King Power Stadium (Leicester- Leicestershire)
